time,open,high,low,close,Volume,Volume MA
1991-12-02,778,778,778,778,,
1992-01-02,932,932,932,932,,
1992-01-03,650,650,650,650,,
1992-01-06,791,791,791,791,,
1992-01-07,874,874,874,874,,
1992-01-08,719,719,719,719,,
1992-01-09,780,780,780,780,,
1992-01-10,1082,1082,1082,1082,,
1992-01-13,966,966,966,966,,
1992-01-14,513,513,513,513,,
1992-01-15,667,667,667,667,,
1992-01-16,895,895,895,895,,
1992-01-17,815,815,815,815,,
1992-01-20,942,942,942,942,,
1992-01-21,1191,1191,1191,1191,,
1992-01-22,620,620,620,620,,
1992-01-23,940,940,940,940,,
1992-01-24,797,797,797,797,,
1992-01-27,837,837,837,837,,
1992-01-28,809,809,809,809,,
1992-01-29,1044,1044,1044,1044,,
1992-01-30,809,809,809,809,,
1992-01-31,928,928,928,928,,
1992-02-03,803,803,803,803,,
1992-02-04,613,613,613,613,,
1992-02-05,748,748,748,748,,
1992-02-06,771,771,771,771,,
1992-02-07,969,969,969,969,,
1992-02-11,756,756,756,756,,
1992-02-12,633,633,633,633,,
1992-02-13,1115,1115,1115,1115,,
1992-02-14,904,904,904,904,,
1992-02-18,1079,1079,1079,1079,,
1992-02-19,952,952,952,952,,
1992-02-20,572,572,572,572,,
1992-02-21,976,976,976,976,,
1992-02-24,1020,1020,1020,1020,,
1992-02-25,1058,1058,1058,1058,,
1992-02-26,577,577,577,577,,
1992-02-27,796,796,796,796,,
1992-02-28,885,885,885,885,,
1992-03-02,807,807,807,807,,
1992-03-03,766,766,766,766,,
1992-03-04,1046,1046,1046,1046,,
1992-03-05,1262,1262,1262,1262,,
1992-03-06,1086,1086,1086,1086,,
1992-03-09,839,839,839,839,,
1992-03-10,626,626,626,626,,
1992-03-11,1154,1154,1154,1154,,
1992-03-12,1016,1016,1016,1016,,
1992-03-13,670,670,670,670,,
1992-03-16,927,927,927,927,,
1992-03-17,649,649,649,649,,
1992-03-18,806,806,806,806,,
1992-03-19,775,775,775,775,,
1992-03-20,773,773,773,773,,
1992-03-23,989,989,989,989,,
1992-03-24,990,990,990,990,,
1992-03-25,879,879,879,879,,
1992-03-26,844,844,844,844,,
1992-03-27,1242,1242,1242,1242,,
1992-03-30,921,921,921,921,,
1992-03-31,783,783,783,783,,
1992-04-01,1039,1039,1039,1039,,
1992-04-02,1095,1095,1095,1095,,
1992-04-03,947,947,947,947,,
1992-04-06,681,681,681,681,,
1992-04-07,1383,1383,1383,1383,,
1992-04-08,1394,1394,1394,1394,,
1992-04-09,460,460,460,460,,
1992-04-10,523,523,523,523,,
1992-04-13,785,785,785,785,,
1992-04-14,515,515,515,515,,
