time,open,high,low,close,Volume,Volume MA
2005-01-03,102,102,102,102,,
2005-01-04,25,25,25,25,,
2005-01-05,16,16,16,16,,
2005-01-06,18,18,18,18,,
2005-01-07,29,29,29,29,,
2005-01-10,32,32,32,32,,
2005-01-11,36,36,36,36,,
2005-01-12,36,36,36,36,,
2005-01-13,61,61,61,61,,
2005-01-14,71,71,71,71,,
2005-01-18,119,119,119,119,,
2005-01-19,104,104,104,104,,
2005-01-20,28,28,28,28,,
2005-01-21,41,41,41,41,,
2005-01-24,48,48,48,48,,
2005-01-25,40,40,40,40,,
2005-01-26,44,44,44,44,,
2005-01-27,90,90,90,90,,
2005-01-28,59,59,59,59,,
2005-01-31,128,128,128,128,,
2005-02-01,187,187,187,187,,
2005-02-02,200,200,200,200,,
2005-02-03,161,161,161,161,,
2005-02-04,250,250,250,250,,
2005-02-07,229,229,229,229,,
2005-02-08,146,146,146,146,,
2005-02-09,118,118,118,118,,
2005-02-10,117,117,117,117,,
2005-02-11,187,187,187,187,,
2005-02-14,181,181,181,181,,
2005-02-15,173,173,173,173,,
2005-02-16,188,188,188,188,,
2005-02-17,175,175,175,175,,
2005-02-18,106,106,106,106,,
2005-02-22,134,134,134,134,,
2005-02-23,59,59,59,59,,
2005-02-24,126,126,126,126,,
2005-02-25,227,227,227,227,,
2005-02-28,207,207,207,207,,
2005-03-01,134,134,134,134,,
2005-03-02,122,122,122,122,,
2005-03-03,133,133,133,133,,
2005-03-04,273,273,273,273,,
2005-03-07,229,229,229,229,,
2005-03-08,120,120,120,120,,
2005-03-09,83,83,83,83,,
2005-03-10,29,29,29,29,,
2005-03-11,41,41,41,41,,
2005-03-14,47,47,47,47,,
2005-03-15,84,84,84,84,,
2005-03-16,29,29,29,29,,
2005-03-17,40,40,40,40,,
2005-03-18,52,52,52,52,,
2005-03-21,37,37,37,37,,
2005-03-22,43,43,43,43,,
2005-03-23,9,9,9,9,,
2005-03-24,20,20,20,20,,
2005-03-28,28,28,28,28,,
2005-03-29,20,20,20,20,,
2005-03-30,21,21,21,21,,
2005-03-31,33,33,33,33,,
2005-04-01,49,49,49,49,,
2005-04-04,50,50,50,50,,
2005-04-05,55,55,55,55,,
2005-04-06,76,76,76,76,,
2005-04-07,64,64,64,64,,
2005-04-08,40,40,40,40,,
2005-04-11,30,30,30,30,,
2005-04-12,46,46,46,46,,
2005-04-13,34,34,34,34,,
2005-04-14,11,11,11,11,,
2005-04-15,11,11,11,11,,
2005-04-18,4,4,4,4,,
2005-04-19,9,9,9,9,,
2005-04-20,9,9,9,9,,
2005-04-21,20,20,20,20,,
2005-04-22,28,28,28,28,,
2005-04-25,39,39,39,39,,
2005-04-26,31,31,31,31,,
2005-04-27,34,34,34,34,,
2005-04-28,26,26,26,26,,
2005-04-29,32,32,32,32,,
2005-05-02,52,52,52,52,,
2005-05-03,48,48,48,48,,
2005-05-04,71,71,71,71,,
2005-05-05,76,76,76,76,,
2005-05-06,62,62,62,62,,
2005-05-09,77,77,77,77,,
2005-05-10,52,52,52,52,,
2005-05-11,45,45,45,45,,
2005-05-12,45,45,45,45,,
2005-05-13,21,21,21,21,,
2005-05-16,27,27,27,27,,
2005-05-17,49,49,49,49,,
2005-05-18,97,97,97,97,,
2005-05-19,75,75,75,75,,
2005-05-20,59,59,59,59,,
2005-05-23,96,96,96,96,,
2005-05-24,59,59,59,59,,
2005-05-25,40,40,40,40,,
2005-05-26,78,78,78,78,,
2005-05-27,92,92,92,92,,
2005-05-31,96,96,96,96,,
2005-06-01,150,150,150,150,,
2005-06-02,114,114,114,114,,
2005-06-03,105,105,105,105,,
2005-06-06,97,97,97,97,,
2005-06-07,178,178,178,178,,
2005-06-08,88,88,88,88,,
2005-06-09,76,76,76,76,,
2005-06-10,106,106,106,106,,
2005-06-13,121,121,121,121,,
2005-06-14,154,154,154,154,,
2005-06-15,176,176,176,176,,
2005-06-16,177,177,177,177,,
2005-06-17,247,247,247,247,,
2005-06-20,142,142,142,142,,
2005-06-21,108,108,108,108,,
2005-06-22,107,107,107,107,,
2005-06-23,109,109,109,109,,
2005-06-24,53,53,53,53,,
2005-06-27,68,68,68,68,,
2005-06-28,100,100,100,100,,
2005-06-29,118,118,118,118,,
2005-06-30,111,111,111,111,,
2005-07-01,119,119,119,119,,
2005-07-05,257,257,257,257,,
2005-07-06,201,201,201,201,,
2005-07-07,99,99,99,99,,
2005-07-08,263,263,263,263,,
2005-07-11,325,325,325,325,,
2005-07-12,274,274,274,274,,
2005-07-13,157,157,157,157,,
2005-07-14,168,168,168,168,,
2005-07-15,52,52,52,52,,
2005-07-18,71,71,71,71,,
2005-07-19,129,129,129,129,,
2005-07-20,189,189,189,189,,
2005-07-21,140,140,140,140,,
2005-07-22,134,134,134,134,,
2005-07-25,160,160,160,160,,
2005-07-26,113,113,113,113,,
2005-07-27,130,130,130,130,,
2005-07-28,266,266,266,266,,
2005-07-29,233,233,233,233,,
2005-08-01,198,198,198,198,,
2005-08-02,257,257,257,257,,
2005-08-03,224,224,224,224,,
2005-08-04,89,89,89,89,,
2005-08-05,42,42,42,42,,
2005-08-08,75,75,75,75,,
2005-08-09,58,58,58,58,,
2005-08-10,122,122,122,122,,
2005-08-11,121,121,121,121,,
2005-08-12,85,85,85,85,,
2005-08-15,72,72,72,72,,
2005-08-16,29,29,29,29,,
2005-08-17,23,23,23,23,,
2005-08-18,19,19,19,19,,
2005-08-19,20,20,20,20,,
2005-08-22,32,32,32,32,,
2005-08-23,26,26,26,26,,
2005-08-24,44,44,44,44,,
2005-08-25,28,28,28,28,,
2005-08-26,25,25,25,25,,
2005-08-29,39,39,39,39,,
2005-08-30,58,58,58,58,,
2005-08-31,133,133,133,133,,
2005-09-01,182,182,182,182,,
2005-09-02,75,75,75,75,,
2005-09-06,123,123,123,123,,
2005-09-07,110,110,110,110,,
2005-09-08,84,84,84,84,,
2005-09-09,147,147,147,147,,
2005-09-12,126,126,126,126,,
2005-09-13,69,69,69,69,,
2005-09-14,45,45,45,45,,
2005-09-15,76,76,76,76,,
2005-09-16,129,129,129,129,,
2005-09-19,140,140,140,140,,
2005-09-20,110,110,110,110,,
2005-09-21,90,90,90,90,,
2005-09-22,77,77,77,77,,
2005-09-23,32,32,32,32,,
2005-09-26,75,75,75,75,,
2005-09-27,61,61,61,61,,
2005-09-28,107,107,107,107,,
2005-09-29,128,128,128,128,,
2005-09-30,139,139,139,139,,
2005-10-03,163,163,163,163,,
2005-10-04,156,156,156,156,,
2005-10-05,19,19,19,19,,
2005-10-06,8,8,8,8,,
2005-10-07,14,14,14,14,,
2005-10-10,16,16,16,16,,
2005-10-11,16,16,16,16,,
2005-10-12,9,9,9,9,,
2005-10-13,3,3,3,3,,
2005-10-14,8,8,8,8,,
2005-10-17,14,14,14,14,,
2005-10-18,16,16,16,16,,
2005-10-19,24,24,24,24,,
2005-10-20,30,30,30,30,,
2005-10-21,19,19,19,19,,
2005-10-24,46,46,46,46,,
2005-10-25,39,39,39,39,,
2005-10-26,44,44,44,44,,
2005-10-27,23,23,23,23,,
2005-10-28,32,32,32,32,,
2005-10-31,74,74,74,74,,
2005-11-01,65,65,65,65,,
2005-11-02,112,112,112,112,,
2005-11-03,133,133,133,133,,
2005-11-04,49,49,49,49,,
2005-11-07,75,75,75,75,,
2005-11-08,42,42,42,42,,
2005-11-09,76,76,76,76,,
2005-11-10,100,100,100,100,,
2005-11-11,99,99,99,99,,
2005-11-14,92,92,92,92,,
2005-11-15,62,62,62,62,,
2005-11-16,33,33,33,33,,
2005-11-17,111,111,111,111,,
2005-11-18,143,143,143,143,,
2005-11-21,138,138,138,138,,
2005-11-22,155,155,155,155,,
2005-11-23,170,170,170,170,,
2005-11-25,91,91,91,91,,
2005-11-28,92,92,92,92,,
2005-11-29,94,94,94,94,,
2005-11-30,80,80,80,80,,
2005-12-01,160,160,160,160,,
2005-12-02,132,132,132,132,,
2005-12-05,108,108,108,108,,
2005-12-06,159,159,159,159,,
2005-12-07,80,80,80,80,,
2005-12-08,87,87,87,87,,
2005-12-09,70,70,70,70,,
2005-12-12,114,114,114,114,,
2005-12-13,129,129,129,129,,
2005-12-14,116,116,116,116,,
2005-12-15,72,72,72,72,,
2005-12-16,99,99,99,99,,
2005-12-19,40,40,40,40,,
2005-12-20,27,27,27,27,,
2005-12-21,54,54,54,54,,
2005-12-22,67,67,67,67,,
2005-12-23,90,90,90,90,,
2005-12-27,76,76,76,76,,
2005-12-28,45,45,45,45,,
2005-12-29,50,50,50,50,,
2005-12-30,17,17,17,17,,
2006-01-03,136,136,136,136,,
2006-01-04,195,195,195,195,,
2006-01-05,137,137,137,137,,
2006-01-06,241,241,241,241,,
2006-01-09,225,225,225,225,,
2006-01-10,187,187,187,187,,
2006-01-11,180,180,180,180,,
2006-01-12,131,131,131,131,,
2006-01-13,71,71,71,71,,
2006-01-17,102,102,102,102,,
2006-01-18,58,58,58,58,,
2006-01-19,159,159,159,159,,
2006-01-20,168,168,168,168,,
2006-01-23,93,93,93,93,,
2006-01-24,173,173,173,173,,
2006-01-25,154,154,154,154,,
2006-01-26,213,213,213,213,,
2006-01-27,294,294,294,294,,
2006-01-30,199,199,199,199,,
2006-01-31,197,197,197,197,,
2006-02-01,203,203,203,203,,
2006-02-02,88,88,88,88,,
2006-02-03,58,58,58,58,,
2006-02-06,88,88,88,88,,
