time,open,high,low,close,Volume,Volume MA
2005-01-03,2,2,2,2,,
2005-01-04,3,3,3,3,,
2005-01-05,5,5,5,5,,
2005-01-06,4,4,4,4,,
2005-01-07,5,5,5,5,,
2005-01-10,2,2,2,2,,
2005-01-11,6,6,6,6,,
2005-01-12,6,6,6,6,,
2005-01-13,9,9,9,9,,
2005-01-14,6,6,6,6,,
2005-01-18,4,4,4,4,,
2005-01-19,3,3,3,3,,
2005-01-20,8,8,8,8,,
2005-01-21,12,12,12,12,,
2005-01-24,14,14,14,14,,
2005-01-25,9,9,9,9,,
2005-01-26,7,7,7,7,,
2005-01-27,3,3,3,3,,
2005-01-28,5,5,5,5,,
2005-01-31,2,2,2,2,,
2005-02-01,3,3,3,3,,
2005-02-02,3,3,3,3,,
2005-02-03,6,6,6,6,,
2005-02-04,4,4,4,4,,
2005-02-07,3,3,3,3,,
2005-02-08,5,5,5,5,,
2005-02-09,6,6,6,6,,
2005-02-10,7,7,7,7,,
2005-02-11,5,5,5,5,,
2005-02-14,4,4,4,4,,
2005-02-15,5,5,5,5,,
2005-02-16,2,2,2,2,,
2005-02-17,3,3,3,3,,
2005-02-18,5,5,5,5,,
2005-02-22,9,9,9,9,,
2005-02-23,9,9,9,9,,
2005-02-24,11,11,11,11,,
2005-02-25,3,3,3,3,,
2005-02-28,9,9,9,9,,
2005-03-01,8,8,8,8,,
2005-03-02,6,6,6,6,,
2005-03-03,8,8,8,8,,
2005-03-04,4,4,4,4,,
2005-03-07,3,3,3,3,,
2005-03-08,4,4,4,4,,
2005-03-09,7,7,7,7,,
2005-03-10,5,5,5,5,,
2005-03-11,8,8,8,8,,
2005-03-14,4,4,4,4,,
2005-03-15,5,5,5,5,,
2005-03-16,9,9,9,9,,
2005-03-17,8,8,8,8,,
2005-03-18,16,16,16,16,,
2005-03-21,14,14,14,14,,
2005-03-22,14,14,14,14,,
2005-03-23,22,22,22,22,,
2005-03-24,13,13,13,13,,
2005-03-28,6,6,6,6,,
2005-03-29,21,21,21,21,,
2005-03-30,11,11,11,11,,
2005-03-31,12,12,12,12,,
2005-04-01,16,16,16,16,,
2005-04-04,22,22,22,22,,
2005-04-05,10,10,10,10,,
2005-04-06,9,9,9,9,,
2005-04-07,9,9,9,9,,
2005-04-08,11,11,11,11,,
2005-04-11,21,21,21,21,,
2005-04-12,27,27,27,27,,
2005-04-13,18,18,18,18,,
2005-04-14,44,44,44,44,,
2005-04-15,69,69,69,69,,
2005-04-18,44,44,44,44,,
2005-04-19,21,21,21,21,,
2005-04-20,41,41,41,41,,
2005-04-21,20,20,20,20,,
2005-04-22,43,43,43,43,,
2005-04-25,20,20,20,20,,
2005-04-26,37,37,37,37,,
2005-04-27,64,64,64,64,,
2005-04-28,70,70,70,70,,
2005-04-29,66,66,66,66,,
2005-05-02,27,27,27,27,,
2005-05-03,20,20,20,20,,
2005-05-04,12,12,12,12,,
2005-05-05,8,8,8,8,,
2005-05-06,6,6,6,6,,
2005-05-09,9,9,9,9,,
2005-05-10,14,14,14,14,,
2005-05-11,22,22,22,22,,
2005-05-12,35,35,35,35,,
2005-05-13,52,52,52,52,,
2005-05-16,24,24,24,24,,
2005-05-17,19,19,19,19,,
2005-05-18,8,8,8,8,,
2005-05-19,6,6,6,6,,
2005-05-20,8,8,8,8,,
2005-05-23,5,5,5,5,,
2005-05-24,7,7,7,7,,
2005-05-25,11,11,11,11,,
2005-05-26,10,10,10,10,,
2005-05-27,8,8,8,8,,
2005-05-31,8,8,8,8,,
2005-06-01,5,5,5,5,,
2005-06-02,6,6,6,6,,
2005-06-03,11,11,11,11,,
2005-06-06,5,5,5,5,,
2005-06-07,7,7,7,7,,
2005-06-08,12,12,12,12,,
2005-06-09,9,9,9,9,,
2005-06-10,10,10,10,10,,
2005-06-13,4,4,4,4,,
2005-06-14,5,5,5,5,,
2005-06-15,2,2,2,2,,
2005-06-16,3,3,3,3,,
2005-06-17,3,3,3,3,,
2005-06-20,6,6,6,6,,
2005-06-21,4,4,4,4,,
2005-06-22,7,7,7,7,,
2005-06-23,11,11,11,11,,
2005-06-24,20,20,20,20,,
2005-06-27,20,20,20,20,,
2005-06-28,5,5,5,5,,
2005-06-29,8,8,8,8,,
2005-06-30,11,11,11,11,,
2005-07-01,6,6,6,6,,
2005-07-05,7,7,7,7,,
2005-07-06,7,7,7,7,,
2005-07-07,17,17,17,17,,
2005-07-12,3,3,3,3,,
2005-07-13,2,2,2,2,,
2005-07-14,1,1,1,1,,
2005-07-15,1,1,1,1,,
2005-07-18,5,5,5,5,,
2005-07-19,5,5,5,5,,
2005-07-20,3,3,3,3,,
2005-07-21,7,7,7,7,,
2005-07-22,3,3,3,3,,
2005-07-25,4,4,4,4,,
2005-07-26,7,7,7,7,,
2005-07-27,4,4,4,4,,
2005-07-28,4,4,4,4,,
2005-07-29,3,3,3,3,,
2005-08-01,2,2,2,2,,
2005-08-02,2,2,2,2,,
2005-08-03,3,3,3,3,,
2005-08-04,6,6,6,6,,
2005-08-05,11,11,11,11,,
2005-08-08,10,10,10,10,,
2005-08-09,6,6,6,6,,
2005-08-10,8,8,8,8,,
2005-08-11,6,6,6,6,,
2005-08-12,11,11,11,11,,
2005-08-15,4,4,4,4,,
2005-08-16,6,6,6,6,,
2005-08-17,7,7,7,7,,
2005-08-18,12,12,12,12,,
2005-08-19,3,3,3,3,,
2005-08-22,5,5,5,5,,
2005-08-23,12,12,12,12,,
2005-08-24,14,14,14,14,,
2005-08-25,14,14,14,14,,
2005-08-26,16,16,16,16,,
2005-08-29,23,23,23,23,,
2005-08-30,21,21,21,21,,
2005-08-31,13,13,13,13,,
2005-09-01,10,10,10,10,,
2005-09-02,11,11,11,11,,
