Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-02,40.5,41.25,40.25,41.25,10.458127975463867,600000,0.0,0.0
1996-01-03,41.125,41.375,41.125,41.25,10.458127975463867,1826200,0.0,0.0
1996-01-04,41.375,41.75,41.375,41.5,10.521506309509277,1008100,0.0,0.0
1996-01-05,41.5,41.75,41.25,41.5,10.521506309509277,489000,0.0,0.0
1996-01-08,41.375,41.625,41.25,41.375,10.48982048034668,82500,0.0,0.0
1996-01-09,41.375,42.125,41.375,42.0,10.648274421691895,685900,0.0,0.0
1996-01-10,41.875,42.125,41.75,41.75,10.584893226623535,439400,0.0,0.0
1996-01-11,41.625,42.125,41.375,42.125,10.679969787597656,461200,0.0,0.0
1996-01-12,42.25,42.5,41.875,41.875,10.616585731506348,531000,0.0,0.0
1996-01-15,41.625,41.875,41.375,41.5,10.521506309509277,262000,0.0,0.0
1996-01-16,41.625,42.5,41.625,42.375,10.743349075317383,326800,0.0,0.0
1996-01-17,42.625,43.125,42.5,42.625,10.806731224060059,702400,0.0,0.0
1996-01-18,42.5,42.75,42.25,42.5,10.775042533874512,727800,0.0,0.0
1996-01-19,42.25,42.75,42.125,42.5,10.775042533874512,671000,0.0,0.0
1996-01-22,42.625,42.875,42.625,42.75,10.838427543640137,378600,0.0,0.0
1996-01-23,42.625,43.25,42.5,42.875,10.870113372802734,477000,0.0,0.0
1996-01-24,43.0,43.375,43.0,43.125,10.933496475219727,280100,0.0,0.0
1996-01-25,43.125,43.625,43.0,43.546875,11.040456771850586,723300,0.0,0.0
1996-01-26,43.625,43.875,43.25,43.875,11.123650550842285,387900,0.0,0.0
1996-01-29,43.75,44.125,43.75,44.0,11.155342102050781,366700,0.0,0.0
1996-01-30,43.875,44.375,43.875,44.0,11.155342102050781,427400,0.0,0.0
1996-01-31,44.125,44.25,44.0,44.25,11.218719482421875,298000,0.0,0.0
1996-02-01,44.125,44.25,44.0,44.125,11.187032699584961,315200,0.0,0.0
1996-02-02,44.125,44.125,43.625,43.75,11.091961860656738,226700,0.0,0.0
1996-02-05,43.625,44.0,43.625,44.0,11.155342102050781,412200,0.0,0.0
1996-02-06,44.0,44.125,43.625,43.75,11.091961860656738,304700,0.0,0.0
1996-02-07,43.75,44.125,43.75,44.0,11.155342102050781,952500,0.0,0.0
1996-02-08,43.25,43.375,43.125,43.25,11.116785049438477,592100,0.6,0.0
1996-02-09,43.375,43.875,43.25,43.625,11.213173866271973,911900,0.0,0.0
1996-02-12,43.75,44.375,43.625,44.375,11.405946731567383,743300,0.0,0.0
1996-02-13,44.25,44.75,43.375,44.25,11.373819351196289,412600,0.0,0.0
1996-02-14,44.125,44.375,43.75,43.875,11.277425765991211,352400,0.0,0.0
1996-02-15,43.625,44.375,43.625,44.125,11.34168815612793,605700,0.0,0.0
1996-02-16,44.0,44.25,43.875,43.875,11.277425765991211,641300,0.0,0.0
1996-02-20,43.625,43.875,43.375,43.5,11.181041717529297,634100,0.0,0.0
1996-02-21,43.5,43.75,43.25,43.625,11.213173866271973,476100,0.0,0.0
1996-02-22,43.75,43.875,43.625,43.875,11.277425765991211,188400,0.0,0.0
1996-02-23,44.0,44.25,43.875,43.875,11.277425765991211,437700,0.0,0.0
1996-02-26,43.75,43.75,43.5,43.625,11.213173866271973,694800,0.0,0.0
1996-02-27,43.625,43.875,43.375,43.5,11.181041717529297,444900,0.0,0.0
1996-02-28,43.625,44.0,43.625,43.75,11.245302200317383,422000,0.0,0.0
1996-02-29,43.125,43.375,42.75,42.875,11.020391464233398,933000,0.0,0.0
1996-03-01,43.0,43.125,42.125,43.0,11.052526473999023,634700,0.0,0.0
1996-03-04,43.0,43.5,42.75,43.25,11.116785049438477,664500,0.0,0.0
1996-03-05,43.0,43.125,42.75,43.125,11.084650993347168,346800,0.0,0.0
1996-03-06,43.125,43.125,42.5,42.625,10.956132888793945,167200,0.0,0.0
1996-03-07,42.5,43.0,42.375,43.0,11.052526473999023,265200,0.0,0.0
1996-03-08,42.75,42.75,41.625,42.0,10.795488357543945,446300,0.0,0.0
