Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-02,21.5,22.5,21.375,22.375,8.90536880493164,389000,0.0,0.0
1996-01-03,22.125,22.125,20.75,20.875,8.308358192443848,529400,0.0,0.0
1996-01-04,21.25,21.375,20.375,20.5,8.159104347229004,406200,0.0,0.0
1996-01-05,20.5,20.5,19.5,19.5,7.761106967926025,538200,0.0,0.0
1996-01-08,19.625,19.875,19.5,19.625,7.810854911804199,167900,0.0,0.0
1996-01-09,19.875,20.0,19.0,19.25,7.661597728729248,449300,0.0,0.0
1996-01-10,19.375,19.375,18.75,18.75,7.462601661682129,339700,0.0,0.0
1996-01-11,19.125,19.25,18.625,18.75,7.462601661682129,446800,0.0,0.0
1996-01-12,18.625,19.375,18.625,19.25,7.661597728729248,308800,0.0,0.0
1996-01-15,19.375,19.5,18.875,19.125,7.611854076385498,177600,0.0,0.0
1996-01-16,19.125,19.5,18.875,19.0,7.562099933624268,277400,0.0,0.0
1996-01-17,19.125,19.75,19.0,19.5,7.761106967926025,241000,0.0,0.0
1996-01-18,19.5,19.75,19.25,19.625,7.810854911804199,291200,0.0,0.0
1996-01-19,19.75,20.375,19.75,20.0,7.960106372833252,203400,0.0,0.0
1996-01-22,19.875,19.875,18.875,19.0,7.562099933624268,331800,0.0,0.0
1996-01-23,19.0,19.0,18.125,18.375,7.313346862792969,996800,0.0,0.0
1996-01-24,18.375,18.5,17.75,18.25,7.263597011566162,1006000,0.0,0.0
1996-01-25,18.375,18.625,18.25,18.375,7.313346862792969,704500,0.0,0.0
1996-01-26,18.25,18.375,18.125,18.375,7.313346862792969,637100,0.0,0.0
1996-01-29,18.375,18.5,18.125,18.25,7.263597011566162,205200,0.0,0.0
1996-01-30,18.5,18.625,18.25,18.5,7.363096714019775,404000,0.0,0.0
1996-01-31,18.375,18.75,18.125,18.625,7.412848472595215,774400,0.0,0.0
1996-02-01,18.75,19.0,18.5,18.75,7.462601661682129,452300,0.0,0.0
1996-02-02,19.0,19.0,18.625,18.875,7.5123515129089355,382200,0.0,0.0
1996-02-05,18.625,19.125,18.5,19.125,7.611854076385498,323500,0.0,0.0
1996-02-06,19.0,19.75,19.0,19.375,7.711349964141846,918300,0.0,0.0
1996-02-07,19.5,19.75,19.375,19.5,7.761106967926025,813600,0.0,0.0
1996-02-08,19.75,19.875,19.375,19.75,7.8606085777282715,356000,0.0,0.0
1996-02-09,19.75,20.5,19.75,20.375,8.109356880187988,442800,0.0,0.0
1996-02-12,20.25,20.75,20.25,20.5,8.159104347229004,377000,0.0,0.0
1996-02-13,20.625,20.875,20.5,20.75,8.258604049682617,504300,0.0,0.0
1996-02-14,20.75,21.125,20.625,20.875,8.308358192443848,395300,0.0,0.0
1996-02-15,20.875,21.5,20.75,21.375,8.507364273071289,471000,0.0,0.0
1996-02-16,21.375,21.625,20.5,20.625,8.208858489990234,501400,0.0,0.0
1996-02-20,20.25,20.5,19.875,20.25,8.059606552124023,305900,0.0,0.0
1996-02-21,20.25,20.75,20.125,20.375,8.142324447631836,181400,0.082,0.0
1996-02-22,20.25,20.875,20.125,20.875,8.342137336730957,625200,0.0,0.0
1996-02-23,20.875,21.25,20.25,20.5,8.19228458404541,506900,0.0,0.0
1996-02-26,20.625,20.625,20.375,20.5,8.19228458404541,88200,0.0,0.0
1996-02-27,20.5,21.125,20.5,20.875,8.342137336730957,201900,0.0,0.0
1996-02-28,20.875,21.125,20.625,20.75,8.292184829711914,354900,0.0,0.0
1996-02-29,20.625,21.125,20.625,20.75,8.292184829711914,116100,0.0,0.0
1996-03-01,20.75,21.0,20.5,20.5,8.19228458404541,179300,0.0,0.0
1996-03-04,20.5,21.125,20.5,21.0,8.392095565795898,246500,0.0,0.0
1996-03-05,21.0,21.0,20.625,20.75,8.292184829711914,251200,0.0,0.0
1996-03-06,20.625,20.875,20.5625,20.625,8.242233276367188,138200,0.0,0.0
1996-03-07,20.625,20.875,20.5,20.75,8.292184829711914,376400,0.0,0.0
1996-03-08,20.75,20.75,20.125,20.125,8.042426109313965,218500,0.0,0.0
1996-03-11,20.0,20.0,19.375,19.375,7.742707252502441,345400,0.0,0.0
1996-03-12,19.5,19.875,19.0,19.875,7.942517280578613,361400,0.0,0.0
1996-03-13,20.0,20.0,19.625,19.875,7.942517280578613,208300,0.0,0.0
1996-03-14,19.875,20.0,19.75,20.0,7.992467880249023,171800,0.0,0.0
1996-03-15,20.0,20.25,19.875,19.875,7.942517280578613,194700,0.0,0.0
1996-03-18,20.0,20.5,19.75,20.375,8.142324447631836,166300,0.0,0.0
1996-03-19,20.375,20.5,19.875,20.125,8.042426109313965,121200,0.0,0.0
1996-03-20,20.0,20.375,20.0,20.25,8.092370986938477,67100,0.0,0.0
1996-03-21,20.25,20.375,20.125,20.25,8.092370986938477,112700,0.0,0.0
1996-03-22,20.125,20.5,20.125,20.25,8.092370986938477,194700,0.0,0.0
1996-03-25,20.375,20.625,19.5,20.375,8.142324447631836,71400,0.0,0.0
1996-03-26,20.25,20.5,20.0,20.25,8.092370986938477,166300,0.0,0.0
1996-03-27,20.25,20.375,20.0,20.125,8.042426109313965,155900,0.0,0.0
1996-03-28,20.0,20.375,19.875,20.25,8.092370986938477,211000,0.0,0.0
1996-03-29,20.375,20.5,20.0,20.125,8.042426109313965,305900,0.0,0.0
1996-04-01,20.125,20.5,19.875,20.125,8.042426109313965,319800,0.0,0.0
1996-04-02,20.25,20.5,19.875,20.125,8.042426109313965,373100,0.0,0.0
1996-04-03,20.25,20.375,20.0,20.125,8.042426109313965,254200,0.0,0.0
1996-04-04,20.375,20.625,20.0,20.5,8.19228458404541,258800,0.0,0.0
1996-04-08,20.125,20.25,19.625,20.0,7.992467880249023,398900,0.0,0.0
1996-04-09,20.125,20.25,19.625,20.0,7.992467880249023,408100,0.0,0.0
1996-04-10,20.0,20.75,20.0,20.5,8.19228458404541,502900,0.0,0.0
1996-04-11,20.625,20.75,20.375,20.5,8.19228458404541,169300,0.0,0.0
1996-04-12,20.5,20.875,20.5,20.875,8.342137336730957,165600,0.0,0.0
1996-04-15,20.875,21.0,20.75,21.0,8.392095565795898,137700,0.0,0.0
1996-04-16,22.125,24.125,22.125,23.25,9.291247367858887,1394400,0.0,0.0
1996-04-17,23.25,24.125,23.125,23.625,9.441105842590332,904000,0.0,0.0
1996-04-18,23.5,24.75,23.375,24.5,9.790778160095215,1143400,0.0,0.0
1996-04-19,24.5,24.625,24.375,24.625,9.840730667114258,862300,0.0,0.0
1996-04-22,24.75,25.25,24.25,24.75,9.890682220458984,989100,0.0,0.0
1996-04-23,24.875,24.875,24.25,24.5,9.790778160095215,627400,0.0,0.0
1996-04-24,24.5,24.75,23.875,23.875,9.541007041931152,609500,0.0,0.0
1996-04-25,24.125,25.0,24.0,25.0,9.99059009552002,482200,0.0,0.0
1996-04-26,25.0,25.25,24.5,24.75,9.890682220458984,275600,0.0,0.0
1996-04-29,24.75,24.75,23.875,24.125,9.640920639038086,345300,0.0,0.0
1996-04-30,24.125,24.625,23.875,24.5,9.790778160095215,400900,0.0,0.0
1996-05-01,24.625,25.25,24.375,24.5,9.790778160095215,458400,0.0,0.0
1996-05-02,24.5,24.625,23.875,23.875,9.541007041931152,245200,0.0,0.0
1996-05-03,24.0,24.0,23.5,23.5,9.391153335571289,240200,0.0,0.0
1996-05-06,23.625,24.0,23.375,24.0,9.590965270996094,426800,0.0,0.0
1996-05-07,24.0,24.75,23.875,24.625,9.840730667114258,536000,0.0,0.0
1996-05-08,24.625,24.875,24.125,24.5,9.790778160095215,274000,0.0,0.0
1996-05-09,24.875,26.375,24.875,25.5,10.190398216247559,637800,0.0,0.0
1996-05-10,25.75,26.0,25.0,25.5,10.190398216247559,656800,0.0,0.0
1996-05-13,25.625,25.875,25.5,25.75,10.290308952331543,346200,0.0,0.0
1996-05-14,25.625,25.875,25.5,25.5,10.190398216247559,901400,0.0,0.0
1996-05-15,25.625,26.125,25.5,25.75,10.290308952331543,486700,0.0,0.0
1996-05-16,25.75,26.25,25.75,26.125,10.440164566040039,1192400,0.0,0.0
1996-05-17,26.25,26.5,26.125,26.5,10.590021133422852,624200,0.0,0.0
1996-05-20,26.625,27.0,26.5,26.5,10.590021133422852,389700,0.0,0.0
1996-05-21,26.625,26.875,26.375,26.5,10.590021133422852,185300,0.0,0.0
1996-05-22,26.25,26.5,26.0,26.25,10.522677421569824,300700,0.082,0.0
1996-05-23,26.25,26.25,25.25,25.5,10.222029685974121,379800,0.0,0.0
1996-05-24,25.75,25.75,25.375,25.5,10.222029685974121,205600,0.0,0.0
1996-05-28,25.5,25.75,25.25,25.25,10.121811866760254,243200,0.0,0.0
1996-05-29,25.25,25.375,24.875,24.875,9.971492767333984,376300,0.0,0.0
1996-05-30,24.875,25.125,24.75,25.0,10.021602630615234,236900,0.0,0.0
1996-05-31,25.125,25.125,24.75,24.75,9.921382904052734,223500,0.0,0.0
1996-06-03,24.875,24.875,24.375,24.5,9.821168899536133,168100,0.0,0.0
1996-06-04,24.625,25.0,24.125,24.375,9.771062850952148,2025100,0.0,0.0
1996-06-05,24.375,25.375,24.375,25.0,10.021602630615234,314700,0.0,0.0
1996-06-06,25.0,25.375,25.0,25.0,10.021602630615234,197500,0.0,0.0
1996-06-07,25.0,25.0,24.375,24.5,9.821168899536133,198400,0.0,0.0
1996-06-10,24.375,25.125,24.375,25.125,10.071707725524902,220700,0.0,0.0
1996-06-11,25.0,25.25,25.0,25.0,10.021602630615234,387100,0.0,0.0
1996-06-12,25.25,26.25,25.125,25.875,10.372353553771973,351500,0.0,0.0
1996-06-13,25.75,26.125,25.25,25.75,10.322246551513672,374100,0.0,0.0
1996-06-14,26.0,27.75,25.75,26.75,10.72311019897461,677100,0.0,0.0
1996-06-17,26.5,26.625,25.0,25.125,10.071707725524902,749900,0.0,0.0
1996-06-18,25.375,26.0,25.25,25.625,10.272136688232422,286700,0.0,0.0
1996-06-19,25.625,25.75,25.25,25.375,10.171923637390137,328600,0.0,0.0
1996-06-20,25.375,25.875,25.25,25.875,10.372353553771973,299700,0.0,0.0
1996-06-21,25.5,25.625,24.75,24.75,9.921382904052734,623100,0.0,0.0
1996-06-24,25.125,26.0,25.0,25.875,10.372353553771973,365300,0.0,0.0
1996-06-25,25.875,26.0,25.125,25.625,10.272136688232422,427200,0.0,0.0
1996-06-26,25.5,25.75,25.5,25.5,10.222029685974121,177800,0.0,0.0
1996-06-27,25.625,25.75,25.25,25.375,10.171923637390137,280900,0.0,0.0
1996-06-28,25.625,26.25,25.5,26.25,10.522677421569824,201400,0.0,0.0
1996-07-01,26.25,26.25,25.75,26.0,10.422457695007324,131300,0.0,0.0
1996-07-02,26.0,26.25,25.875,26.0,10.422457695007324,122500,0.0,0.0
1996-07-03,26.0,26.125,25.75,26.0,10.422457695007324,209000,0.0,0.0
1996-07-05,25.875,26.25,25.75,26.125,10.472569465637207,55900,0.0,0.0
1996-07-08,25.875,25.875,25.375,25.375,10.171923637390137,188700,0.0,0.0
1996-07-09,25.375,25.875,25.375,25.5,10.222029685974121,235300,0.0,0.0
1996-07-10,25.25,25.25,24.625,24.875,9.971492767333984,183800,0.0,0.0
1996-07-11,24.875,25.0,24.5,24.625,9.871271133422852,241000,0.0,0.0
1996-07-12,24.5,25.0,24.5,25.0,10.021602630615234,357600,0.0,0.0
1996-07-15,25.125,25.25,24.5,24.625,9.871271133422852,187900,0.0,0.0
1996-07-16,24.375,25.0,24.125,24.5,9.821168899536133,521500,0.0,0.0
1996-07-17,24.375,25.375,24.375,24.75,9.921382904052734,904400,0.0,0.0
1996-07-18,24.875,25.0,24.625,25.0,10.021602630615234,641900,0.0,0.0
1996-07-19,25.0,25.875,25.0,25.375,10.171923637390137,403400,0.0,0.0
1996-07-22,25.375,25.625,25.25,25.5,10.222029685974121,155200,0.0,0.0
1996-07-23,25.5,25.875,25.125,25.125,10.071707725524902,387700,0.0,0.0
1996-07-24,25.0,25.25,24.625,25.125,10.071707725524902,335500,0.0,0.0
1996-07-25,25.125,25.625,24.875,25.375,10.171923637390137,400900,0.0,0.0
1996-07-26,25.375,25.375,24.875,25.25,10.121811866760254,176000,0.0,0.0
1996-07-29,25.25,25.5,24.875,25.5,10.222029685974121,145900,0.0,0.0
1996-07-30,25.5,25.75,25.25,25.625,10.272136688232422,147400,0.0,0.0
1996-07-31,25.75,25.75,24.875,25.125,10.071707725524902,230700,0.0,0.0
1996-08-01,25.25,25.25,24.875,25.125,10.071707725524902,763100,0.0,0.0
1996-08-02,25.5,25.5,24.625,24.75,9.921382904052734,550900,0.0,0.0
1996-08-05,25.25,25.375,24.875,25.0,10.021602630615234,396900,0.0,0.0
1996-08-06,25.0,25.0,24.75,25.0,10.021602630615234,285300,0.0,0.0
1996-08-07,25.0,25.125,24.75,25.0,10.021602630615234,270500,0.0,0.0
1996-08-08,25.0,25.0,24.75,24.875,9.971492767333984,355300,0.0,0.0
1996-08-09,24.875,24.875,24.375,24.875,9.971492767333984,243700,0.0,0.0
1996-08-12,24.75,25.0,24.625,24.875,9.971492767333984,218500,0.0,0.0
