Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-02,22.625,23.0,22.5,23.0,5.648741245269775,29400,0.0,0.0
1996-01-03,23.125,23.125,22.75,22.875,5.6180419921875,32500,0.0,0.0
1996-01-04,22.875,23.0,22.625,22.625,5.556644439697266,46700,0.0,0.0
1996-01-05,22.75,22.75,22.375,22.625,5.556644439697266,23200,0.0,0.0
1996-01-08,22.5,22.5,22.375,22.375,5.495242118835449,3400,0.0,0.0
1996-01-09,22.375,22.75,22.375,22.75,5.587344169616699,78600,0.0,0.0
1996-01-10,22.75,22.75,22.375,22.375,5.495242118835449,40100,0.0,0.0
1996-01-11,22.5,22.5,22.375,22.5,5.525944232940674,22400,0.0,0.0
1996-01-12,22.375,22.5,22.125,22.375,5.495242118835449,51000,0.0,0.0
1996-01-15,22.625,22.625,22.375,22.5,5.525944232940674,18000,0.0,0.0
1996-01-16,22.5,22.5,22.375,22.5,5.525944232940674,27000,0.0,0.0
1996-01-17,22.5,22.5,22.25,22.375,5.495242118835449,68200,0.0,0.0
1996-01-18,21.75,22.125,21.625,22.125,5.433844566345215,114400,0.0,0.0
1996-01-19,22.25,22.375,22.0,22.125,5.433844566345215,42000,0.0,0.0
1996-01-22,22.25,22.25,22.0,22.0,5.403140544891357,18600,0.0,0.0
1996-01-23,22.0,22.0,21.75,21.875,5.372443675994873,30800,0.0,0.0
1996-01-24,21.875,22.0,21.625,21.625,5.311042785644531,31000,0.0,0.0
1996-01-25,21.875,22.0,21.5,21.625,5.311042785644531,20700,0.0,0.0
1996-01-26,21.875,21.875,21.625,21.75,5.3417463302612305,21400,0.0,0.0
1996-01-29,21.625,21.625,20.875,21.25,5.218946933746338,37100,0.0,0.0
1996-01-30,21.125,21.5,21.125,21.375,5.249644756317139,15800,0.0,0.0
1996-01-31,21.375,21.5,21.125,21.375,5.249644756317139,36200,0.0,0.0
1996-02-01,21.375,21.375,21.125,21.25,5.218946933746338,21200,0.0,0.0
1996-02-02,21.25,21.375,20.875,21.125,5.1882452964782715,70500,0.0,0.0
1996-02-05,21.125,21.125,21.0,21.125,5.1882452964782715,61400,0.0,0.0
1996-02-06,21.125,21.5,21.0,21.375,5.249644756317139,42700,0.0,0.0
1996-02-07,21.125,21.25,21.125,21.25,5.218946933746338,29400,0.0,0.0
1996-02-08,21.25,21.25,21.125,21.125,5.1882452964782715,97500,0.0,0.0
1996-02-09,21.25,21.5,21.25,21.375,5.249644756317139,58400,0.0,0.0
1996-02-12,21.375,21.5,21.25,21.375,5.249644756317139,36100,0.0,0.0
1996-02-13,21.25,21.375,21.25,21.25,5.218946933746338,52200,0.0,0.0
1996-02-14,21.25,21.25,20.5,20.625,5.065449237823486,146100,0.0,0.0
1996-02-15,20.5,20.625,20.25,20.375,5.0040483474731445,86200,0.0,0.0
1996-02-16,20.375,21.125,20.25,21.125,5.1882452964782715,141900,0.0,0.0
1996-02-20,21.0,21.25,21.0,21.25,5.218946933746338,45700,0.0,0.0
1996-02-21,21.125,21.5,21.125,21.5,5.280345439910889,50000,0.0,0.0
1996-02-22,21.625,22.0,21.5,22.0,5.403140544891357,64300,0.0,0.0
1996-02-23,22.0,22.0,21.25,21.5,5.280345439910889,101200,0.0,0.0
1996-02-26,21.5,21.875,21.5,21.875,5.372443675994873,25600,0.0,0.0
1996-02-27,21.875,22.125,21.875,22.0,5.403140544891357,48500,0.0,0.0
1996-02-28,22.125,22.25,22.0,22.125,5.433844566345215,59900,0.0,0.0
1996-02-29,22.125,22.5,22.0,22.5,5.525944232940674,28300,0.0,0.0
1996-03-01,22.5,22.625,22.25,22.5,5.525944232940674,22500,0.0,0.0
1996-03-04,22.5,22.625,22.5,22.5,5.525944232940674,38600,0.0,0.0
1996-03-05,22.625,22.75,22.5,22.75,5.587344169616699,44300,0.0,0.0
1996-03-06,22.625,22.75,22.5,22.625,5.556644439697266,18900,0.0,0.0
1996-03-07,22.625,22.75,22.5,22.75,5.587344169616699,18400,0.0,0.0
1996-03-08,22.5,22.75,22.375,22.375,5.495242118835449,19800,0.0,0.0
1996-03-11,22.25,22.75,22.0,22.625,5.556644439697266,29300,0.0,0.0
1996-03-12,22.5,22.75,22.5,22.75,5.587344169616699,35500,0.0,0.0
1996-03-13,22.625,22.75,22.625,22.625,5.556644439697266,29600,0.0,0.0
1996-03-14,22.625,22.75,22.5,22.5,5.525944232940674,26500,0.0,0.0
1996-03-15,22.375,22.625,22.375,22.375,5.495242118835449,19900,0.0,0.0
1996-03-18,22.375,22.5,22.125,22.375,5.495242118835449,31000,0.0,0.0
1996-03-19,22.5,22.75,22.375,22.625,5.556644439697266,23700,0.0,0.0
1996-03-20,22.875,23.125,22.875,23.0,5.648741245269775,43400,0.0,0.0
