Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-02,10.15625,10.28125,10.0625,10.28125,3.9503021240234375,1373200,0.0,0.0
1996-01-03,10.3125,10.4375,10.15625,10.15625,3.902273654937744,1547200,0.0,0.0
1996-01-04,10.21875,10.375,10.09375,10.21875,3.9262876510620117,944800,0.0,0.0
1996-01-05,10.15625,10.40625,10.125,10.1875,3.914281129837036,1038400,0.0,0.0
1996-01-08,10.1875,10.40625,10.1875,10.28125,3.9503021240234375,310400,0.0,0.0
1996-01-09,10.25,10.28125,9.90625,10.12109375,3.8887665271759033,1734000,0.0,0.0
1996-01-10,9.6875,9.78125,9.4375,9.4375,3.6261119842529297,3330800,0.0,0.0
1996-01-11,9.5,9.5,9.28125,9.34375,3.590092658996582,2562400,0.0,0.0
1996-01-12,9.375,9.375,9.125,9.21875,3.5420632362365723,2884800,0.0,0.0
1996-01-15,9.21875,9.21875,9.09375,9.15625,3.518049955368042,2400800,0.0,0.0
1996-01-16,9.09375,9.125,7.875,8.6875,3.337944507598877,14954400,0.0,0.0
1996-01-17,8.6875,8.71875,8.46875,8.46875,3.2538962364196777,4968000,0.0,0.0
1996-01-18,8.375,8.59375,8.09375,8.5,3.265904664993286,4707200,0.0,0.0
1996-01-19,8.5,8.75,8.46875,8.71875,3.3499526977539062,3068000,0.0,0.0
1996-01-22,8.59375,8.6875,8.5,8.53125,3.277909278869629,2104000,0.0,0.0
1996-01-23,8.53125,8.875,8.53125,8.75,3.3619577884674072,1882400,0.0,0.0
1996-01-24,8.78125,8.90625,8.65625,8.71875,3.3499526977539062,6004400,0.0,0.0
1996-01-25,8.625,8.84375,8.5,8.78125,3.3739657402038574,2026400,0.0,0.0
1996-01-26,8.75,9.03125,8.6875,9.03125,3.470022678375244,1868400,0.0,0.0
1996-01-29,9.0,9.0,8.84375,8.875,3.4099857807159424,1762400,0.0,0.0
1996-01-30,8.84375,9.03125,8.84375,9.03125,3.470022678375244,2190800,0.0,0.0
1996-01-31,9.0625,9.4375,9.03125,9.21875,3.5420632362365723,4773200,0.0,0.0
1996-02-01,9.3125,9.4375,9.3125,9.34375,3.590092658996582,3294800,0.0,0.0
1996-02-02,9.34375,9.375,9.0,9.125,3.506042242050171,3520000,0.0,0.0
1996-02-05,9.0,9.3125,8.9375,9.28125,3.56607723236084,1597600,0.0,0.0
1996-02-06,9.34375,9.40625,9.25,9.375,3.602099895477295,1899200,0.0,0.0
1996-02-07,9.40625,9.625,9.40625,9.4375,3.6261119842529297,2111200,0.0,0.0
1996-02-08,9.4375,9.59375,9.40625,9.5625,3.6741411685943604,1959200,0.0,0.0
1996-02-09,9.625,9.78125,9.5625,9.71875,3.7341766357421875,2697600,0.0,0.0
1996-02-12,9.71875,9.9375,9.71875,9.90625,3.806215524673462,1286800,0.0,0.0
1996-02-13,9.75,9.75,9.4375,9.5,3.6501266956329346,3106800,0.0,0.0
1996-02-14,9.53125,9.75,9.15625,9.3125,3.578084945678711,3538800,0.0,0.0
1996-02-15,9.3125,9.5,9.3125,9.34375,3.590092658996582,2708000,0.0,0.0
1996-02-16,9.5625,10.03125,9.5625,9.96875,3.8302314281463623,5783600,0.0,0.0
1996-02-20,10.25,10.53125,10.25,10.46875,4.022343158721924,5833200,0.0,0.0
1996-02-21,10.375,10.4375,10.0625,10.3125,3.962310791015625,4054800,0.0,0.0
1996-02-22,10.34375,10.4375,10.03125,10.125,3.8902668952941895,2726000,0.0,0.0
1996-02-23,10.21875,10.3125,9.78125,10.09375,3.878258466720581,3000400,0.0,0.0
1996-02-26,10.09375,10.09375,9.59375,9.6875,3.722168207168579,2076000,0.0,0.0
1996-02-27,9.71875,9.71875,9.15625,9.3125,3.578084945678711,2822400,0.0,0.0
1996-02-28,9.3125,9.3125,8.5625,8.78125,3.3739657402038574,12054400,0.0,0.0
1996-02-29,8.75,9.0,8.71875,8.84375,3.397980213165283,4003200,0.0,0.0
1996-03-01,8.96875,8.96875,8.46875,8.59375,3.301922559738159,6076000,0.0,0.0
1996-03-04,8.5625,8.78125,8.5625,8.71875,3.3499526977539062,3753600,0.0,0.0
1996-03-05,8.65625,8.75,8.625,8.65625,3.3259377479553223,1886000,0.0,0.0
1996-03-06,8.6875,8.90625,8.625,8.71875,3.3499526977539062,3829600,0.0,0.0
1996-03-07,8.6875,8.71875,8.4375,8.5625,3.3203837871551514,1907600,0.08,0.0
1996-03-08,8.40625,8.46875,8.15625,8.15625,3.1628475189208984,4128000,0.0,0.0
1996-03-11,8.15625,8.46875,8.15625,8.34375,3.235557794570923,3532400,0.0,0.0
1996-03-12,8.34375,8.8125,8.3125,8.6875,3.368856191635132,4345600,0.0,0.0
1996-03-13,8.6875,8.84375,8.65625,8.71875,3.3809759616851807,4784800,0.0,0.0
1996-03-14,8.78125,9.0,8.78125,8.875,3.4415647983551025,4292000,0.0,0.0
1996-03-15,8.84375,8.9375,8.78125,8.90625,3.4536848068237305,1899200,0.0,0.0
1996-03-18,8.9375,9.03125,8.71875,9.0,3.4900379180908203,1812000,0.0,0.0
1996-03-19,9.03125,9.0625,8.90625,8.96875,3.4779186248779297,2102000,0.0,0.0
1996-03-20,8.96875,9.0,8.90625,9.0,3.4900379180908203,914000,0.0,0.0
1996-03-21,9.0625,9.1875,9.03125,9.1875,3.562746047973633,2934800,0.0,0.0
1996-03-22,9.21875,9.40625,9.21875,9.40625,3.647576093673706,2474000,0.0,0.0
1996-03-25,9.375,9.5,9.03125,9.1875,3.562746047973633,1863600,0.0,0.0
1996-03-26,8.875,9.21875,8.8125,9.0625,3.5142745971679688,2393200,0.0,0.0
1996-03-27,9.09375,9.125,8.90625,8.90625,3.4536848068237305,2029200,0.0,0.0
1996-03-28,8.90625,9.15625,8.90625,9.0625,3.5142745971679688,3182000,0.0,0.0
1996-03-29,9.125,9.21875,9.03125,9.03125,3.502155303955078,1889200,0.0,0.0
1996-04-01,9.125,9.625,9.09375,9.625,3.7324023246765137,2526800,0.0,0.0
1996-04-02,9.625,9.71875,9.375,9.40625,3.647576093673706,2037200,0.0,0.0
1996-04-03,9.4375,9.46875,9.25,9.375,3.63545823097229,1991600,0.0,0.0
1996-04-04,9.40625,9.5,9.34375,9.4375,3.659691333770752,1800000,0.0,0.0
1996-04-08,9.25,9.28125,8.96875,9.125,3.53851056098938,790000,0.0,0.0
1996-04-09,9.15625,9.21875,8.9375,9.0625,3.5142745971679688,900400,0.0,0.0
1996-04-10,9.0,9.0625,8.8125,8.8125,3.417330741882324,1809600,0.0,0.0
1996-04-11,8.8125,8.9375,8.625,8.6875,3.368856191635132,2004800,0.0,0.0
1996-04-12,8.71875,8.90625,8.71875,8.84375,3.4294471740722656,1265200,0.0,0.0
1996-04-15,8.84375,9.15625,8.84375,9.09375,3.526393413543701,2347600,0.0,0.0
1996-04-16,9.0,9.34375,9.0,9.21875,3.5748651027679443,3104800,0.0,0.0
1996-04-17,9.21875,9.5,9.1875,9.375,3.63545823097229,4016800,0.0,0.0
1996-04-18,9.5625,9.625,9.46875,9.59375,3.7202844619750977,3243200,0.0,0.0
1996-04-19,9.625,9.84375,9.28125,9.28125,3.5991013050079346,4522000,0.0,0.0
1996-04-22,9.34375,9.46875,9.125,9.15625,3.5506293773651123,2790400,0.0,0.0
1996-04-23,9.15625,9.1875,8.78125,9.0,3.4900379180908203,2837600,0.0,0.0
