Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-02,24.625,25.0,24.625,25.0,4.656063556671143,9500,0.0,0.0
1996-01-03,25.125,25.125,24.875,25.0,4.656063556671143,23300,0.0,0.0
1996-01-04,25.0,25.0,24.75,24.75,4.609502792358398,5700,0.0,0.0
1996-01-05,24.875,25.0,24.875,25.0,4.656063556671143,4800,0.0,0.0
1996-01-08,24.875,25.0,24.875,25.0,4.656063556671143,4000,0.0,0.0
1996-01-09,25.0,25.0,24.875,25.0,4.656063556671143,14000,0.0,0.0
1996-01-10,24.875,25.125,24.875,25.125,4.6793437004089355,2900,0.0,0.0
1996-01-11,25.125,25.25,25.125,25.125,4.6793437004089355,2200,0.0,0.0
1996-01-12,25.125,25.375,25.0,25.375,4.7259039878845215,3000,0.0,0.0
1996-01-15,25.375,25.5,25.25,25.25,4.7026238441467285,71000,0.0,0.0
1996-01-16,25.25,25.375,25.125,25.25,4.7026238441467285,5200,0.0,0.0
1996-01-17,25.25,25.5,25.25,25.375,4.7259039878845215,67000,0.0,0.0
1996-01-18,25.375,25.375,25.25,25.375,4.7259039878845215,15400,0.0,0.0
1996-01-19,25.5,25.5,25.125,25.25,4.7026238441467285,55000,0.0,0.0
1996-01-22,24.75,24.75,24.5,24.75,4.704525470733643,14200,0.51,0.0
1996-01-23,24.75,24.75,24.25,24.5,4.657002925872803,34000,0.0,0.0
1996-01-24,24.5,24.625,24.375,24.625,4.680764675140381,9700,0.0,0.0
1996-01-25,24.5,24.5,24.0,24.0,4.561964988708496,16200,0.0,0.0
1996-01-26,24.0,24.75,24.0,24.75,4.704525470733643,39500,0.0,0.0
1996-01-29,24.75,24.875,24.375,24.625,4.680764675140381,98100,0.0,0.0
1996-01-30,24.625,24.625,24.5,24.625,4.680764675140381,97400,0.0,0.0
1996-01-31,24.5,25.0,24.5,25.0,4.752045154571533,92700,0.0,0.0
1996-02-01,25.0,25.125,24.875,25.0,4.752045154571533,45200,0.0,0.0
1996-02-02,24.875,25.375,24.875,25.25,4.799566268920898,60900,0.0,0.0
1996-02-05,25.25,25.5,25.25,25.5,4.847084045410156,63800,0.0,0.0
1996-02-06,25.625,25.625,25.5,25.5,4.847084045410156,10700,0.0,0.0
1996-02-07,25.5,25.625,25.375,25.625,4.870843887329102,28900,0.0,0.0
1996-02-08,25.625,25.875,25.5,25.875,4.918365478515625,16800,0.0,0.0
1996-02-09,25.875,26.25,25.875,26.25,4.989646911621094,11700,0.0,0.0
1996-02-12,26.5,26.75,26.375,26.375,5.013406276702881,12000,0.0,0.0
1996-02-13,26.625,26.875,26.375,26.625,5.060925483703613,11000,0.0,0.0
1996-02-14,26.5,26.625,26.375,26.5,5.037169933319092,25900,0.0,0.0
1996-02-15,26.375,26.5,26.25,26.375,5.013406276702881,23100,0.0,0.0
1996-02-16,26.375,26.5,26.125,26.25,4.989646911621094,74700,0.0,0.0
1996-02-20,26.0,26.125,25.5,25.5,4.847084045410156,21500,0.0,0.0
1996-02-21,25.5,25.75,25.5,25.625,4.870843887329102,56400,0.0,0.0
1996-02-22,25.75,25.75,25.75,25.75,4.894604682922363,3200,0.0,0.0
1996-02-23,25.625,25.75,25.0,25.0,4.752045154571533,175800,0.0,0.0
1996-02-26,25.0,25.5,25.0,25.5,4.847084045410156,14600,0.0,0.0
1996-02-27,25.375,25.5,25.375,25.5,4.847084045410156,12400,0.0,0.0
1996-02-28,25.5,25.625,25.5,25.5,4.847084045410156,6300,0.0,0.0
1996-02-29,25.5,25.5,25.125,25.125,4.7758049964904785,15500,0.0,0.0
1996-03-01,25.125,25.5,25.125,25.5,4.847084045410156,13200,0.0,0.0
1996-03-04,25.5,25.5,25.375,25.375,4.8233256340026855,22500,0.0,0.0
1996-03-05,25.5,25.875,25.375,25.875,4.918365478515625,22900,0.0,0.0
1996-03-06,25.75,26.5,25.75,26.5,5.037169933319092,12000,0.0,0.0
1996-03-07,26.5,26.5,26.25,26.375,5.013406276702881,10500,0.0,0.0
1996-03-08,26.25,26.375,25.75,25.75,4.894604682922363,26600,0.0,0.0
1996-03-11,25.75,25.875,25.5,25.5,4.847084045410156,9700,0.0,0.0
1996-03-12,25.25,25.625,25.125,25.625,4.870843887329102,29500,0.0,0.0
1996-03-13,25.75,26.0,25.75,26.0,4.9421257972717285,7700,0.0,0.0
1996-03-14,26.0,26.25,26.0,26.0,4.9421257972717285,4800,0.0,0.0
1996-03-15,26.0,26.25,26.0,26.0,4.9421257972717285,18600,0.0,0.0
1996-03-18,26.0,26.25,26.0,26.125,4.965886116027832,3500,0.0,0.0
1996-03-19,26.25,26.5,26.125,26.25,4.989646911621094,19000,0.0,0.0
1996-03-20,26.125,26.25,26.0,26.25,4.989646911621094,4800,0.0,0.0
1996-03-21,26.125,26.125,26.0,26.0,4.9421257972717285,12700,0.0,0.0
1996-03-22,25.75,25.875,25.625,25.875,4.918365478515625,12300,0.0,0.0
1996-03-25,25.875,25.875,25.75,25.875,4.918365478515625,2300,0.0,0.0
1996-03-26,25.875,26.0,25.625,25.625,4.870843887329102,9300,0.0,0.0
1996-03-27,25.625,25.625,25.5,25.5,4.847084045410156,3400,0.0,0.0
1996-03-28,25.625,25.625,25.5,25.625,4.870843887329102,5800,0.0,0.0
1996-03-29,25.625,25.75,25.5,25.75,4.894604682922363,20800,0.0,0.0
1996-04-01,25.5,25.75,25.25,25.25,4.799566268920898,63900,0.0,0.0
1996-04-02,25.5,25.625,25.375,25.625,4.870843887329102,28700,0.0,0.0
1996-04-03,25.75,25.875,25.625,25.75,4.894604682922363,5300,0.0,0.0
1996-04-04,25.875,25.875,25.625,25.75,4.894604682922363,5800,0.0,0.0
1996-04-08,25.5,25.625,25.375,25.5,4.847084045410156,8600,0.0,0.0
1996-04-09,25.5,25.5,25.25,25.25,4.799566268920898,8200,0.0,0.0
1996-04-10,25.125,25.125,25.0,25.125,4.7758049964904785,22800,0.0,0.0
1996-04-11,25.0,25.125,25.0,25.125,4.7758049964904785,12000,0.0,0.0
1996-04-12,25.125,25.5,25.125,25.5,4.847084045410156,9900,0.0,0.0
1996-04-15,25.375,25.5,25.375,25.5,4.847084045410156,5500,0.0,0.0
