Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-02,23.3125,23.8125,23.125,23.8125,6.42378044128418,472800,0.0,0.0
1996-01-03,23.875,23.9375,23.5625,23.6875,6.390057563781738,286800,0.0,0.0
1996-01-04,23.625,23.875,22.9375,23.0625,6.2214555740356445,543200,0.0,0.0
1996-01-05,22.75,23.3125,22.4375,23.3125,6.2888946533203125,762400,0.0,0.0
1996-01-08,23.1875,23.3125,23.0,23.1875,6.255175590515137,47000,0.0,0.0
1996-01-09,23.1875,23.1875,22.8125,22.8125,6.154013156890869,318600,0.0,0.0
1996-01-10,22.5625,22.5625,20.9375,21.6875,5.850529670715332,2415000,0.0,0.0
1996-01-11,21.6875,22.25,21.6875,22.0625,5.951691627502441,1504000,0.0,0.0
1996-01-12,21.9375,22.1875,21.875,22.125,5.968550682067871,471600,0.0,0.0
1996-01-15,22.1875,22.4375,22.1875,22.375,6.035993576049805,538000,0.0,0.0
1996-01-16,22.375,22.75,22.25,22.75,6.1371564865112305,800000,0.0,0.0
1996-01-17,22.6875,22.875,22.5,22.6875,6.120294570922852,627600,0.0,0.0
1996-01-18,22.625,22.8125,22.5,22.5,6.069711685180664,260800,0.0,0.0
1996-01-19,22.5,22.875,22.5,22.75,6.1371564865112305,546800,0.0,0.0
1996-01-22,22.75,23.3125,22.5,23.1875,6.255175590515137,414000,0.0,0.0
1996-01-23,23.1875,23.1875,22.6875,22.75,6.1371564865112305,311200,0.0,0.0
1996-01-24,22.625,22.6875,21.875,21.9375,5.917972087860107,1088000,0.0,0.0
1996-01-25,21.875,22.75,21.375,22.6875,6.120294570922852,841800,0.0,0.0
1996-01-26,22.6875,22.9375,22.4375,22.9375,6.187737464904785,551000,0.0,0.0
1996-01-29,22.9375,23.125,22.6875,22.6875,6.120294570922852,526600,0.0,0.0
1996-01-30,22.75,22.875,22.6875,22.75,6.1371564865112305,628200,0.0,0.0
1996-01-31,22.625,22.6875,22.375,22.625,6.103432655334473,490600,0.0,0.0
1996-02-01,22.75,22.75,22.5625,22.5625,6.086571216583252,463400,0.0,0.0
