Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-05-02,507.0,507.0,499.0,499.0,499.0,104.0,0.0,0.0
2022-05-03,499.0,499.0,499.0,499.0,499.0,104.0,0.0,0.0
2022-05-04,499.0,499.0,499.0,499.0,499.0,0.0,0.0,0.0
2022-05-05,499.0,500.0,499.0,499.5,499.5,1594.0,0.0,0.0
2022-05-06,499.5,499.5,499.5,499.5,499.5,0.0,0.0,0.0
2022-05-09,499.0,499.0,499.0,499.0,499.0,100.0,0.0,0.0
2022-05-10,499.0,499.0,499.0,499.0,499.0,0.0,0.0,0.0
2022-05-11,498.0,498.0,498.0,498.0,498.0,1602.0,0.0,0.0
2022-05-12,498.0,500.0,498.0,500.0,500.0,3344.0,0.0,0.0
2022-05-13,500.0,500.0,500.0,500.0,500.0,8.0,0.0,0.0
2022-05-16,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0
2022-05-17,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0
2022-05-18,497.5,497.5,497.0,497.0,497.0,660.0,0.0,0.0
2022-05-19,497.0,497.0,497.0,497.0,497.0,0.0,0.0,0.0
2022-05-20,497.0,497.0,497.0,497.0,497.0,0.0,0.0,0.0
2022-05-23,497.0,497.0,497.0,497.0,497.0,0.0,0.0,0.0
2022-05-24,497.0,497.0,497.0,497.0,497.0,0.0,0.0,0.0
2022-05-25,497.0,497.0,497.0,497.0,497.0,0.0,0.0,0.0
2022-05-26,497.0,497.0,497.0,497.0,497.0,0.0,0.0,0.0
2022-05-27,497.0,497.0,497.0,497.0,497.0,0.0,0.0,0.0
2022-05-31,498.5,499.0,498.5,499.0,499.0,24.0,0.0,0.0
2022-06-01,499.0,499.0,499.0,499.0,499.0,0.0,0.0,0.0
2022-06-02,499.0,499.0,499.0,499.0,499.0,0.0,0.0,0.0
2022-06-03,498.0,498.0,498.0,498.0,498.0,500.0,0.0,0.0
2022-06-06,498.0,498.0,498.0,498.0,498.0,0.0,0.0,0.0
2022-06-07,498.0,498.0,498.0,498.0,498.0,0.0,0.0,0.0
2022-06-08,498.0,498.0,497.0,497.0,497.0,480.0,0.0,0.0
2022-06-09,497.0,497.0,497.0,497.0,497.0,0.0,0.0,0.0
2022-06-10,497.0,497.0,497.0,497.0,497.0,0.0,0.0,0.0
2022-06-13,497.0,497.0,497.0,497.0,497.0,0.0,0.0,0.0
2022-06-14,497.0,497.0,497.0,497.0,497.0,80.0,0.0,0.0
2022-06-15,498.0,498.0,498.0,498.0,498.0,2046.0,0.0,0.0
2022-06-16,498.0,498.0,498.0,498.0,498.0,0.0,0.0,0.0
2022-06-17,498.0,498.0,498.0,498.0,498.0,0.0,0.0,0.0
2022-06-21,498.0,498.0,498.0,498.0,498.0,0.0,0.0,0.0
2022-06-22,498.0,498.0,498.0,498.0,498.0,0.0,0.0,0.0
2022-06-23,498.0,498.0,498.0,498.0,498.0,0.0,0.0,0.0
2022-06-24,498.0,498.0,498.0,498.0,498.0,0.0,0.0,0.0
2022-06-27,498.0,498.0,498.0,498.0,498.0,0.0,0.0,0.0
2022-06-28,498.0,498.0,498.0,498.0,498.0,0.0,0.0,0.0
2022-06-29,498.0,498.0,498.0,498.0,498.0,9000.0,0.0,0.0
2022-06-30,498.0,498.0,498.0,498.0,498.0,0.0,0.0,0.0
2022-07-01,498.0,498.0,498.0,498.0,498.0,0.0,0.0,0.0
2022-07-05,498.5,498.5,498.5,498.5,498.5,496.0,0.0,0.0
2022-07-06,498.5,498.5,498.5,498.5,498.5,0.0,0.0,0.0
2022-07-07,498.5,498.5,498.5,498.5,498.5,0.0,0.0,0.0
2022-07-08,498.5,498.5,498.5,498.5,498.5,0.0,0.0,0.0
2022-07-11,498.5,498.5,498.5,498.5,498.5,0.0,0.0,0.0
2022-07-12,499.0,499.0,498.5,498.5,498.5,1802.0,0.0,0.0
2022-07-13,499.0,499.0,499.0,499.0,499.0,2.0,0.0,0.0
2022-07-14,499.0,499.0,499.0,499.0,499.0,0.0,0.0,0.0
2022-07-15,499.0,499.5,499.0,499.5,499.5,1866.0,0.0,0.0
2022-07-18,499.5,499.5,499.5,499.5,499.5,0.0,0.0,0.0
2022-07-19,500.0,500.0,500.0,500.0,500.0,12.0,0.0,0.0
2022-07-20,500.0,500.0,499.5,499.5,499.5,3932.0,0.0,0.0
2022-07-21,500.0,500.0,500.0,500.0,500.0,12.0,0.0,0.0
2022-07-22,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0
2022-07-25,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0
2022-07-26,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0
2022-07-27,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0
2022-07-28,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0
2022-07-29,501.0,501.0,501.0,501.0,501.0,24.0,0.0,0.0
2022-08-01,501.0,501.0,501.0,501.0,501.0,0.0,0.0,0.0
2022-08-02,501.0,501.0,501.0,501.0,501.0,0.0,0.0,0.0
2022-08-03,501.5,501.5,501.5,501.5,501.5,2.0,0.0,0.0
2022-08-04,501.5,501.5,501.5,501.5,501.5,20.0,0.0,0.0
2022-08-05,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-08-08,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-08-09,501.0,501.0,501.0,501.0,501.0,738.0,0.0,0.0
2022-08-10,501.0,501.0,501.0,501.0,501.0,1068.0,0.0,0.0
2022-08-11,501.0,501.0,501.0,501.0,501.0,0.0,0.0,0.0
2022-08-12,501.0,501.0,501.0,501.0,501.0,0.0,0.0,0.0
2022-08-15,501.0,501.0,501.0,501.0,501.0,0.0,0.0,0.0
2022-08-16,501.0,501.0,501.0,501.0,501.0,0.0,0.0,0.0
2022-08-17,501.5,501.5,501.5,501.5,501.5,28.0,0.0,0.0
2022-08-18,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-08-19,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-08-22,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-08-23,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-08-24,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-08-25,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-08-26,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-08-29,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-08-30,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-08-31,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-01,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-02,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-06,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-07,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-08,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-09,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-12,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-13,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-14,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-15,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-16,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-19,499.5,499.5,499.5,499.5,499.5,8.0,0.0,0.0
2022-09-20,501.5,501.5,501.5,501.5,501.5,4.0,0.0,0.0
2022-09-21,502.5,502.5,502.5,502.5,502.5,2.0,0.0,0.0
2022-09-22,501.5,501.5,501.5,501.5,501.5,2.0,0.0,0.0
2022-09-23,501.5,501.5,501.5,501.5,501.5,0.0,0.0,0.0
2022-09-26,502.0,502.5,499.0,502.5,502.5,58.0,0.0,0.0
2022-09-27,502.5,502.5,502.5,502.5,502.5,0.0,0.0,0.0
2022-09-28,502.5,502.5,502.5,502.5,502.5,0.0,0.0,0.0
2022-09-29,502.5,502.5,502.5,502.5,502.5,0.0,0.0,0.0
2022-09-30,502.5,502.5,502.5,502.5,502.5,0.0,0.0,0.0
2022-10-03,502.5,502.5,502.5,502.5,502.5,0.0,0.0,0.0
2022-10-04,500.0,500.0,500.0,500.0,500.0,98.0,0.0,0.0
2022-10-05,500.0,500.0,500.0,500.0,500.0,908.0,0.0,0.0
2022-10-06,504.5,505.5,504.5,505.5,505.5,8.0,0.0,0.0
2022-10-07,505.5,505.5,505.5,505.5,505.5,0.0,0.0,0.0
2022-10-10,505.5,505.5,505.5,505.5,505.5,0.0,0.0,0.0
2022-10-11,505.5,505.5,505.5,505.5,505.5,0.0,0.0,0.0
2022-10-12,505.5,505.5,505.5,505.5,505.5,138.0,0.0,0.0
2022-10-13,505.5,505.5,505.5,505.5,505.5,2.0,0.0,0.0
2022-10-14,505.5,505.5,505.5,505.5,505.5,2.0,0.0,0.0
2022-10-17,506.0,506.0,506.0,506.0,506.0,2.0,0.0,0.0
2022-10-18,506.0,506.0,506.0,506.0,506.0,2.0,0.0,0.0
2022-10-19,506.0,506.0,506.0,506.0,506.0,0.0,0.0,0.0
2022-10-20,506.0,506.0,506.0,506.0,506.0,0.0,0.0,0.0
2022-10-21,501.5,502.0,501.5,502.0,502.0,162.0,0.0,0.0
2022-10-24,502.0,502.0,502.0,502.0,502.0,0.0,0.0,0.0
2022-10-25,502.0,502.0,502.0,502.0,502.0,42.0,0.0,0.0
2022-10-26,502.0,502.0,502.0,502.0,502.0,0.0,0.0,0.0
2022-10-27,502.0,502.0,502.0,502.0,502.0,0.0,0.0,0.0
2022-10-28,502.0,502.0,502.0,502.0,502.0,0.0,0.0,0.0
2022-10-31,502.0,502.0,502.0,502.0,502.0,0.0,0.0,0.0
2022-11-01,502.0,502.0,502.0,502.0,502.0,0.0,0.0,0.0
2022-11-02,502.0,502.0,502.0,502.0,502.0,0.0,0.0,0.0
2022-11-03,502.0,502.0,502.0,502.0,502.0,0.0,0.0,0.0
2022-11-04,502.5,502.5,502.5,502.5,502.5,4.0,0.0,0.0
2022-11-07,502.5,502.5,502.5,502.5,502.5,0.0,0.0,0.0
2022-11-08,502.5,502.5,502.5,502.5,502.5,0.0,0.0,0.0
2022-11-09,502.5,502.5,502.5,502.5,502.5,0.0,0.0,0.0
2022-11-10,502.5,502.5,502.5,502.5,502.5,0.0,0.0,0.0
2022-11-11,502.5,502.5,502.5,502.5,502.5,0.0,0.0,0.0
2022-11-14,502.5,502.5,502.5,502.5,502.5,2.0,0.0,0.0
2022-11-15,505.5,506.0,505.5,506.0,506.0,52.0,0.0,0.0
2022-11-16,506.0,506.0,506.0,506.0,506.0,0.0,0.0,0.0
2022-11-17,504.5,505.5,504.5,505.5,505.5,140.0,0.0,0.0
2022-11-18,505.0,506.0,505.0,506.0,506.0,58.0,0.0,0.0
2022-11-21,506.0,506.0,506.0,506.0,506.0,12.0,0.0,0.0
2022-11-22,506.0,506.0,506.0,506.0,506.0,0.0,0.0,0.0
2022-11-23,509.0,510.0,508.5,508.5,508.5,16.0,0.0,0.0
2022-11-25,508.5,508.5,508.5,508.5,508.5,0.0,0.0,0.0
2022-11-28,508.5,508.5,508.5,508.5,508.5,0.0,0.0,0.0
2022-11-29,508.5,508.5,508.5,508.5,508.5,0.0,0.0,0.0
2022-11-30,507.5,507.5,507.5,507.5,507.5,30.0,0.0,0.0
2022-12-01,506.5,509.0,505.5,505.5,505.5,96.0,0.0,0.0
2022-12-02,505.5,505.5,505.5,505.5,505.5,0.0,0.0,0.0
2022-12-05,505.5,505.5,505.5,505.5,505.5,0.0,0.0,0.0
2022-12-06,507.5,508.0,507.5,508.0,508.0,50.0,0.0,0.0
2022-12-07,508.0,508.0,508.0,508.0,508.0,32.0,0.0,0.0
2022-12-08,507.5,507.5,507.5,507.5,507.5,10.0,0.0,0.0
2022-12-09,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-12,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-13,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-14,507.5,507.5,507.5,507.5,507.5,10.0,0.0,0.0
2022-12-15,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-16,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-19,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-20,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-21,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-22,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-23,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-27,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-28,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-29,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2022-12-30,507.5,507.5,507.5,507.5,507.5,0.0,0.0,0.0
2023-01-03,511.0,511.0,511.0,511.0,511.0,366.0,0.0,0.0
2023-01-04,511.5,511.5,511.0,511.5,511.5,420.0,0.0,0.0
2023-01-05,511.5,511.5,511.5,511.5,511.5,0.0,0.0,0.0
2023-01-06,511.5,511.5,511.5,511.5,511.5,156.0,0.0,0.0
2023-01-09,512.0,512.0,511.5,511.75,511.75,164.0,0.0,0.0
2023-01-10,511.75,511.75,511.75,511.75,511.75,0.0,0.0,0.0
2023-01-11,511.5,512.0,511.5,512.0,512.0,278.0,0.0,0.0
2023-01-12,512.0,512.0,512.0,512.0,512.0,0.0,0.0,0.0
2023-01-13,512.5,512.5,512.5,512.5,512.5,162.0,0.0,0.0
2023-01-17,512.5,512.5,512.5,512.5,512.5,0.0,0.0,0.0
2023-01-18,514.0,514.0,514.0,514.0,514.0,134.0,0.0,0.0
2023-01-19,514.0,514.0,514.0,514.0,514.0,0.0,0.0,0.0
