Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-02,4.0625,4.3125,4.0625,4.1875,3.5103774070739746,1179200,0.0,0.0
1996-01-03,4.25,4.34375,4.1875,4.234375,3.5496716499328613,1439200,0.0,0.0
1996-01-04,4.28125,4.3125,4.1875,4.203125,3.5234766006469727,1351200,0.0,0.0
1996-01-05,4.1875,4.21875,4.15625,4.21875,3.5365750789642334,1267200,0.0,0.0
1996-01-08,4.21875,4.21875,4.15625,4.15625,3.4841806888580322,293600,0.0,0.0
1996-01-09,4.1875,4.1875,3.9375,4.015625,3.366295576095581,824800,0.0,0.0
1996-01-10,3.96875,4.03125,3.96875,3.96875,3.3269996643066406,392800,0.0,0.0
1996-01-11,4.03125,4.125,4.03125,4.109375,3.44488525390625,1433600,0.0,0.0
1996-01-12,4.15625,4.15625,4.0625,4.09375,3.43178653717041,795200,0.0,0.0
1996-01-15,4.0625,4.09375,4.0625,4.078125,3.4186885356903076,1601600,0.0,0.0
1996-01-16,4.09375,4.125,4.03125,4.125,3.457984447479248,993600,0.0,0.0
1996-01-17,4.0625,4.46875,4.03125,4.375,3.667559862136841,3550400,0.0,0.0
1996-01-18,4.53125,4.59375,4.375,4.375,3.667559862136841,1651200,0.0,0.0
1996-01-19,4.46875,4.46875,4.21875,4.265625,3.5758700370788574,948800,0.0,0.0
1996-01-22,4.3125,4.46875,4.21875,4.46875,3.7461493015289307,1376000,0.0,0.0
1996-01-23,4.46875,4.5625,4.375,4.515625,3.785444498062134,1913600,0.0,0.0
1996-01-24,4.46875,4.53125,4.4375,4.453125,3.733051061630249,573600,0.0,0.0
1996-01-25,4.5,4.5,4.40625,4.46875,3.7461493015289307,392000,0.0,0.0
1996-01-26,4.46875,4.53125,4.4375,4.4375,3.719952344894409,439200,0.0,0.0
1996-01-29,4.4375,4.53125,4.4375,4.5,3.7723464965820312,518400,0.0,0.0
1996-01-30,4.46875,4.65625,4.46875,4.65625,3.903329849243164,715200,0.0,0.0
1996-01-31,4.71875,4.75,4.59375,4.65625,3.903329849243164,1452000,0.0,0.0
1996-02-01,4.65625,4.65625,4.5625,4.59375,3.8509361743927,243200,0.0,0.0
1996-02-02,4.65625,4.65625,4.53125,4.53125,3.79854154586792,217600,0.0,0.0
1996-02-05,4.59375,4.59375,4.5,4.5,3.7723464965820312,195200,0.0,0.0
1996-02-06,4.5,4.5625,4.4375,4.53125,3.79854154586792,753600,0.0,0.0
1996-02-07,4.53125,4.71875,4.53125,4.6875,3.9295268058776855,1792800,0.0,0.0
1996-02-08,4.6875,4.6875,4.5625,4.625,3.8771331310272217,1485600,0.0,0.0
1996-02-09,4.53125,4.625,4.53125,4.625,3.8771331310272217,2449600,0.0,0.0
1996-02-12,4.625,4.625,4.53125,4.5625,3.8247392177581787,547200,0.0,0.0
1996-02-13,4.59375,4.65625,4.40625,4.46875,3.7461493015289307,1354400,0.0,0.0
1996-02-14,4.5,4.53125,4.40625,4.4375,3.719952344894409,696000,0.0,0.0
1996-02-15,4.4375,4.46875,4.3125,4.40625,3.6937553882598877,968000,0.0,0.0
1996-02-16,4.34375,4.40625,4.3125,4.40625,3.6937553882598877,432800,0.0,0.0
1996-02-20,4.34375,4.375,4.28125,4.3125,3.6151654720306396,256800,0.0,0.0
1996-02-21,4.3125,4.5,4.3125,4.40625,3.6937553882598877,1849600,0.0,0.0
1996-02-22,4.46875,4.554687976837158,4.40625,4.546875,3.811642646789551,883200,0.0,0.0
1996-02-23,4.59375,4.59375,4.5,4.5625,3.8247392177581787,511200,0.0,0.0
1996-02-26,4.5,4.5625,4.46875,4.5,3.7723464965820312,599200,0.0,0.0
1996-02-27,4.53125,4.65625,4.46875,4.5625,3.8247392177581787,1725600,0.0,0.0
1996-02-28,4.625,4.875,4.5625,4.84375,4.060511589050293,2312800,0.0,0.0
1996-02-29,4.8125,4.84375,4.75,4.75,3.9819209575653076,1038400,0.0,0.0
1996-03-01,4.84375,4.84375,4.65625,4.65625,3.903329849243164,539200,0.0,0.0
1996-03-04,4.75,4.84375,4.65625,4.78125,4.008119106292725,879200,0.0,0.0
1996-03-05,4.75,4.90625,4.75,4.875,4.086708068847656,1094400,0.0,0.0
1996-03-06,4.875,4.875,4.78125,4.78125,4.008119106292725,1000800,0.0,0.0
1996-03-07,4.78125,4.84375,4.65625,4.65625,3.903329849243164,322400,0.0,0.0
1996-03-08,4.65625,4.71875,4.59375,4.65625,3.903329849243164,588000,0.0,0.0
1996-03-11,4.625,4.71875,4.59375,4.71875,3.955723524093628,363200,0.0,0.0
1996-03-12,4.6875,4.6875,4.59375,4.625,3.8771331310272217,494400,0.0,0.0
1996-03-13,4.6875,4.6875,4.625,4.65625,3.903329849243164,107200,0.0,0.0
1996-03-14,4.625,4.71875,4.625,4.65625,3.903329849243164,238400,0.0,0.0
1996-03-15,4.65625,4.8125,4.65625,4.75,3.9819209575653076,1724800,0.0,0.0
1996-03-18,4.75,4.796875,4.75,4.78125,4.008119106292725,971200,0.0,0.0
1996-03-19,4.75,4.78125,4.71875,4.71875,3.955723524093628,220000,0.0,0.0
1996-03-20,4.71875,4.734375,4.6875,4.71875,3.955723524093628,760000,0.0,0.0
1996-03-21,4.6875,4.75,4.6875,4.703125,3.9426259994506836,93600,0.0,0.0
1996-03-22,4.6875,4.75,4.5625,4.5625,3.8247392177581787,699200,0.0,0.0
1996-03-25,4.625,4.625,4.5,4.507812976837158,3.7788960933685303,716800,0.0,0.0
1996-03-26,4.5,4.65625,4.46875,4.625,3.8771331310272217,1487200,0.0,0.0
1996-03-27,4.59375,4.71875,4.59375,4.671875,3.9164295196533203,1295200,0.0,0.0
1996-03-28,4.65625,4.9375,4.65625,4.9375,4.139101505279541,2196800,0.0,0.0
1996-03-29,4.90625,4.9375,4.78125,4.84375,4.060511589050293,576800,0.0,0.0
1996-04-01,4.84375,4.875,4.5625,4.578125,3.837838649749756,1512800,0.0,0.0
1996-04-02,4.625,4.71875,4.5625,4.6875,3.9295268058776855,1332800,0.0,0.0
1996-04-03,4.6875,4.71875,4.65625,4.6875,3.9295268058776855,118400,0.0,0.0
1996-04-04,4.65625,4.71875,4.65625,4.65625,3.903329849243164,3883200,0.0,0.0
1996-04-08,4.5625,4.59375,4.5,4.5625,3.8247392177581787,624000,0.0,0.0
1996-04-09,4.59375,4.625,4.5625,4.609375,3.864034414291382,112000,0.0,0.0
1996-04-10,4.59375,4.625,4.5625,4.5625,3.8247392177581787,104000,0.0,0.0
1996-04-11,4.625,4.625,4.5,4.53125,3.79854154586792,872000,0.0,0.0
1996-04-12,4.5,4.5625,4.5,4.5,3.7723464965820312,466400,0.0,0.0
1996-04-15,4.5,4.5625,4.46875,4.5,3.7723464965820312,719200,0.0,0.0
1996-04-16,4.53125,4.53125,4.4375,4.4375,3.719952344894409,298400,0.0,0.0
1996-04-17,4.46875,4.46875,4.40625,4.421875,3.7068538665771484,503200,0.0,0.0
1996-04-18,4.40625,4.46875,4.375,4.375,3.667559862136841,664000,0.0,0.0
1996-04-19,4.375,4.4375,4.3125,4.375,3.667559862136841,1256000,0.0,0.0
1996-04-22,4.375,4.53125,4.34375,4.484375,3.7592484951019287,3732000,0.0,0.0
1996-04-23,4.46875,4.5625,4.46875,4.5,3.7723464965820312,548800,0.0,0.0
1996-04-24,4.53125,4.5625,4.46875,4.5,3.7723464965820312,350400,0.0,0.0
1996-04-25,4.5,4.5625,4.46875,4.5,3.7723464965820312,344800,0.0,0.0
1996-04-26,4.5625,4.5625,4.5,4.5625,3.8247392177581787,861600,0.0,0.0
1996-04-29,3.597656011581421,3.90625,3.375,3.71875,3.117424488067627,22568000,0.0,0.0
1996-04-30,3.71875,3.84375,3.6875,3.796875,3.182917356491089,5620800,0.0,0.0
1996-05-01,3.84375,3.90625,3.75,3.75,3.1436212062835693,1988800,0.0,0.0
1996-05-02,3.8125,3.8125,3.65625,3.71875,3.117424488067627,2740800,0.0,0.0
1996-05-03,3.78125,3.84375,3.71875,3.78125,3.169818162918091,1079200,0.0,0.0
1996-05-06,3.78125,3.78125,3.71875,3.78125,3.169818162918091,1691200,0.0,0.0
1996-05-07,3.71875,3.78125,3.65625,3.6875,3.091228485107422,1427200,0.0,0.0
1996-05-08,3.65625,3.65625,3.59375,3.625,3.0388343334198,540000,0.0,0.0
1996-05-09,3.65625,3.65625,3.5625,3.625,3.0388343334198,772800,0.0,0.0
1996-05-10,3.65625,3.65625,3.53125,3.59375,3.01263689994812,536800,0.0,0.0
1996-05-13,3.59375,3.59375,3.40625,3.5,2.934047222137451,4987200,0.0,0.0
1996-05-14,3.5625,3.5625,3.46875,3.515625,2.947145700454712,2215200,0.0,0.0
1996-05-15,3.53125,3.53125,3.46875,3.53125,2.960244655609131,3806400,0.0,0.0
1996-05-16,3.53125,3.5625,3.46875,3.546875,2.9733424186706543,2198400,0.0,0.0
1996-05-17,3.53125,3.53125,3.484375,3.53125,2.960244655609131,5166400,0.0,0.0
1996-05-20,3.53125,3.65625,3.46875,3.59375,3.01263689994812,1525600,0.0,0.0
1996-05-21,3.65625,3.71875,3.625,3.6875,3.091228485107422,1656800,0.0,0.0
1996-05-22,3.6875,3.8125,3.65625,3.734375,3.130523204803467,5329600,0.0,0.0
1996-05-23,3.75,3.78125,3.71875,3.75,3.1436212062835693,2492000,0.0,0.0
1996-05-24,3.78125,3.78125,3.71875,3.75,3.1436212062835693,458400,0.0,0.0
1996-05-28,3.78125,3.90625,3.71875,3.875,3.248408317565918,3820800,0.0,0.0
1996-05-29,3.890625,3.9375,3.875,3.9375,3.3008029460906982,2225600,0.0,0.0
1996-05-30,3.875,3.9375,3.84375,3.84375,3.22221302986145,402400,0.0,0.0
1996-05-31,3.84375,3.90625,3.78125,3.78125,3.169818162918091,355200,0.0,0.0
1996-06-03,3.78125,3.9375,3.78125,3.84375,3.22221302986145,784800,0.0,0.0
1996-06-04,3.90625,3.96875,3.875,3.875,3.248408317565918,1172000,0.0,0.0
1996-06-05,3.96875,3.96875,3.875,3.90625,3.2746059894561768,646400,0.0,0.0
1996-06-06,3.90625,3.9375,3.90625,3.90625,3.2746059894561768,1739200,0.0,0.0
1996-06-07,3.84375,3.90625,3.84375,3.875,3.248408317565918,320800,0.0,0.0
1996-06-10,3.8125,3.90625,3.8125,3.875,3.248408317565918,828800,0.0,0.0
1996-06-11,3.90625,3.9375,3.84375,3.875,3.248408317565918,527200,0.0,0.0
1996-06-12,3.875,3.96875,3.875,3.96875,3.3269996643066406,428800,0.0,0.0
1996-06-13,4.0,4.03125,3.9375,4.03125,3.3793928623199463,406400,0.0,0.0
1996-06-14,4.03125,4.03125,3.9375,3.9375,3.3008029460906982,1181600,0.0,0.0
1996-06-17,3.9375,4.03125,3.9375,3.9375,3.3008029460906982,176800,0.0,0.0
1996-06-18,3.9375,4.03125,3.9375,3.9375,3.3008029460906982,182400,0.0,0.0
1996-06-19,3.9375,4.03125,3.9375,3.9375,3.3008029460906982,607200,0.0,0.0
1996-06-20,3.9375,4.0,3.90625,3.921875,3.2877044677734375,2794400,0.0,0.0
1996-06-21,3.90625,4.0,3.90625,3.90625,3.2746059894561768,1864000,0.0,0.0
