Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-02,8.0625,8.0625,8.0,8.03125,3.8334994316101074,2590000,0.0,0.0
1996-01-03,8.03125,8.03125,7.96875,8.0,3.818584680557251,1242000,0.0,0.0
1996-01-04,8.0,8.0,7.875,7.96875,3.8036677837371826,1397600,0.0,0.0
1996-01-05,7.9375,8.0,7.75,7.8125,3.72908616065979,851200,0.0,0.0
1996-01-08,7.78125,7.875,7.75,7.84375,3.7440028190612793,327200,0.0,0.0
1996-01-09,7.90625,7.90625,7.6875,7.6875,3.6694180965423584,1356800,0.0,0.0
1996-01-10,7.625,7.6875,7.375,7.40625,3.5351736545562744,2320400,0.0,0.0
1996-01-11,7.53125,7.5625,7.46875,7.46875,3.5650062561035156,929600,0.0,0.0
1996-01-12,7.59375,7.59375,7.5,7.5625,3.609755516052246,878400,0.0,0.0
1996-01-15,7.53125,7.59375,7.5,7.5625,3.609755516052246,524800,0.0,0.0
1996-01-16,7.5625,7.625,7.40625,7.46875,3.5650062561035156,1251200,0.0,0.0
1996-01-17,7.53125,7.8125,7.5,7.75,3.699251890182495,1813600,0.0,0.0
1996-01-18,7.75,7.75,7.625,7.71875,3.684337615966797,868800,0.0,0.0
1996-01-19,7.6875,7.78125,7.6875,7.75,3.699251890182495,1229600,0.0,0.0
1996-01-22,7.75,7.78125,7.6875,7.78125,3.7141687870025635,1363200,0.0,0.0
1996-01-23,7.78125,7.90625,7.78125,7.78125,3.7141687870025635,2285600,0.0,0.0
1996-01-24,7.78125,7.84375,7.53125,7.75,3.7147700786590576,1141200,0.0325,0.0
1996-01-25,7.75,7.78125,7.71875,7.75,3.7147700786590576,1268800,0.0,0.0
1996-01-26,7.78125,7.90625,7.75,7.875,3.7746825218200684,1815600,0.0,0.0
1996-01-29,7.90625,8.0,7.90625,7.9375,3.8046412467956543,1626400,0.0,0.0
1996-01-30,7.96875,8.03125,7.90625,8.03125,3.849579334259033,1685200,0.0,0.0
1996-01-31,8.0,8.0625,7.9375,8.0,3.8345983028411865,1809600,0.0,0.0
1996-02-01,8.0,8.03125,7.90625,7.96875,3.8196213245391846,2050000,0.0,0.0
1996-02-02,7.96875,7.96875,7.84375,7.875,3.7746825218200684,846800,0.0,0.0
1996-02-05,7.84375,7.96875,7.8125,7.9375,3.8046412467956543,1538400,0.0,0.0
1996-02-06,7.9375,7.9375,7.84375,7.875,3.7746825218200684,2945600,0.0,0.0
1996-02-07,7.9375,8.03125,7.9375,7.9375,3.8046412467956543,3950000,0.0,0.0
1996-02-08,7.875,8.125,7.875,8.09375,3.87953782081604,2342000,0.0,0.0
1996-02-09,8.09375,8.25,8.0625,8.1875,3.9244728088378906,2360000,0.0,0.0
1996-02-12,8.21875,8.28125,8.21875,8.25,3.9544310569763184,1578800,0.0,0.0
1996-02-13,8.1875,8.40625,8.1875,8.375,4.014347553253174,2178000,0.0,0.0
1996-02-14,8.34375,8.34375,8.09375,8.1875,3.9244728088378906,2166400,0.0,0.0
1996-02-15,8.15625,8.25,8.09375,8.09375,3.87953782081604,1556000,0.0,0.0
1996-02-16,8.125,8.125,7.90625,8.03125,3.849579334259033,2122800,0.0,0.0
1996-02-20,7.96875,8.125,7.96875,8.09375,3.87953782081604,1266000,0.0,0.0
1996-02-21,8.125,8.21875,8.125,8.15625,3.909497022628784,1385200,0.0,0.0
1996-02-22,8.21875,8.3125,8.21875,8.3125,3.9843881130218506,1312400,0.0,0.0
1996-02-23,8.375,8.375,8.21875,8.375,4.014347553253174,1077600,0.0,0.0
1996-02-26,8.28125,8.3125,8.09375,8.125,3.8945157527923584,788800,0.0,0.0
1996-02-27,8.1875,8.28125,8.125,8.28125,3.9694108963012695,1120000,0.0,0.0
1996-02-28,8.3125,8.40625,8.1875,8.1875,3.9244728088378906,1052800,0.0,0.0
1996-02-29,8.15625,8.28125,8.15625,8.21875,3.939452886581421,1122400,0.0,0.0
1996-03-01,8.3125,8.5,8.25,8.5,4.0742621421813965,1218400,0.0,0.0
1996-03-04,8.5,8.5,8.40625,8.5,4.0742621421813965,1203200,0.0,0.0
1996-03-05,8.5,8.53125,8.46875,8.53125,4.089242458343506,1039600,0.0,0.0
1996-03-06,8.5,8.59375,8.46875,8.5,4.0742621421813965,1128400,0.0,0.0
