Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-02,6.078125,6.078125,5.96875,6.023437976837158,2.753162384033203,1385600,0.0,0.0
1996-01-03,6.03125,6.09375,6.0,6.0625,2.7710158824920654,3209600,0.0,0.0
1996-01-04,6.09375,6.09375,5.9375,5.953125,2.7210235595703125,2800000,0.0,0.0
1996-01-05,5.90625,5.96875,5.84375,5.90625,2.6995973587036133,2819200,0.0,0.0
1996-01-08,5.9375,5.9375,5.875,5.9375,2.7138805389404297,513600,0.0,0.0
1996-01-09,5.9375,5.9375,5.84375,5.875,2.685314178466797,602400,0.0,0.0
1996-01-10,5.78125,5.8125,5.4375,5.5,2.5139105319976807,1149600,0.0,0.0
1996-01-11,5.53125,5.59375,5.4375,5.4375,2.4853436946868896,2075200,0.0,0.0
1996-01-12,5.5,5.5,5.4375,5.484375,2.506770133972168,1907200,0.0,0.0
1996-01-15,5.5,5.53125,5.4375,5.445312976837158,2.4889140129089355,1070400,0.0,0.0
1996-01-16,5.4375,5.53125,5.34375,5.40625,2.4710614681243896,1688000,0.0,0.0
1996-01-17,5.40625,5.8125,5.328125,5.75,2.6281793117523193,3400000,0.0,0.0
1996-01-18,5.75,5.75,5.625,5.6875,2.599611520767212,2513600,0.0,0.0
1996-01-19,5.6875,5.828125,5.6875,5.71875,2.6138951778411865,3875200,0.0,0.0
1996-01-22,5.75,5.765625,5.703125,5.71875,2.6138951778411865,377600,0.0,0.0
1996-01-23,5.78125,5.84375,5.71875,5.8125,2.6567466259002686,512000,0.0,0.0
1996-01-24,5.84375,5.84375,5.78125,5.84375,2.671030044555664,597600,0.0,0.0
1996-01-25,5.84375,5.875,5.78125,5.875,2.685314178466797,4139200,0.0,0.0
1996-01-26,5.875,6.46875,5.8125,6.390625,2.920994281768799,4064800,0.0,0.0
1996-01-29,6.375,6.375,6.21875,6.21875,2.842432975769043,1145600,0.0,0.0
1996-01-30,6.28125,6.5,6.25,6.421875,2.9352755546569824,1806400,0.0,0.0
1996-01-31,6.40625,6.8125,6.34375,6.75,3.085254669189453,2500800,0.0,0.0
1996-02-01,6.78125,6.875,6.703125,6.75,3.085254669189453,1238400,0.0,0.0
1996-02-02,6.625,6.6875,6.46875,6.5,2.970985174179077,716800,0.0,0.0
1996-02-05,6.5,6.53125,6.46875,6.53125,2.985269546508789,432800,0.0,0.0
1996-02-06,6.5625,6.5625,6.46875,6.5,2.970985174179077,223200,0.0,0.0
1996-02-07,6.46875,6.53125,6.375,6.375,2.913851737976074,964800,0.0,0.0
1996-02-08,6.40625,6.71875,6.40625,6.59375,3.013836145401001,1817600,0.0,0.0
1996-02-09,6.65625,6.6875,6.59375,6.640625,3.0352623462677,738400,0.0,0.0
1996-02-12,6.65625,6.71875,6.59375,6.625,3.028120517730713,901600,0.0,0.0
1996-02-13,6.5625,6.5625,6.40625,6.46875,2.9567019939422607,464000,0.0,0.0
1996-02-14,6.46875,6.46875,6.15625,6.3125,2.8852829933166504,870400,0.0,0.0
1996-02-15,6.3125,6.59375,6.28125,6.5625,2.999551773071289,1603200,0.0,0.0
1996-02-16,6.5,6.65625,6.5,6.625,3.028120517730713,756800,0.0,0.0
1996-02-20,6.59375,6.84375,6.59375,6.71875,3.0709712505340576,1111200,0.0,0.0
1996-02-21,6.71875,6.75,6.71875,6.75,3.085254669189453,454400,0.0,0.0
1996-02-22,6.78125,6.8125,6.6875,6.78125,3.099540948867798,2280800,0.0,0.0
1996-02-23,6.8125,6.96875,6.75,6.78125,3.099540948867798,1195200,0.0,0.0
1996-02-26,6.75,6.8125,6.71875,6.78125,3.099540948867798,1127200,0.0,0.0
1996-02-27,6.75,6.8125,6.75,6.765625,3.0923967361450195,444800,0.0,0.0
1996-02-28,6.75,6.8125,6.71875,6.78125,3.099540948867798,836000,0.0,0.0
1996-02-29,6.75,6.75,6.6875,6.71875,3.0709712505340576,494400,0.0,0.0
1996-03-01,6.78125,6.78125,6.6875,6.6875,3.0566885471343994,457600,0.0,0.0
1996-03-04,6.6875,6.75,6.6875,6.71875,3.0709712505340576,562400,0.0,0.0
1996-03-05,6.71875,6.75,6.65625,6.71875,3.0709712505340576,267200,0.0,0.0
1996-03-06,6.71875,6.71875,6.65625,6.65625,3.0424041748046875,1391200,0.0,0.0
1996-03-07,7.03125,7.25,6.96875,7.046875,3.2209484577178955,4557600,0.0,0.0
1996-03-08,6.90625,7.3125,6.871094226837158,7.09375,3.2423739433288574,5274400,0.0,0.0
1996-03-11,7.09375,7.25,7.0,7.171875,3.2780838012695312,1942400,0.0,0.0
1996-03-12,7.1875,7.1875,7.0,7.046875,3.2209484577178955,1932800,0.0,0.0
1996-03-13,7.03125,7.0625,6.75,6.8125,3.1138219833374023,2181600,0.0,0.0
1996-03-14,6.84375,6.9375,6.8125,6.8125,3.1138219833374023,999200,0.0,0.0
1996-03-15,6.8125,6.84375,6.65625,6.6875,3.0566885471343994,679200,0.0,0.0
1996-03-18,6.59375,6.65625,6.5,6.65625,3.0424041748046875,1100000,0.0,0.0
1996-03-19,6.625,6.96875,6.625,6.9375,3.1709558963775635,1436800,0.0,0.0
1996-03-20,6.875,6.9375,6.78125,6.84375,3.139986753463745,470400,0.02625,0.0
1996-03-21,6.78125,6.84375,6.625,6.75,3.096973180770874,956800,0.0,0.0
1996-03-22,6.75,6.75,6.65625,6.75,3.096973180770874,434400,0.0,0.0
1996-03-25,6.6875,6.75,6.59375,6.640625,3.046790838241577,583200,0.0,0.0
1996-03-26,6.640625,6.640625,6.59375,6.59375,3.0252835750579834,340800,0.0,0.0
1996-03-27,6.640625,6.65625,6.59375,6.65625,3.053959369659424,778400,0.0,0.0
1996-03-28,6.65625,6.65625,6.5625,6.59375,3.0252835750579834,297600,0.0,0.0
1996-03-29,6.625,6.71875,6.609375,6.625,3.0396218299865723,974400,0.0,0.0
1996-04-01,6.71875,6.90625,6.6875,6.90625,3.1686618328094482,988800,0.0,0.0
1996-04-02,6.84375,7.0,6.8125,6.820312976837158,3.129232883453369,1144800,0.0,0.0
1996-04-03,6.875,6.9375,6.8125,6.890625,3.161492109298706,359200,0.0,0.0
1996-04-04,6.90625,7.1875,6.84375,7.125,3.2690272331237793,1364800,0.0,0.0
1996-04-08,7.03125,7.25,7.0,7.148437976837158,3.2797813415527344,1634400,0.0,0.0
1996-04-09,7.21875,7.46875,7.125,7.375,3.3837296962738037,1782400,0.0,0.0
1996-04-10,7.375,7.375,7.1875,7.21875,3.3120410442352295,740800,0.0,0.0
1996-04-11,7.15625,7.1875,7.09375,7.125,3.2690272331237793,450400,0.0,0.0
1996-04-12,7.09375,7.375,7.0625,7.0625,3.240351438522339,2474400,0.0,0.0
1996-04-15,7.125,7.125,7.03125,7.03125,3.2260143756866455,374400,0.0,0.0
1996-04-16,7.125,7.125,7.03125,7.125,3.2690272331237793,740000,0.0,0.0
1996-04-17,7.125,7.15625,7.03125,7.078125,3.2475204467773438,998400,0.0,0.0
1996-04-18,7.125,7.21875,7.09375,7.15625,3.2833642959594727,389600,0.0,0.0
1996-04-19,7.15625,7.21875,6.9375,6.96875,3.197338581085205,965600,0.0,0.0
1996-04-22,6.96875,7.0,6.8125,6.84375,3.139986753463745,804000,0.0,0.0
1996-04-23,6.9375,7.125,6.875,7.0625,3.240351438522339,2224000,0.0,0.0
1996-04-24,7.15625,7.1875,7.0625,7.0625,3.240351438522339,727200,0.0,0.0
1996-04-25,7.125,7.15625,7.0625,7.125,3.2690272331237793,539200,0.0,0.0
1996-04-26,7.03125,7.09375,7.03125,7.09375,3.2546889781951904,218400,0.0,0.0
1996-04-29,7.03125,7.09375,7.03125,7.0625,3.240351438522339,113600,0.0,0.0
1996-04-30,7.09375,7.09375,6.96875,6.96875,3.197338581085205,890400,0.0,0.0
1996-05-01,7.125,7.125,6.75,6.75,3.096973180770874,389200,0.0,2.0
1996-05-02,6.6875,6.8125,6.625,6.71875,3.0826356410980225,596800,0.0,0.0
1996-05-03,6.8125,6.8125,6.6875,6.8125,3.1256496906280518,657200,0.0,0.0
1996-05-06,6.8125,6.8125,6.5,6.6875,3.0682992935180664,676400,0.0,0.0
1996-05-07,6.6875,6.6875,6.3125,6.40625,2.9392569065093994,672800,0.0,0.0
1996-05-08,6.4375,6.5,6.1875,6.375,2.9249186515808105,503600,0.0,0.0
1996-05-09,6.5,6.5,6.3125,6.5,2.982269525527954,374400,0.0,0.0
1996-05-10,6.5,6.8125,6.375,6.6875,3.0682992935180664,430000,0.0,0.0
1996-05-13,6.6875,7.0625,6.6875,7.0625,3.240351438522339,318000,0.0,0.0
1996-05-14,7.09375,7.09375,7.0,7.09375,3.2546889781951904,490400,0.0,0.0
1996-05-15,7.09375,7.4375,7.0,7.1875,3.297703742980957,888400,0.0,0.0
1996-05-16,7.125,7.125,7.0,7.125,3.2690272331237793,166000,0.0,0.0
1996-05-17,7.125,7.3125,7.09375,7.3125,3.3550548553466797,526800,0.0,0.0
1996-05-20,7.3125,7.3125,7.125,7.1875,3.297703742980957,710000,0.0,0.0
1996-05-21,7.28125,7.34375,7.0625,7.09375,3.2546889781951904,603600,0.0,0.0
1996-05-22,7.0625,7.125,6.875,6.875,3.154325008392334,278800,0.0,0.0
1996-05-23,6.9375,6.9375,6.6875,6.6875,3.0682992935180664,756400,0.0,0.0
1996-05-24,6.8125,6.875,6.6875,6.84375,3.139986753463745,383600,0.0,0.0
1996-05-28,6.8125,6.9375,6.78125,6.8125,3.1256496906280518,706800,0.0,0.0
1996-05-29,6.875,6.9375,6.78125,6.78125,3.1113128662109375,143200,0.0,0.0
1996-05-30,6.9375,6.96875,6.8125,6.96875,3.197338581085205,127200,0.0,0.0
1996-05-31,6.96875,7.03125,6.8125,7.0,3.211674928665161,457200,0.0,0.0
1996-06-03,6.9375,7.03125,6.90625,7.03125,3.2260143756866455,158000,0.0,0.0
1996-06-04,7.03125,7.03125,6.90625,6.9375,3.183000326156616,524000,0.0,0.0
1996-06-05,6.8125,7.0,6.78125,6.875,3.154325008392334,549600,0.0,0.0
1996-06-06,6.875,7.0,6.75,6.75,3.096973180770874,707600,0.0,0.0
1996-06-07,6.75,6.875,6.6875,6.8125,3.1256496906280518,527600,0.0,0.0
1996-06-10,6.8125,6.96875,6.8125,6.875,3.154325008392334,551200,0.0,0.0
1996-06-11,7.0,7.0,6.71875,6.71875,3.0826356410980225,822400,0.0,0.0
1996-06-12,6.6875,6.875,6.6875,6.75,3.096973180770874,264800,0.0,0.0
1996-06-13,6.75,6.75,6.5625,6.59375,3.0252835750579834,424800,0.0,0.0
1996-06-14,6.6875,6.6875,6.5625,6.65625,3.053959369659424,308400,0.0,0.0
1996-06-17,6.75,6.75,6.5625,6.6875,3.0682992935180664,300800,0.0,0.0
1996-06-18,6.6875,6.875,6.6875,6.8125,3.1256496906280518,232400,0.0,0.0
1996-06-19,6.75,7.0625,6.75,6.9375,3.183000326156616,572000,0.0,0.0
1996-06-20,6.9375,6.9375,6.5,6.625,3.0511667728424072,1332000,0.02625,0.0
1996-06-21,6.6875,6.8125,6.625,6.6875,3.0799522399902344,398000,0.0,0.0
1996-06-24,6.875,6.875,6.6875,6.75,3.1087355613708496,400400,0.0,0.0
1996-06-25,6.75,6.875,6.6875,6.8125,3.1375207901000977,210800,0.0,0.0
1996-06-26,6.875,6.875,6.6875,6.75,3.1087355613708496,496400,0.0,0.0
1996-06-27,6.75,7.1875,6.75,7.0625,3.2526588439941406,1107600,0.0,0.0
1996-06-28,7.1875,7.8125,7.0625,7.6875,3.5405044555664062,1223200,0.0,0.0
1996-07-01,7.75,7.75,7.4375,7.4375,3.4253644943237305,1243600,0.0,0.0
1996-07-02,7.5,7.5,6.875,6.9375,3.19508957862854,734400,0.0,0.0
1996-07-03,7.0625,7.0625,6.875,6.90625,3.180697202682495,353200,0.0,0.0
1996-07-05,6.875,6.875,6.625,6.625,3.0511667728424072,962800,0.0,0.0
1996-07-08,6.6875,6.6875,6.1875,6.4375,2.964812755584717,2112800,0.0,0.0
1996-07-09,6.3125,6.625,6.3125,6.5625,3.0223805904388428,1444400,0.0,0.0
1996-07-10,6.5625,6.5625,6.4375,6.5625,3.0223805904388428,642800,0.0,0.0
1996-07-11,6.5,6.5625,6.3125,6.5,2.993596315383911,824800,0.0,0.0
1996-07-12,6.375,6.5625,6.3125,6.34375,2.921635389328003,524800,0.0,0.0
1996-07-15,6.4375,6.4375,5.9375,5.9375,2.734534502029419,1649600,0.0,0.0
1996-07-16,6.0625,6.125,5.6875,5.8125,2.6769661903381348,1676400,0.0,0.0
1996-07-17,6.0,6.1875,5.9375,6.03125,2.777712345123291,2109600,0.0,0.0
1996-07-18,6.03125,6.4375,5.96875,6.4375,2.964812755584717,1923600,0.0,0.0
1996-07-19,6.5,6.5,6.3125,6.4375,2.964812755584717,744800,0.0,0.0
1996-07-22,6.4375,6.625,6.4375,6.53125,3.0079896450042725,1412400,0.0,0.0
1996-07-23,6.5,6.625,6.375,6.375,2.936027765274048,1376000,0.0,0.0
1996-07-24,6.25,6.3125,6.0625,6.125,2.820890188217163,715200,0.0,0.0
1996-07-25,6.125,6.3125,5.9375,6.0625,2.792105197906494,1288800,0.0,0.0
1996-07-26,6.1875,6.28125,6.125,6.25,2.878457546234131,570000,0.0,0.0
1996-07-29,6.34375,6.4375,6.125,6.1875,2.8496739864349365,631600,0.0,0.0
