Date,Price,Open,High,Low,Vol.,Change %
07/01/2026,51.02,50.72,51.47,50.48,"12,425,742",+0.37%
06/30/2026,50.83,51.07,51.19,50.67,"8,329,100",+0.34%
06/29/2026,50.66,51.28,51.40,50.25,"12,726,100",-1.82%
06/26/2026,51.60,51.57,51.89,51.38,"9,233,700",-0.46%
06/25/2026,51.84,51.41,52.19,51.27,"9,655,000",+1.33%
06/24/2026,51.16,50.87,51.53,50.79,"12,425,600",+0.57%
06/23/2026,50.87,51.07,51.48,50.79,"10,273,400",-1.45%
06/22/2026,51.62,51.18,51.82,51.15,"9,088,400",-0.37%
06/18/2026,51.81,52.22,52.43,51.76,"11,934,100",-0.40%
06/17/2026,52.02,52.52,53.31,51.86,"16,228,500",-1.33%
06/16/2026,52.72,52.69,53.09,52.64,"8,430,000",+0.42%
06/15/2026,52.50,52.87,53.20,52.47,"14,993,300",+0.61%
06/12/2026,52.18,51.71,52.36,51.52,"15,194,700",+1.87%
06/11/2026,51.22,50.07,51.33,50.00,"12,442,900",+3.27%
06/10/2026,49.60,50.75,50.86,49.57,"9,676,500",-2.30%
06/09/2026,50.77,50.59,50.82,49.84,"13,510,500",+1.62%
06/08/2026,49.96,50.61,50.81,49.91,"10,994,300",-1.32%
06/05/2026,50.63,51.41,51.65,50.50,"12,395,700",-1.92%
06/04/2026,51.62,51.83,52.20,51.44,"9,689,200",-0.02%
06/03/2026,51.63,51.35,52.03,51.24,"12,438,500",+0.21%
06/02/2026,51.52,50.82,51.67,50.72,"19,926,800",+1.18%
06/01/2026,50.92,50.65,51.05,50.13,"24,538,000",-0.45%
05/29/2026,51.15,51.28,51.58,51.11,"11,728,000",-0.41%
05/28/2026,51.36,51.07,51.47,50.61,"10,566,000",+0.35%
05/27/2026,51.18,51.01,51.37,50.98,"9,010,300",+0.37%
05/26/2026,50.99,50.68,51.17,50.65,"8,241,700",+1.39%
05/22/2026,50.29,50.33,50.50,49.99,"6,954,600",+0.54%
05/21/2026,50.02,49.54,50.25,49.14,"10,235,900",+0.60%
05/20/2026,49.72,48.99,49.78,48.90,"20,467,000",+1.39%
05/19/2026,49.04,49.78,49.86,48.89,"11,881,300",-2.35%
05/18/2026,50.22,50.33,50.72,50.07,"10,543,700",-0.16%
05/15/2026,50.30,51.01,51.19,50.25,"11,192,800",-2.65%
05/14/2026,51.67,52.12,52.25,51.60,"10,703,400",-0.75%
05/13/2026,52.06,52.13,52.52,52.02,"8,455,400",-0.15%
05/12/2026,52.14,52.00,52.29,51.46,"11,594,700",-0.23%
05/11/2026,52.26,51.86,52.41,51.83,"8,586,900",+1.30%
05/08/2026,51.59,51.81,51.91,51.50,"7,600,000",+0.37%
05/07/2026,51.40,52.60,52.77,51.38,"13,026,600",-1.93%
05/06/2026,52.41,52.32,52.67,52.14,"10,500,300",+1.71%
05/05/2026,51.53,51.04,51.79,50.89,"10,775,100",+1.74%
05/04/2026,50.65,51.16,51.26,50.50,"10,041,600",-1.36%
05/01/2026,51.35,51.64,51.77,51.34,"9,358,200",-0.23%
04/30/2026,51.47,50.92,51.71,50.80,"15,282,700",+1.00%
04/29/2026,50.96,51.49,51.51,50.89,"7,053,300",-0.86%
04/28/2026,51.40,51.88,51.98,51.01,"9,073,000",-0.73%
04/27/2026,51.78,52.00,52.18,51.61,"8,025,900",-0.27%
04/24/2026,51.92,51.75,52.00,51.33,"7,420,300",+0.21%
04/23/2026,51.81,51.71,51.90,51.28,"13,728,200",-0.04%
04/22/2026,51.83,52.24,52.42,51.70,"8,933,000",+0.12%
04/21/2026,51.77,52.25,52.57,51.64,"9,557,700",-0.88%
04/20/2026,52.23,51.84,52.40,51.67,"8,558,000",+0.67%
04/17/2026,51.88,51.60,52.37,51.47,"11,796,000",+0.25%
04/16/2026,51.75,51.52,51.97,51.49,"12,382,700",+0.72%
04/15/2026,51.38,51.90,51.90,51.24,"20,300,500",-1.21%
04/14/2026,52.01,52.26,52.26,51.65,"8,273,900",-0.34%
04/13/2026,52.19,51.69,52.26,51.56,"9,890,600",+0.44%
04/10/2026,51.96,51.93,52.22,51.88,"6,138,500",+0.56%
04/09/2026,51.67,51.56,52.07,51.47,"7,658,500",-0.15%
04/08/2026,51.75,51.08,51.78,50.77,"14,354,000",+3.33%
04/07/2026,50.08,50.12,50.32,49.68,"9,953,400",-0.28%
04/06/2026,50.22,50.21,50.43,49.85,"8,885,600",-0.38%
04/02/2026,50.41,50.08,50.92,49.91,"13,799,900",-0.10%
04/01/2026,50.46,50.34,50.66,50.17,"19,966,800",+0.98%
03/31/2026,49.97,49.52,50.23,49.29,"20,487,800",+1.79%
03/30/2026,49.09,49.51,49.74,48.90,"16,612,900",+0.37%
03/27/2026,48.91,49.04,49.29,48.78,"10,746,100",-0.37%
03/26/2026,49.09,48.97,49.73,48.97,"12,903,500",-0.65%
03/25/2026,49.41,49.00,49.45,48.67,"15,047,100",+1.98%
03/24/2026,48.45,47.28,48.79,47.24,"15,814,600",+1.89%
03/23/2026,47.55,47.40,48.15,47.36,"19,208,000",+1.21%
03/20/2026,46.98,47.85,47.96,46.73,"19,735,100",-1.59%
03/19/2026,47.74,47.64,48.00,47.22,"23,546,600",-1.53%
03/18/2026,48.48,49.18,49.28,48.48,"16,432,400",-2.10%
03/17/2026,49.52,49.68,49.98,49.48,"12,770,300",+0.24%
03/16/2026,49.40,49.46,49.77,49.09,"15,641,100",+0.43%
03/13/2026,49.19,50.03,50.13,49.01,"17,240,300",-0.99%
03/12/2026,49.68,49.79,50.23,49.63,"19,572,900",-0.32%
03/11/2026,49.84,49.73,49.89,49.28,"12,570,900",-0.08%
03/10/2026,49.88,49.99,50.42,49.63,"19,215,000",-0.22%
03/09/2026,49.99,49.26,50.19,48.60,"22,461,900",+0.26%
03/06/2026,49.86,50.31,50.36,49.44,"23,170,700",-1.91%
03/05/2026,50.83,51.60,51.78,50.51,"19,897,300",-2.10%
03/04/2026,51.92,52.32,52.38,51.68,"17,141,500",-0.04%
03/03/2026,51.94,51.67,52.09,50.69,"27,307,900",-2.46%
03/02/2026,53.25,53.07,53.39,52.51,"19,444,500",-0.30%
02/27/2026,53.41,52.86,53.49,52.67,"12,122,700",+0.77%
02/26/2026,53.00,52.89,53.12,52.35,"15,645,100",-0.11%
02/25/2026,53.06,53.73,53.75,52.67,"12,379,300",-0.56%
02/24/2026,53.36,52.96,53.50,52.91,"13,452,200",+0.76%
02/23/2026,52.96,52.49,53.10,52.36,"17,353,800",+0.00%
02/20/2026,52.96,52.62,53.25,52.32,"17,810,500",+0.25%
02/19/2026,52.83,52.65,53.17,52.43,"18,340,200",-0.36%
02/18/2026,53.02,53.00,53.34,52.74,"11,992,700",+0.61%
02/17/2026,52.70,52.70,52.97,52.08,"20,404,700",-1.14%
02/13/2026,53.31,52.54,53.64,52.44,"19,918,900",+0.91%
02/12/2026,52.83,53.67,54.14,52.74,"30,108,100",-1.47%
02/11/2026,53.62,53.11,53.67,53.11,"24,891,300",+1.34%
02/10/2026,52.91,52.15,52.99,52.12,"18,381,400",+1.40%
02/09/2026,52.18,51.47,52.31,51.27,"12,325,200",+1.30%
02/06/2026,51.51,50.86,51.62,50.86,"14,367,300",+2.00%
02/05/2026,50.50,51.38,51.52,50.36,"25,667,300",-2.68%
02/04/2026,51.89,51.01,52.02,51.01,"35,878,600",+2.35%
02/03/2026,50.70,50.18,51.22,50.06,"34,077,400",+2.11%
02/02/2026,49.65,49.25,49.81,49.20,"25,155,300",+0.77%
01/30/2026,49.27,49.22,49.65,48.81,"28,082,600",-1.46%
01/29/2026,50.00,50.45,50.62,49.29,"20,503,700",+0.10%
01/28/2026,49.95,50.12,50.21,49.54,"13,517,200",-0.06%
01/27/2026,49.98,49.87,50.18,49.68,"10,123,800",-0.10%
01/26/2026,50.03,50.42,50.48,50.02,"13,900,900",+0.12%
01/23/2026,49.97,49.46,49.99,49.36,"19,550,700",+0.91%
01/22/2026,49.52,49.37,49.83,49.35,"14,648,300",+0.57%
01/21/2026,49.24,48.82,49.38,48.67,"16,940,400",+2.18%
01/20/2026,48.19,48.35,48.52,48.02,"17,363,800",-1.01%
01/16/2026,48.68,48.57,48.72,48.36,"10,769,100",-0.57%
01/15/2026,48.96,48.77,49.11,48.61,"17,883,600",+0.43%
01/14/2026,48.75,48.75,49.14,48.63,"16,029,700",+0.04%
01/13/2026,48.73,48.60,48.76,48.39,"10,797,500",+0.43%
01/12/2026,48.52,48.37,48.61,48.20,"12,672,800",+0.54%
01/09/2026,48.26,47.59,48.29,47.56,"11,769,700",+1.60%
01/08/2026,47.50,46.41,47.63,46.27,"14,918,900",+1.76%
01/07/2026,46.68,47.34,47.56,46.63,"16,963,400",-1.73%
01/06/2026,47.50,46.73,47.63,46.69,"18,351,400",+1.98%
01/05/2026,46.58,46.02,46.73,46.00,"22,033,700",+1.00%
01/02/2026,46.12,45.52,46.18,45.27,"18,031,000",+1.70%
12/31/2025,45.35,45.61,45.67,45.33,"5,704,300",-0.83%
12/30/2025,45.73,45.81,45.85,45.63,"4,432,100",-0.02%
12/29/2025,45.74,45.74,45.86,45.54,"6,370,400",-0.80%
12/26/2025,46.11,45.95,46.14,45.86,"5,035,800",+0.59%
12/24/2025,45.84,45.73,45.89,45.61,"2,767,600",+0.20%
12/23/2025,45.75,45.78,45.80,45.54,"8,424,800",+0.18%
12/22/2025,45.67,45.39,45.71,45.33,"9,862,300",+0.66%
12/19/2025,45.37,45.20,45.54,45.09,"10,358,000",+0.44%
12/18/2025,45.17,45.27,45.63,45.13,"8,978,100",-0.04%
12/17/2025,45.19,45.01,45.37,44.94,"10,935,000",+0.42%
12/16/2025,45.00,45.18,45.21,44.72,"9,742,300",-0.27%
12/15/2025,45.12,45.42,45.44,44.85,"9,228,800",-0.07%
12/12/2025,45.15,45.51,45.58,44.97,"14,078,600",+0.07%
12/11/2025,45.12,44.29,45.22,44.29,"11,009,200",+1.99%
12/10/2025,44.24,43.35,44.34,43.35,"10,919,500",+1.96%
12/09/2025,43.39,43.42,43.82,43.37,"8,801,100",-0.21%
