Date,Price,Open,High,Low,Vol.,Change %
07/01/2026,183.36,184.37,185.64,182.72,"8,109,580",-1.01%
06/30/2026,185.23,183.32,185.45,182.70,"6,530,900",+1.35%
06/29/2026,182.76,181.51,183.58,181.35,"7,860,500",+0.86%
06/26/2026,181.20,182.64,183.07,180.91,"8,856,200",-1.59%
06/25/2026,184.12,182.24,186.09,182.06,"7,867,600",+2.17%
06/24/2026,180.21,179.07,181.89,178.34,"7,088,600",+1.16%
06/23/2026,178.15,179.16,180.01,177.23,"8,927,400",-2.01%
06/22/2026,181.80,180.78,182.28,180.69,"6,669,200",+0.49%
06/18/2026,180.91,182.50,182.92,180.45,"8,059,200",+0.73%
06/17/2026,179.60,179.97,182.33,179.13,"11,053,200",-0.14%
06/16/2026,179.85,179.58,181.10,179.31,"8,978,400",+0.65%
06/15/2026,178.68,178.80,179.98,178.51,"7,522,100",+1.42%
06/12/2026,176.18,176.02,176.61,174.63,"6,961,600",+0.59%
06/11/2026,175.15,171.28,175.68,170.99,"11,046,100",+3.24%
06/10/2026,169.66,174.57,174.58,169.45,"13,851,900",-3.38%
06/09/2026,175.60,174.37,176.59,171.73,"9,457,400",+1.13%
06/08/2026,173.63,174.92,175.33,173.27,"5,372,100",-0.32%
06/05/2026,174.18,175.61,176.37,173.48,"8,893,400",-1.12%
06/04/2026,176.16,174.93,176.48,174.28,"6,670,100",+1.21%
06/03/2026,174.05,173.73,176.10,173.55,"6,900,600",-0.08%
06/02/2026,174.19,172.94,174.50,172.37,"8,663,800",+1.04%
06/01/2026,172.40,171.59,172.86,170.39,"8,235,000",-0.42%
05/29/2026,173.13,173.57,173.88,172.37,"7,054,700",-0.39%
05/28/2026,173.80,173.49,174.71,172.06,"8,669,000",-0.29%
05/27/2026,174.30,174.54,174.86,173.47,"7,413,200",+0.00%
05/26/2026,174.30,173.19,174.78,172.87,"6,797,700",+1.47%
05/22/2026,171.77,171.75,172.88,170.42,"6,910,500",+0.73%
05/21/2026,170.53,169.81,171.30,168.91,"8,535,000",-0.12%
05/20/2026,170.73,169.23,171.48,168.37,"10,524,700",+1.18%
05/19/2026,168.74,169.63,170.18,168.11,"7,503,400",-1.18%
05/18/2026,170.75,171.56,171.57,169.50,"8,696,000",-0.38%
05/15/2026,171.40,172.80,172.80,170.93,"7,826,300",-1.78%
05/14/2026,174.51,174.17,174.73,172.84,"7,364,000",+0.51%
05/13/2026,173.62,174.24,174.61,172.52,"6,070,600",-0.42%
05/12/2026,174.35,174.43,174.79,172.14,"7,468,700",-0.39%
05/11/2026,175.04,173.24,175.55,172.88,"6,277,200",+1.06%
05/08/2026,173.20,175.15,175.32,173.09,"5,883,800",-0.46%
05/07/2026,174.00,177.44,177.72,173.43,"10,627,700",-1.62%
05/06/2026,176.87,175.28,177.34,174.25,"10,461,300",+2.59%
05/05/2026,172.41,172.15,173.06,171.20,"6,189,400",+0.84%
05/04/2026,170.98,172.50,173.21,170.66,"7,618,500",-1.14%
05/01/2026,172.96,175.23,175.43,172.94,"6,800,700",-0.93%
04/30/2026,174.58,171.49,174.82,171.14,"12,012,100",+2.74%
04/29/2026,169.93,171.25,171.71,169.23,"9,059,900",-0.61%
04/28/2026,170.98,171.68,171.86,169.54,"9,000,000",-0.89%
04/27/2026,172.51,172.51,173.51,171.52,"6,689,500",+0.02%
04/24/2026,172.47,173.97,174.18,171.96,"7,665,200",-0.92%
04/23/2026,174.07,171.83,174.79,171.60,"14,418,800",+1.77%
04/22/2026,171.04,173.31,173.92,170.33,"10,595,400",-0.23%
04/21/2026,171.44,173.53,174.69,170.93,"8,752,700",-1.41%
04/20/2026,173.90,173.13,173.98,172.56,"5,734,900",+0.22%
04/17/2026,173.51,172.24,175.13,172.14,"9,529,000",+1.87%
