Date,Price,Open,High,Low,Vol.,Change %
07/01/2026,185.62,186.83,187.97,185.38,"9,168,372",-2.57%
06/30/2026,190.52,185.76,190.94,185.60,"10,729,900",+2.76%
06/29/2026,185.41,183.12,185.66,178.67,"11,857,000",+2.37%
06/26/2026,181.11,181.00,183.11,179.76,"13,433,900",-1.87%
06/25/2026,184.57,188.15,188.41,180.38,"13,218,200",+0.83%
06/24/2026,183.05,184.07,185.66,180.79,"12,323,700",-0.62%
06/23/2026,184.19,184.68,187.25,183.70,"14,633,600",-4.14%
06/22/2026,192.15,192.95,194.30,190.86,"11,313,000",+0.37%
06/18/2026,191.44,190.42,192.00,189.38,"12,101,600",+3.04%
06/17/2026,185.80,189.01,189.99,185.30,"14,396,100",-0.34%
06/16/2026,186.44,191.23,192.25,186.43,"10,077,200",-2.79%
06/15/2026,191.79,190.37,192.08,189.75,"13,097,800",+3.78%
06/12/2026,184.80,183.24,185.84,181.64,"15,014,300",+0.87%
06/11/2026,183.21,177.79,183.66,176.50,"18,238,400",+3.73%
06/10/2026,176.63,178.16,182.41,176.15,"20,059,800",-2.29%
06/09/2026,180.77,185.91,187.08,172.88,"29,884,400",-1.85%
06/08/2026,184.18,185.22,186.71,183.17,"14,685,000",+2.15%
06/05/2026,180.30,188.89,189.22,179.80,"26,816,100",-6.66%
06/04/2026,193.17,191.52,194.74,189.69,"13,142,600",-1.56%
06/03/2026,196.23,198.37,198.73,194.53,"11,582,100",-1.00%
06/02/2026,198.21,196.45,198.38,195.75,"10,175,200",+1.25%
06/01/2026,195.76,192.32,196.50,191.15,"18,968,800",+2.48%
05/29/2026,191.02,189.33,191.63,189.20,"15,031,700",+2.23%
05/28/2026,186.85,184.83,187.58,183.79,"11,167,600",+1.31%
05/27/2026,184.43,186.18,186.27,182.54,"12,297,400",-0.38%
05/26/2026,185.14,183.20,186.00,182.59,"12,500,300",+2.63%
05/22/2026,180.39,180.03,181.73,179.56,"10,739,900",+1.00%
05/21/2026,178.60,175.83,178.98,175.83,"10,873,200",+0.82%
05/20/2026,177.14,174.66,177.25,173.95,"12,630,300",+2.25%
05/19/2026,173.24,172.68,175.18,170.83,"15,751,400",-0.64%
05/18/2026,174.36,177.62,177.85,171.91,"19,162,600",-1.08%
05/15/2026,176.26,176.21,178.70,174.63,"14,519,000",-1.81%
05/14/2026,179.50,177.36,180.22,176.87,"11,424,900",+1.50%
05/13/2026,176.85,177.27,177.74,174.26,"9,817,900",+0.94%
05/12/2026,175.20,176.15,176.99,171.20,"15,950,700",-1.51%
05/11/2026,177.88,176.15,178.30,175.87,"10,461,800",+1.34%
05/08/2026,175.52,171.59,175.60,171.30,"11,222,200",+3.44%
05/07/2026,169.69,170.26,171.95,168.70,"11,031,500",-0.20%
05/06/2026,170.03,167.88,170.08,166.84,"11,304,700",+2.66%
05/05/2026,165.63,163.87,166.02,163.52,"9,813,500",+2.21%
05/04/2026,162.05,162.71,163.24,160.88,"10,740,000",+0.11%
05/01/2026,161.87,160.39,162.29,160.14,"10,161,800",+1.49%
04/30/2026,159.50,159.65,159.80,156.88,"9,276,400",+0.25%
04/29/2026,159.11,158.83,159.15,157.75,"7,506,900",+0.80%
04/28/2026,157.85,157.11,158.64,156.16,"9,253,000",-1.69%
04/27/2026,160.57,160.02,160.62,158.81,"8,963,900",+0.22%
04/24/2026,160.22,158.43,160.40,157.60,"11,059,800",+2.81%
04/23/2026,155.84,156.77,157.80,153.95,"12,151,400",-1.42%
04/22/2026,158.09,156.22,158.16,155.52,"13,830,400",+2.20%
04/21/2026,154.69,155.00,156.07,154.15,"12,657,300",+0.08%
04/20/2026,154.56,154.30,154.75,153.04,"8,131,600",+0.14%
04/17/2026,154.35,154.06,154.81,153.51,"10,630,400",+1.53%
04/16/2026,152.02,150.99,152.18,149.75,"11,778,000",+1.14%
04/15/2026,150.30,148.27,150.37,147.96,"10,622,500",+1.60%
04/14/2026,147.94,146.90,147.94,146.08,"10,183,300",+1.60%
04/13/2026,145.61,142.33,145.67,142.13,"10,407,700",+2.10%
