Date,Price,Open,High,Low,Vol.,Change %
07/01/2026,83.30,83.10,83.32,82.77,"12,199,569",+0.28%
06/30/2026,83.07,83.99,84.09,82.95,"12,752,500",-1.54%
06/29/2026,84.37,84.91,85.08,84.05,"10,163,800",-0.40%
06/26/2026,84.71,84.65,85.22,84.45,"11,372,100",+0.92%
06/25/2026,83.94,83.95,84.99,83.70,"12,076,100",-0.59%
06/24/2026,84.44,84.04,84.81,83.82,"11,294,900",+0.86%
06/23/2026,83.72,83.62,83.84,83.03,"14,963,300",+1.87%
06/22/2026,82.18,82.66,83.14,82.15,"11,243,600",-1.34%
06/18/2026,83.30,83.84,83.89,83.13,"10,446,700",-0.45%
06/17/2026,83.68,85.19,85.39,83.36,"18,015,200",-2.23%
06/16/2026,85.59,85.79,86.35,85.09,"9,364,100",+0.13%
06/15/2026,85.48,85.47,85.77,85.13,"10,980,200",-0.40%
06/12/2026,85.82,85.46,85.86,85.12,"9,363,000",+0.65%
06/11/2026,85.27,85.68,85.96,85.20,"18,013,600",-0.26%
06/10/2026,85.49,84.76,85.62,84.40,"13,134,100",+1.65%
06/09/2026,84.10,83.18,84.59,83.04,"12,440,600",+1.24%
06/08/2026,83.07,82.97,83.49,82.93,"9,544,500",-0.44%
06/05/2026,83.44,82.59,84.39,82.44,"17,021,500",+1.71%
06/04/2026,82.04,83.34,83.61,81.84,"12,184,700",-0.15%
06/03/2026,82.16,81.79,82.72,81.65,"14,750,300",+0.40%
06/02/2026,81.83,81.92,82.29,81.48,"15,723,400",-0.24%
06/01/2026,82.03,82.51,82.64,81.68,"20,246,700",-1.06%
05/29/2026,82.91,83.97,84.10,82.85,"13,011,100",-1.80%
05/28/2026,84.43,84.86,84.95,84.37,"6,414,300",-0.18%
05/27/2026,84.58,84.02,85.16,83.90,"12,224,200",+1.14%
05/26/2026,83.63,84.79,84.89,83.53,"9,475,800",-1.38%
05/22/2026,84.80,84.72,85.12,84.44,"7,889,900",+0.17%
05/21/2026,84.66,84.56,84.77,83.44,"13,185,200",-1.01%
05/20/2026,85.52,85.58,86.07,84.81,"14,035,000",-0.66%
05/19/2026,86.09,85.82,86.70,85.16,"12,233,000",+0.22%
05/18/2026,85.90,84.75,85.94,84.68,"11,634,800",+1.49%
05/15/2026,84.64,85.53,85.59,84.51,"12,229,600",-0.40%
05/14/2026,84.98,84.95,85.26,84.79,"6,627,600",+0.31%
05/13/2026,84.72,84.20,85.26,84.14,"10,463,200",+0.33%
05/12/2026,84.44,83.71,85.02,83.21,"16,105,000",+1.28%
05/11/2026,83.37,84.08,84.29,82.83,"11,062,700",-0.96%
05/08/2026,84.18,84.53,84.80,84.16,"10,323,400",+0.24%
05/07/2026,83.98,83.93,84.30,83.15,"10,116,900",-0.31%
05/06/2026,84.24,84.34,84.51,83.84,"11,529,800",+0.21%
05/05/2026,84.06,83.48,84.46,83.27,"10,891,500",+0.62%
05/04/2026,83.54,83.54,84.35,83.14,"12,599,100",-0.75%
05/01/2026,84.17,84.72,85.06,83.74,"13,320,000",-0.17%
04/30/2026,84.31,83.29,84.44,83.18,"15,360,200",+1.68%
04/29/2026,82.92,82.76,83.24,82.47,"12,096,900",-0.19%
04/28/2026,83.08,83.60,83.65,82.62,"10,170,400",+0.90%
04/27/2026,82.34,83.10,83.34,82.27,"11,125,800",-1.07%
04/24/2026,83.23,83.76,83.86,82.95,"10,852,700",-0.30%
04/23/2026,83.48,82.36,83.66,82.36,"12,354,400",+1.67%
04/22/2026,82.11,82.09,82.51,81.85,"9,138,500",+0.33%
04/21/2026,81.84,82.34,82.45,81.74,"8,710,400",-0.67%
04/20/2026,82.39,82.55,82.95,82.08,"9,430,800",-0.08%
04/17/2026,82.46,81.32,82.54,81.15,"12,251,700",+1.26%
04/16/2026,81.43,80.99,81.80,80.87,"13,279,000",+0.46%
04/15/2026,81.06,81.23,81.32,80.46,"10,893,700",-0.50%
04/14/2026,81.47,81.06,81.75,80.71,"11,577,400",-0.10%
04/13/2026,81.55,82.14,82.27,81.07,"9,981,200",-1.00%
04/10/2026,82.37,83.38,83.41,82.14,"12,097,000",-1.29%
04/09/2026,83.45,82.24,83.64,82.06,"11,716,200",+0.81%
04/08/2026,82.78,81.25,82.80,80.97,"12,645,900",+1.87%
04/07/2026,81.26,82.46,82.54,81.10,"13,331,200",-1.69%
04/06/2026,82.66,81.86,82.69,81.61,"9,796,700",+0.94%
04/02/2026,81.89,81.71,81.98,81.16,"20,709,800",+0.53%
04/01/2026,81.46,81.72,81.87,80.92,"29,643,400",-0.63%
03/31/2026,81.98,82.00,82.27,81.15,"19,522,700",+0.12%
03/30/2026,81.88,81.91,82.61,81.63,"15,855,700",+0.12%
03/27/2026,81.78,81.27,82.32,80.99,"25,942,100",+0.79%
03/26/2026,81.14,81.48,82.23,81.07,"14,148,400",-0.45%
03/25/2026,81.51,81.43,81.63,80.51,"17,648,200",+0.49%
03/24/2026,81.11,80.80,82.03,80.63,"14,830,000",-0.09%
