trade_num,entry_date,exit_date,entry_value,mid_contribs,exit_value,net_gain,return_pct,price_dd,port_peak,port_trough,port_dd,sell_reason,holdings,status
1,1990-10-15,2000-12-08,107380.4,0.0,1834054.9999765218,1726674.599976522,1607.997921386512,0.0,2648204.0457893284,1904091.01785098,-28.098779968314595,bearish-div,QQQ(NDX),closed
2,2001-10-01,2001-11-26,1316051.9199835653,0.0,1849668.064615812,533616.1446322466,40.54673957231948,0.0,1316051.9199835653,1316051.9199835653,0.0,bearish-div,QQQ(NDX),closed
3,2002-07-18,2002-09-13,1955337.3382467937,0.0,1814372.2685651819,-140965.06968161184,-7.209245531413254,0.0,1955337.3382467937,1955337.3382467937,0.0,bearish-div,QQQ(NDX),closed
4,2002-09-13,2002-11-08,1819383.07103125,0.0,1984027.2761952737,164644.20516402368,9.049452409750145,0.0,1819383.07103125,1819383.07103125,0.0,bearish-div,QQQ(NDX),closed
5,2003-03-10,2007-07-26,2015916.3196974692,0.0,4148975.4933362966,2133059.173638827,105.81089863685105,0.0,4289775.639382403,3204726.6649507238,-12.197872657117658,bearish-div,QQQ(NDX),closed
6,2008-01-17,2011-09-16,4700843.401599619,0.0,5879013.608115773,1178170.206516154,25.06295372688319,-43.73215352043863,6196727.402644845,2643741.477717805,-49.56425690109045,bearish-div,QQQ(NDX),closed
7,2011-09-21,2014-08-07,7611801.210811612,56448.0,13063697.263864402,5395448.0530527895,70.36088557797056,-7.672142762254802,13504728.844728857,8521653.674105026,-11.859861803123579,bearish-div,QQQ(NDX),closed
8,2015-08-24,2018-03-22,13023278.786481023,37632.0,21577566.458700627,8516655.672219604,65.2072111313627,-2.248303867676911,23038492.584068354,12724113.848901773,-16.343331814666083,bearish-div,QQQ(NDX),closed
9,2018-12-17,2020-02-25,22087176.994311422,18816.0,30252973.86141652,8146980.867105097,36.854172844447994,-8.514373355209594,33296235.386183426,23906600.600026514,-11.059646457372347,bearish-div,QQQ(NDX),closed
10,2020-02-28,2020-03-02,31046357.20407035,0.0,32540648.8520838,1494291.6480134502,4.813098162181618,0.0,31046357.20407035,31046357.20407035,0.0,bearish-div,QQQ(NDX),closed
11,2020-03-09,2021-11-30,32949315.984684452,37632.0,66885998.95905419,33899050.974369735,102.76504207090866,-11.999703071075473,68733543.4261208,28981005.399871975,-16.458757850329548,bearish-div,QQQ(NDX),closed
12,2022-05-19,2023-05-01,76426748.67427781,18816.0,85086314.56844725,8640749.894169435,11.303140909464496,-10.0734866276568,87912483.20170586,68693563.58482915,-21.861422766071726,bearish-div,QQQ(NDX),closed
13,2023-10-27,2024-12-18,84418535.53209609,18816.0,126158578.76220284,41721227.230106756,49.41086672317973,0.0,131502523.27771467,106333004.1434561,-13.581419059770608,bearish-div,QQQ(NDX),closed
14,2025-04-04,,128152266.17542064,37632.0,217981048.53339407,89791150.35797343,70.0454182708682,-1.7663254338217078,218090093.58018416,169015931.40891036,-12.122849097525435,(open),QQQ(NDX),(open)
