years,n_windows,deployed_usd,strategy_avg_final_usd,strategy_avg_return_pct,strategy_median_final_usd,strategy_median_return_pct,strategy_worst_final_usd,strategy_best_final_usd,strategy_pct_losing_windows,ndx_buyhold_avg_final_usd,ndx_buyhold_avg_return_pct,ndx_buyhold_median_final_usd,ndx_buyhold_median_return_pct,ndx_buyhold_worst_final_usd,ndx_buyhold_best_final_usd,ndx_buyhold_pct_losing_windows
1,5910,1000000,1228595,22.9,1204209,20.4,499160,2370134,12.4,1160027,16.0,1173199,17.3,510873,1867655,15.2
2,5658,1200000,1767341,47.3,1626661,35.6,1061567,3395290,0.8,1565620,30.5,1551223,29.3,675187,2475112,9.4
3,5406,1400000,2425295,73.2,2228388,59.2,1339674,4662907,0.1,2014223,43.9,2010239,43.6,831468,3370426,5.3
4,5154,1600000,3239588,102.5,3230688,101.9,1566715,6621287,0.1,2522037,57.6,2562607,60.2,1000637,3814353,4.5
5,4902,1800000,4306630,139.3,4399348,144.4,1859129,7795241,0.0,3152876,75.2,3200010,77.8,1215436,5165284,4.0
6,4650,2000000,5631236,181.6,5704004,185.2,2086748,11973995,0.0,3860778,93.0,4002038,100.1,1616223,6069682,2.2
7,4398,2200000,7160150,225.5,7110475,223.2,2930102,16269439,0.0,4704282,113.8,4894975,122.5,1559055,7038945,2.0
8,4146,2400000,8893369,270.6,8671087,261.3,4348625,19051320,0.0,5746272,139.4,5847227,143.6,2807413,8834495,0.0
9,3894,2600000,10999041,323.0,10594060,307.5,5663026,23024971,0.0,6944159,167.1,6925510,166.4,3741437,11336941,0.0
10,3642,2800000,13383107,378.0,12726014,354.5,8019213,30424407,0.0,8284358,195.9,8426922,201.0,4068765,13541211,0.0
11,3390,3000000,16121148,437.4,15312419,410.4,9181708,31278415,0.0,9862469,228.7,9425884,214.2,4953576,16184328,0.0
12,3138,3200000,19968743,524.0,18372655,474.1,12213339,37802033,0.0,11773895,267.9,10939624,241.9,6654234,20416016,0.0
13,2886,3400000,24603421,623.6,23677217,596.4,14070337,46586260,0.0,13812934,306.3,13149849,286.8,7965370,26646131,0.0
14,2634,3600000,30863034,757.3,31163773,765.7,15407695,51229661,0.0,16050053,345.8,16803159,366.8,8186656,24213095,0.0
15,2382,3800000,39517499,939.9,40887471,976.0,18277199,65689977,0.0,18889137,397.1,18344715,382.8,10307059,29108062,0.0
16,2130,4000000,50538902,1163.5,52574834,1214.4,20444369,89859318,0.0,21948662,448.7,21240125,431.0,13537916,34943338,0.0
17,1878,4200000,65658109,1463.3,61847354,1372.6,24279198,161781963,0.0,25204616,500.1,24920596,493.3,13802774,42927821,0.0
18,1626,4400000,82592528,1777.1,72126593,1539.2,34447820,151177874,0.0,28498264,547.7,29479708,570.0,15508163,40449321,0.0
19,1374,4600000,104739719,2177.0,84278892,1732.1,63584224,213717601,0.0,32599904,608.7,33081521,619.2,21066544,43912968,0.0
20,1122,4800000,123366089,2470.1,106962128,2128.4,79952614,227153989,0.0,35547478,640.6,35131190,631.9,25791872,50329944,0.0
