years,n_windows,deployed_usd,strategy_avg_final_usd,strategy_avg_return_pct,strategy_median_final_usd,strategy_median_return_pct,strategy_worst_final_usd,strategy_best_final_usd,strategy_pct_losing_windows,ndx_buyhold_avg_final_usd,ndx_buyhold_avg_return_pct,ndx_buyhold_median_final_usd,ndx_buyhold_median_return_pct,ndx_buyhold_worst_final_usd,ndx_buyhold_best_final_usd,ndx_buyhold_pct_losing_windows
1,5910,1000000,1244005,24.4,1209614,21.0,486308,2669818,12.2,1160027,16.0,1173199,17.3,510873,1867655,15.2
2,5658,1200000,1826231,52.2,1642524,36.9,994597,3933774,1.0,1565620,30.5,1551223,29.3,675187,2475112,9.4
3,5406,1400000,2570199,83.6,2312992,65.2,1255114,5472718,0.2,2014223,43.9,2010239,43.6,831468,3370426,5.3
4,5154,1600000,3514686,119.7,3474502,117.2,1472049,7729795,0.1,2522037,57.6,2562607,60.2,1000637,3814353,4.5
5,4902,1800000,4793255,166.3,4955456,175.3,1741922,8842906,0.0,3152876,75.2,3200010,77.8,1215436,5165284,4.0
6,4650,2000000,6450102,222.5,6371152,218.6,1955067,14644073,0.0,3860778,93.0,4002038,100.1,1616223,6069682,2.2
7,4398,2200000,8412890,282.4,8421673,282.8,2798148,19901173,0.0,4704282,113.8,4894975,122.5,1559055,7038945,2.0
8,4146,2400000,10695621,345.7,10189988,324.6,5054845,23796907,0.0,5746272,139.4,5847227,143.6,2807413,8834495,0.0
9,3894,2600000,13559812,421.5,13073710,402.8,7119207,28517758,0.0,6944159,167.1,6925510,166.4,3741437,11336941,0.0
10,3642,2800000,16944394,505.2,16106755,475.2,9533101,38369802,0.0,8284358,195.9,8426922,201.0,4068765,13541211,0.0
11,3390,3000000,21075106,602.5,19852893,561.8,13326058,39658374,0.0,9862469,228.7,9425884,214.2,4953576,16184328,0.0
12,3138,3200000,26950800,742.2,24913347,678.5,17088205,50691229,0.0,11773895,267.9,10939624,241.9,6654234,20416016,0.0
13,2886,3400000,34206748,906.1,32134957,845.1,19673137,68150219,0.0,13812934,306.3,13149849,286.8,7965370,26646131,0.0
14,2634,3600000,44210436,1128.1,44086175,1124.6,21859689,75717234,0.0,16050053,345.8,16803159,366.8,8186656,24213095,0.0
15,2382,3800000,58300280,1434.2,59983521,1478.5,26921870,97877203,0.0,18889137,397.1,18344715,382.8,10307059,29108062,0.0
16,2130,4000000,76220872,1805.5,80794794,1919.9,30225962,129157763,0.0,21948662,448.7,21240125,431.0,13537916,34943338,0.0
17,1878,4200000,101378468,2313.8,96576811,2199.4,36610265,256827249,0.0,25204616,500.1,24920596,493.3,13802774,42927821,0.0
18,1626,4400000,129462465,2842.3,113856030,2487.6,48174392,236392266,0.0,28498264,547.7,29479708,570.0,15508163,40449321,0.0
19,1374,4600000,165975928,3508.2,134076300,2814.7,99184891,338430038,0.0,32599904,608.7,33081521,619.2,21066544,43912968,0.0
20,1122,4800000,197253604,4009.5,174537154,3536.2,123687849,381396611,0.0,35547478,640.6,35131190,631.9,25791872,50329944,0.0
