Date,breadth_60_sessions_ago,breadth,breadth_fall_60_points,breadth_below_60,ndx_return_60_pct,original_price_rise_met,canonical_divergence,fall_15,fall_20,fall_25,price,next_session_open,episode_onset,new_without_price_rise
2002-07-10,72.61,49.22,23.39,True,-29.05647815955912,False,False,True,True,False,959.05,954.01,True,True
2002-09-12,63.77,39.22,24.550000000000004,True,-20.42768564496352,False,False,True,True,False,915.01,909.63,True,True
2002-10-02,55.1,34.77,20.33,True,-16.24422032277465,False,False,True,True,False,849.56,846.74,True,True
2004-05-06,98.28,59.59,38.69,True,-5.64490865099414,False,False,True,True,True,1415.6,1411.05,True,True
2004-06-09,91.91,56.96,34.949999999999996,True,2.661729775045396,False,False,True,True,True,1469.5,1475.71,True,True
2004-07-01,91.77,57.93,33.839999999999996,True,-0.04898342615581308,False,False,True,True,True,1489.57,1488.34,True,True
2004-07-15,74.28,52.64,21.64,True,-2.286999848177429,False,False,True,True,False,1415.92,1426.49,True,True
2004-07-21,73.29,48.99,24.300000000000004,True,-6.659710535173346,False,False,True,True,False,1386.57,1385.89,True,True
2005-03-29,86.62,58.15,28.470000000000006,True,-9.81795339212692,False,False,True,True,True,1464.34,1470.13,True,True
2005-04-13,80.97,58.62,22.35,True,-6.3691860278904056,False,False,True,True,False,1461.68,1461.83,True,True
2005-05-25,82.54,59.32,23.220000000000006,True,0.3575053200196354,False,False,True,True,False,1532.71,1540.05,True,True
2005-10-12,73.21,48.07,25.139999999999993,True,-4.357147797219718,False,False,True,True,True,1521.19,1519.36,True,True
2006-05-23,75.56,54.27,21.29,True,-7.469068091480613,False,False,True,True,False,1569.01,1567.77,True,True
2006-06-12,72.47,46.21,26.259999999999998,True,-9.454155623715788,False,False,True,True,True,1520.31,1523.64,True,True
2006-07-13,69.32,46.18,23.139999999999993,True,-14.390955844877917,False,False,True,True,False,1478.16,1478.6,True,True
2006-07-27,70.01,49.15,20.860000000000007,True,-12.5093938802199,False,False,True,True,False,1478.53,1488.06,True,True
2006-08-01,72.27,52.0,20.269999999999996,True,-13.355972552863737,False,False,True,True,False,1484.94,1490.64,True,True
2007-07-26,83.54,57.06,26.480000000000004,True,6.040791489407127,True,True,True,True,True,1986.6,1988.85,True,False
2008-01-02,65.71,43.67,22.039999999999992,True,-4.650016048974958,False,False,True,True,False,2049.71,2050.64,True,True
2008-01-17,53.27,25.92,27.35,True,-14.616792973185932,False,False,True,True,True,1842.1,1862.22,True,True
2008-02-04,55.31,31.02,24.290000000000003,True,-17.768674937161922,False,False,True,True,False,1828.8,1798.65,True,True
2008-02-14,47.14,26.73,20.41,True,-12.741748103601447,False,False,True,True,False,1787.59,1776.1,True,True
2008-02-28,51.84,31.02,20.820000000000004,True,-14.103681010961655,False,False,True,True,False,1794.46,1776.01,True,True
2008-03-19,47.96,21.18,26.78,True,-17.108441884735804,False,False,True,True,True,1715.59,1719.7,True,True
2008-03-27,48.98,28.11,20.869999999999997,True,-15.621840962483091,False,False,True,True,False,1777.89,1788.56,True,True
2008-07-28,49.8,25.45,24.349999999999998,True,-8.960130072105187,False,False,True,True,False,1802.99,1813.3,True,True
2008-10-07,26.26,5.05,21.21,True,-26.031267553934022,False,False,True,True,False,1329.98,1298.63,True,True
2008-12-12,33.33,3.64,29.689999999999998,True,-28.912702807790648,False,False,True,True,True,1206.65,1206.88,True,True
2008-12-19,28.89,4.65,24.240000000000002,True,-27.872359337501106,False,False,True,True,False,1217.19,1212.31,True,True
2010-05-20,83.4,50.6,32.800000000000004,True,-0.6835824354072595,False,False,True,True,True,1800.12,1772.34,True,True
2010-05-28,86.6,59.0,27.599999999999994,True,-0.3941453552147589,False,False,True,True,True,1852.39,1846.6,True,True
2010-06-04,90.4,45.4,45.00000000000001,True,-4.449370224528648,False,False,True,True,True,1832.04,1839.77,True,True
2010-06-21,89.4,59.8,29.60000000000001,True,-2.735038350050034,False,False,True,True,True,1895.84,1903.31,True,True
2010-07-27,87.8,58.2,29.599999999999994,True,-5.589239389592282,False,False,True,True,True,1888.81,1887.46,True,True
2010-08-06,82.6,59.6,22.999999999999993,True,-3.6799319693457067,False,False,True,True,False,1902.88,1911.38,True,True
2010-08-11,74.0,48.2,25.799999999999997,True,-3.658148215823953,False,False,True,True,True,1845.38,1808.63,True,True
2010-08-23,62.6,39.0,23.6,True,-2.920476080549317,False,False,True,True,False,1808.31,1783.2,True,True
2010-08-26,59.6,32.6,27.0,True,-5.882665900542139,False,False,True,True,True,1769.02,1780.11,True,True
