variant,record_type,component,entry_date,exit_date,signal_date,component_return_pct,allocation_at_entry,portfolio_contribution_pct,sell_reason,cluster,return_pct,max_drawdown_pct,accumulated,buy_trigger,component_events
10%,component_exit,breadth,2002-07-24,2002-08-15,2002-08-14,11.266436389334928,0.9,10.139792750401435,climax-top,,,,,,
10%,component_exit,breadth,2002-10-10,2002-11-12,2002-11-11,21.249727099487348,0.9091888745700499,19.320015466503595,climax-top,,,,,,
10%,component_exit,breadth,2003-01-10,2003-03-18,2003-03-17,1.3553900874935836,0.9238799801851691,1.2522177671767467,climax-top,,,,,,
10%,component_exit,breadth,2004-03-25,2004-06-14,2004-06-10,5.375851021555637,0.8772346110209557,4.715882579800967,bearish-divergence,,,,,,
10%,component_exit,breadth,2005-03-31,2007-07-27,2007-07-26,33.3965882431005,0.9096622122053684,30.3796143413306,bearish-divergence,,,,,,
10%,component_exit,breadth,2008-01-23,2008-09-30,2008-09-29,-10.808117263218783,0.901718321003624,-9.745877351799924,trailing-stop,,,,,,
10%,component_exit,breadth,2008-10-17,2008-11-05,2008-11-04,5.178220440872035,0.9151603803184658,4.738902188041306,climax-top,,,,,,
10%,component_exit,breadth,2008-11-24,2009-01-14,2009-01-13,6.924540387985798,0.9189895193553649,6.36358004291188,climax-top,,,,,,
10%,component_exit,breadth,2009-02-02,2009-02-18,2009-02-17,2.1030798495609764,0.9238278588971884,1.942883754509738,climax-top,,,,,,
10%,component_exit,breadth,2009-03-09,2011-09-19,2011-09-16,114.8900692497403,0.925271692414063,106.30452881627612,bearish-divergence,,,,,,
10%,component_exit,breadth,2011-10-06,2014-08-08,2014-08-07,76.9464260343174,0.9370115163041337,72.09968733259961,bearish-divergence,,,,,,
10%,component_exit,breadth,2015-08-25,2018-03-23,2018-03-22,59.447425295777634,0.9167116210782783,54.496145611822165,bearish-divergence,,,,,,
10%,component_exit,breadth,2018-10-15,2020-02-26,2020-02-25,24.473917241435135,0.8768608740606254,21.460220464012224,bearish-divergence,,,,,,
10%,component_exit,breadth,2020-03-16,2021-12-01,2021-11-30,117.6893390777586,0.907583465061778,106.81289816102267,bearish-divergence,,,,,,
10%,component_exit,breadth,2022-06-14,2022-11-14,2022-11-11,2.909112997110624,0.8706611951308787,2.5328517988351087,climax-top,,,,,,
10%,component_exit,breadth,2023-01-27,2023-05-02,2023-05-01,10.100249324264201,0.8738554819997846,8.826158241572893,bearish-divergence,,,,,,
10%,component_exit,breadth,2023-10-30,2024-12-19,2024-12-18,49.38022794807871,0.8736943092663716,43.14322414851261,bearish-divergence,,,,,,
10%,component_exit,tqqq_ma200,2003-01-10,2003-01-21,2003-01-17,-11.104107336761759,0.07612001981483081,-0.8452448705003133,NDX-below-MA200/TQQQ,,,,,,
10%,component_exit,tqqq_ma200,2003-03-14,2004-03-24,2004-03-23,93.62922710401182,0.07016804984359704,6.569780274251768,NDX-below-MA200/TQQQ,,,,,,
10%,component_exit,tqqq_ma200,2004-03-26,2004-05-03,2004-04-30,-4.25790919567115,0.12048213366818755,-0.5130019848598565,NDX-below-MA200/TQQQ,,,,,,
10%,component_exit,tqqq_ma200,2004-05-05,2004-05-10,2004-05-07,-6.388858157889676,0.11621713475372619,-0.7424947894579074,NDX-below-MA200/TQQQ,,,,,,
10%,component_exit,tqqq_ma200,2004-05-12,2004-05-18,2004-05-14,-3.9258187513569687,0.10962110535623922,-0.43035259095200173,NDX-below-MA200/TQQQ,,,,,,
10%,component_exit,tqqq_ma200,2004-05-26,2004-07-09,2004-07-08,-1.8467378760658737,0.1040820152409437,-0.19221219976271625,NDX-below-MA200/TQQQ,,,,,,
10%,component_exit,tqqq_ma200,2004-10-04,2004-10-11,2004-10-08,-6.00348289854562,0.10093063252613539,-0.6059353263100461,NDX-below-MA200/TQQQ,,,,,,
10%,component_exit,tqqq_ma200,2004-10-19,2004-10-25,2004-10-22,-6.066240341128825,0.09544964236496083,-0.5790204710606444,NDX-below-MA200/TQQQ,,,,,,
10%,component_exit,tqqq_ma200,2004-10-27,2005-03-23,2005-03-22,0.19038282495844605,0.09018160762362677,0.0171690292186802,NDX-below-MA200/TQQQ,,,,,,
10%,component_exit,tqqq_ma200,2005-03-31,2005-04-04,2005-04-01,-4.2847987815066935,0.0903377877946316,-0.3870792430664477,NDX-below-MA200/TQQQ,,,,,,
10%,component_exit,tqqq_ma200,2005-04-06,2005-04-12,2005-04-11,-2.4192455360260046,0.08719256848947946,-0.21094023209281484,NDX-below-MA200/TQQQ,,,,,,
10%,component_exit,tqqq_ma200,2005-05-18,2005-06-27,2005-06-24,-0.18937147344690874,0.08492844821270001,-0.016083025375598484,NDX-below-MA200/TQQQ,,,,,,
10%,component_exit,tqqq_ma200,2005-07-11,2005-10-13,2005-10-12,-5.341881693344419,0.08259337826327108,-0.4412040553360387,NDX-below-MA200/TQQQ,,,,,,
