Date,breadth_40,breadth_50,breadth_60,price,ma200,breadth
2002-01-02,False,False,False,1610.39,,65.91
2002-01-03,False,False,False,1666.66,,69.77
2002-01-04,False,False,False,1675.03,,71.78
2002-01-07,False,False,False,1649.83,,70.9
2002-01-08,False,False,False,1666.58,,71.55
2002-01-09,False,False,False,1653.76,,70.73
2002-01-10,False,False,False,1656.68,,71.0
2002-01-11,False,False,False,1634.17,,69.91
2002-01-14,False,False,False,1603.76,,67.93
2002-01-15,False,False,False,1612.46,,68.73
2002-01-16,False,False,False,1558.98,,65.56
2002-01-17,False,False,False,1602.32,,67.26
2002-01-18,False,False,False,1548.22,,64.84
2002-01-22,False,False,False,1501.78,,62.99
2002-01-23,False,False,False,1549.21,,64.93
2002-01-24,False,False,False,1565.13,,65.71
2002-01-25,False,False,False,1558.26,,65.51
2002-01-28,False,False,False,1564.86,,65.51
2002-01-29,False,False,False,1519.33,,62.06
2002-01-30,False,False,False,1538.94,,63.68
2002-01-31,False,False,False,1550.17,,65.24
2002-02-01,False,False,False,1528.15,,64.49
2002-02-04,False,False,False,1479.17,,61.0
2002-02-05,False,False,False,1462.86,,60.04
2002-02-06,False,False,False,1445.96,,58.22
2002-02-07,False,False,False,1413.86,,56.96
2002-02-08,False,False,False,1452.17,,59.89
2002-02-11,False,False,False,1477.64,,61.93
2002-02-12,False,False,False,1464.76,,61.91
2002-02-13,False,False,False,1486.75,,62.96
2002-02-14,False,False,False,1474.71,,62.19
2002-02-15,False,False,False,1436.7,,62.25
2002-02-19,False,False,False,1387.27,,58.64
2002-02-20,False,False,False,1408.26,,60.57
2002-02-21,False,False,False,1348.25,,58.55
2002-02-22,False,False,False,1356.16,,60.47
2002-02-25,False,False,False,1407.99,,62.1
2002-02-26,False,False,False,1401.19,,62.64
2002-02-27,False,False,False,1378.48,,63.36
2002-02-28,False,False,False,1359.22,,63.12
2002-03-01,False,False,False,1435.41,,66.32
2002-03-04,False,False,False,1494.7,,69.43
2002-03-05,False,False,False,1498.95,,69.52
2002-03-06,False,False,False,1519.95,,72.53
2002-03-07,False,False,False,1506.81,,72.22
2002-03-08,False,False,False,1555.11,,73.06
2002-03-11,False,False,False,1553.8,,74.27
2002-03-12,False,False,False,1520.54,,72.99
2002-03-13,False,False,False,1486.27,,71.65
2002-03-14,False,False,False,1477.19,,72.38
2002-03-15,False,False,False,1495.41,,73.13
2002-03-18,False,False,False,1505.89,,73.46
2002-03-19,False,False,False,1504.67,,73.77
2002-03-20,False,False,False,1451.02,,72.23
2002-03-21,False,False,False,1488.97,,72.58
2002-03-22,False,False,False,1470.1,,72.17
2002-03-25,False,False,False,1427.6,,70.16
2002-03-26,False,False,False,1439.55,,70.9
2002-03-27,False,False,False,1436.51,,72.32
2002-03-28,False,False,False,1452.81,,73.59
2002-04-01,False,False,False,1478.52,,72.95
2002-04-02,False,False,False,1410.41,,72.49
2002-04-03,False,False,False,1394.21,,71.2
