basket_size,horizon_years,qqq_pct,stock_pct,n_windows_rolling,total_return_mean,total_return_median,total_return_std,total_return_p25,total_return_p75,final_value_mean,final_value_median,final_value_std,final_value_p25,final_value_p75,cagr_mean,cagr_median,cagr_std,cagr_p25,cagr_p75,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_p25,max_drawdown_p75,sharpe_ratio_mean,sharpe_ratio_median,sharpe_ratio_std,sharpe_ratio_p25,sharpe_ratio_p75,pct_windows_positive,n_windows_nonoverlap,cagr_nonoverlap_mean,cagr_nonoverlap_std,cagr_nonoverlap_tstat,cagr_nonoverlap_pvalue,sharpe_nonoverlap_mean,sharpe_nonoverlap_std,sharpe_nonoverlap_tstat,sharpe_nonoverlap_pvalue
1,1,0,100,6037,0.286797,0.287268,0.374435,0.007027,0.516301,12867.965848,12872.682589,3744.354958,10070.272208,15163.006389,0.287114,0.287408,0.374885,0.007032,0.516733,-0.241754,-0.203756,0.131686,-0.314273,-0.136343,0.978908,1.033305,0.985169,0.176521,1.697772,0.7552,24,0.294319,0.487799,2.955858,0.007357,0.97954,1.120453,4.28286,0.000341
1,1,1,99,6037,0.285302,0.285949,0.372303,0.007774,0.513362,12853.018724,12859.485304,3723.033134,10077.74038,15133.622783,0.285618,0.286141,0.372749,0.00778,0.513982,-0.24083,-0.20291,0.13139,-0.313845,-0.13566,0.979172,1.034733,0.984815,0.17767,1.697369,0.7558,24,0.292698,0.484866,2.95736,0.007332,0.979812,1.120173,4.285124,0.000339
1,1,2,98,6037,0.283807,0.284993,0.370177,0.008741,0.510544,12838.0716,12849.927085,3701.772312,10087.410353,15105.442551,0.284121,0.284875,0.37062,0.008747,0.51146,-0.239906,-0.202062,0.131097,-0.313418,-0.135095,0.979436,1.034647,0.984452,0.179569,1.695858,0.7565,24,0.291078,0.48194,2.95884,0.007307,0.980086,1.119879,4.287447,0.000338
1,1,3,97,6037,0.282312,0.284142,0.368057,0.009479,0.507378,12823.124476,12841.422237,3680.57355,10094.786391,15073.781859,0.282624,0.284362,0.368497,0.009485,0.50806,-0.238981,-0.201212,0.130809,-0.31299,-0.134529,0.979698,1.03364,0.98408,0.181476,1.69648,0.757,24,0.289457,0.479021,2.960298,0.007283,0.980362,1.119573,4.289828,0.000336
1,1,4,96,6037,0.280818,0.28322,0.365944,0.010215,0.504178,12808.177352,12832.201857,3659.437927,10102.148955,15041.776826,0.281128,0.283339,0.36638,0.010222,0.504961,-0.238056,-0.200361,0.130524,-0.312563,-0.133964,0.979958,1.034096,0.9837,0.183302,1.695873,0.7577,24,0.287836,0.476108,2.961732,0.007259,0.98064,1.119254,4.292265,0.000334
1,1,5,95,6037,0.279323,0.282636,0.363837,0.010614,0.501167,12793.230228,12826.36232,3638.366542,10106.143368,15011.670258,0.279631,0.282911,0.36427,0.010622,0.501299,-0.237147,-0.199455,0.130233,-0.312134,-0.133398,0.980217,1.035987,0.98331,0.184498,1.695192,0.7585,24,0.286216,0.473203,2.96314,0.007236,0.980918,1.118922,4.294757,0.000332
1,1,6,94,6037,0.277828,0.28214,0.361736,0.011103,0.497815,12778.283105,12821.396137,3617.360519,10111.028659,14978.148138,0.278134,0.282358,0.362166,0.011141,0.498128,-0.236248,-0.19851,0.129943,-0.311707,-0.132833,0.980473,1.036274,0.98291,0.185073,1.692692,0.7596,24,0.284595,0.470304,2.964522,0.007213,0.981197,1.118578,4.297302,0.00033
1,1,7,93,6037,0.276334,0.281101,0.359642,0.011336,0.494854,12763.335981,12811.009079,3596.421003,10113.361113,14948.539344,0.276638,0.281293,0.360069,0.011313,0.495227,-0.235352,-0.197632,0.129661,-0.311279,-0.132251,0.980726,1.038389,0.982502,0.189321,1.693537,0.7605,24,0.282975,0.467413,2.965876,0.007191,0.981477,1.11822,4.299899,0.000328
1,1,8,92,6037,0.274839,0.280211,0.357555,0.012152,0.492215,12748.388857,12802.114218,3575.549161,10121.518687,14922.15397,0.275141,0.280572,0.357979,0.01216,0.49209,-0.23446,-0.196752,0.129383,-0.310848,-0.131683,0.980976,1.03918,0.982084,0.191106,1.694077,0.7611,24,0.281354,0.464529,2.9672,0.007169,0.981755,1.11785,4.302545,0.000326
1,1,9,91,6037,0.273344,0.27921,0.355475,0.01262,0.489021,12733.441733,12792.095576,3554.746187,10126.202445,14890.205777,0.273644,0.279876,0.355895,0.012629,0.489333,-0.23357,-0.195883,0.129111,-0.310419,-0.131107,0.981222,1.038645,0.981656,0.191678,1.692935,0.7611,24,0.279734,0.461652,2.968493,0.007148,0.982033,1.117466,4.30524,0.000324
1,1,10,90,6037,0.271849,0.278797,0.353401,0.014217,0.486058,12718.494609,12787.966677,3534.013297,10142.169789,14860.581112,0.272148,0.279336,0.353819,0.014188,0.486607,-0.232686,-0.195013,0.12884,-0.309991,-0.130539,0.981464,1.039814,0.981219,0.19325,1.690293,0.7621,24,0.278114,0.458783,2.969755,0.007128,0.98231,1.11707,4.30798,0.000322
1,1,11,89,6037,0.270355,0.278334,0.351335,0.015124,0.483576,12703.547485,12783.342936,3513.35173,10151.236333,14835.762675,0.270651,0.278362,0.351749,0.015134,0.484084,-0.231812,-0.194132,0.128567,-0.309561,-0.129971,0.981701,1.04165,0.980772,0.1969,1.689641,0.7633,24,0.276493,0.455921,2.970982,0.007108,0.982584,1.11666,4.310764,0.00032
1,1,12,88,6037,0.26886,0.277005,0.349276,0.015529,0.480824,12688.600361,12770.050002,3492.762754,10155.290688,14808.235261,0.269154,0.277839,0.349687,0.01554,0.482161,-0.230942,-0.19325,0.128296,-0.309123,-0.129403,0.981933,1.041896,0.980315,0.200225,1.688747,0.7641,24,0.274873,0.453068,2.972173,0.007088,0.982856,1.116238,4.31359,0.000318
1,1,13,87,6037,0.267365,0.276144,0.347225,0.016367,0.478419,12673.653238,12761.435782,3472.247658,10163.669643,14784.18843,0.267658,0.27644,0.347633,0.016424,0.479129,-0.230074,-0.192352,0.128027,-0.308689,-0.128831,0.982159,1.042423,0.979848,0.199632,1.685378,0.7643,24,0.273252,0.450222,2.973327,0.00707,0.983125,1.115802,4.316456,0.000316
1,1,14,86,6037,0.265871,0.275447,0.345181,0.016539,0.476175,12658.706114,12754.469483,3451.807761,10165.392103,14761.745116,0.266161,0.276035,0.345586,0.016551,0.476315,-0.22921,-0.191212,0.127756,-0.308259,-0.1281,0.982378,1.042584,0.979371,0.202498,1.685767,0.7649,24,0.271632,0.447385,2.974441,0.007052,0.983391,1.115353,4.31936,0.000314
1,1,15,85,6037,0.264376,0.275526,0.343144,0.017085,0.473288,12643.75899,12755.26388,3431.444407,10170.854741,14732.883957,0.264664,0.275607,0.343546,0.017097,0.473679,-0.22835,-0.19116,0.127491,-0.307829,-0.127878,0.98259,1.043608,0.978883,0.203825,1.686044,0.7651,24,0.270012,0.444556,2.975515,0.007035,0.983652,1.114891,4.322299,0.000312
1,1,16,84,6037,0.262881,0.274556,0.341116,0.017377,0.470644,12628.811866,12745.56472,3411.158965,10173.770915,14706.438677,0.263168,0.275259,0.341515,0.017389,0.470642,-0.227493,-0.191118,0.127233,-0.307403,-0.127285,0.982795,1.044757,0.978385,0.206511,1.686449,0.7659,24,0.268392,0.441735,2.976546,0.007018,0.983909,1.114415,4.325272,0.00031
1,1,17,83,6037,0.261386,0.273958,0.339095,0.018003,0.467793,12613.864742,12739.580211,3390.952835,10180.034237,14677.928393,0.261671,0.274591,0.339491,0.018066,0.46789,-0.226636,-0.190167,0.126977,-0.306975,-0.126702,0.982991,1.044798,0.977876,0.20912,1.684189,0.7658,24,0.266771,0.438923,2.977532,0.007002,0.98416,1.113927,4.328274,0.000307
1,1,18,82,6037,0.259892,0.273254,0.337083,0.0183,0.464626,12598.917618,12732.538164,3370.827442,10182.997118,14646.259994,0.260175,0.273706,0.337475,0.018363,0.464893,-0.225779,-0.189045,0.126725,-0.306531,-0.126023,0.983178,1.045411,0.977356,0.214126,1.683203,0.7664,24,0.265151,0.43612,2.97847,0.006987,0.984405,1.113424,4.331305,0.000305
1,1,19,81,6037,0.258397,0.272998,0.335078,0.018575,0.462179,12583.970494,12729.983917,3350.784241,10185.745972,14621.786484,0.258678,0.273381,0.335468,0.018587,0.462559,-0.224924,-0.188594,0.126478,-0.306099,-0.125227,0.983356,1.04412,0.976825,0.219981,1.682508,0.7679,24,0.263531,0.433326,2.97936,0.006973,0.984644,1.112909,4.334361,0.000303
1,1,20,80,6037,0.256902,0.271987,0.333082,0.019073,0.459919,12569.023371,12719.871159,3330.824717,10190.728107,14599.189786,0.257181,0.272131,0.333469,0.019139,0.459884,-0.22407,-0.188165,0.126232,-0.305652,-0.124704,0.983523,1.043109,0.976283,0.219002,1.682619,0.7696,24,0.261911,0.430541,2.980198,0.00696,0.984875,1.11238,4.33744,0.000301
1,1,21,79,6037,0.255408,0.27089,0.331095,0.019316,0.45642,12554.076247,12708.896845,3310.950382,10193.155696,14564.202664,0.255685,0.271105,0.331479,0.019383,0.457296,-0.22322,-0.187317,0.125991,-0.305209,-0.124314,0.98368,1.045222,0.97573,0.222277,1.682194,0.7703,24,0.260291,0.427765,2.980983,0.006947,0.985098,1.111838,4.340538,0.000299
1,1,22,78,6037,0.253913,0.270668,0.329116,0.019905,0.454565,12539.129123,12706.679822,3291.16278,10199.048485,14545.646991,0.254188,0.270782,0.329497,0.019919,0.454347,-0.222377,-0.1866,0.125757,-0.304743,-0.123852,0.983824,1.045252,0.975165,0.22047,1.68247,0.7703,24,0.258671,0.424999,2.981711,0.006936,0.985312,1.111282,4.343653,0.000297
1,1,23,77,6037,0.252418,0.270031,0.327146,0.020293,0.45217,12524.181999,12700.30736,3271.463485,10202.927749,14521.700956,0.252692,0.270309,0.327524,0.020363,0.452529,-0.221552,-0.185974,0.12553,-0.304413,-0.123262,0.983956,1.044584,0.974589,0.223162,1.682627,0.7717,24,0.257051,0.422242,2.982382,0.006925,0.985517,1.110713,4.346782,0.000295
1,1,24,76,6037,0.250923,0.26851,0.325185,0.021333,0.449665,12509.234875,12685.103503,3251.8541,10213.330091,14496.651055,0.251195,0.269152,0.32556,0.021348,0.450497,-0.220729,-0.185299,0.125309,-0.304145,-0.122754,0.984074,1.043432,0.974,0.22445,1.68348,0.7727,24,0.255431,0.419496,2.982991,0.006916,0.985711,1.11013,4.34992,0.000293
1,1,25,75,6037,0.249429,0.267621,0.323234,0.022552,0.447479,12494.287751,12676.214641,3232.336264,10225.515743,14474.786739,0.249698,0.267746,0.323605,0.022567,0.447805,-0.219907,-0.184652,0.125092,-0.303792,-0.122108,0.984178,1.045504,0.973399,0.228537,1.679565,0.7731,24,0.253811,0.416759,2.983536,0.006907,0.985894,1.109534,4.353065,0.000291
