qqq_pct,stock_pct,cagr,total_return,max_drawdown,sharpe_ratio,final_value,n_trades,win_rate,time_in_mkt
0,100,0.275118,476.375163,-0.588334,1.097192,4773751.63,11,0.909091,0.73808
1,99,0.274707,472.480541,-0.586721,1.098482,4734805.41,11,0.909091,0.73808
2,98,0.274292,468.585921,-0.585109,1.099765,4695859.21,11,0.909091,0.73808
3,97,0.273874,464.691304,-0.583498,1.101042,4656913.04,11,0.909091,0.73808
4,96,0.273453,460.796689,-0.581888,1.102312,4617966.89,11,0.909091,0.73808
5,95,0.273028,456.902078,-0.580279,1.103575,4579020.78,11,0.909091,0.73808
6,94,0.272599,453.007469,-0.578671,1.104831,4540074.69,11,0.909091,0.73808
7,93,0.272168,449.112863,-0.577064,1.10608,4501128.63,11,0.909091,0.73808
8,92,0.271732,445.218261,-0.575523,1.107321,4462182.61,11,0.909091,0.73808
9,91,0.271293,441.323661,-0.573991,1.108555,4423236.61,11,0.909091,0.73808
10,90,0.27085,437.429064,-0.57246,1.109781,4384290.64,11,0.909091,0.73808
11,89,0.270403,433.534471,-0.570931,1.110999,4345344.71,11,0.909091,0.73808
12,88,0.269953,429.63988,-0.569437,1.112208,4306398.8,11,0.909091,0.73808
13,87,0.269498,425.745293,-0.56797,1.11341,4267452.93,11,0.909091,0.73808
14,86,0.26904,421.850708,-0.566505,1.114602,4228507.08,11,0.909091,0.73808
15,85,0.268577,417.956127,-0.565042,1.115786,4189561.27,11,0.909091,0.73808
16,84,0.26811,414.06155,-0.563581,1.11696,4150615.5,11,0.909091,0.73808
17,83,0.267639,410.166975,-0.562121,1.118125,4111669.75,11,0.909091,0.73808
18,82,0.267164,406.272404,-0.560663,1.119281,4072724.04,11,0.909091,0.73808
19,81,0.266684,402.377836,-0.559245,1.120427,4033778.36,11,0.909091,0.73808
20,80,0.2662,398.483272,-0.558421,1.121562,3994832.72,11,0.909091,0.73808
21,79,0.265712,394.588711,-0.557599,1.122687,3955887.11,11,0.909091,0.73808
22,78,0.265218,390.694154,-0.556777,1.123801,3916941.54,11,0.909091,0.73808
23,77,0.26472,386.7996,-0.555956,1.124905,3877996.0,11,0.909091,0.73808
24,76,0.264217,382.905049,-0.555136,1.125997,3839050.49,11,0.909091,0.73808
25,75,0.26371,379.010503,-0.554317,1.127077,3800105.03,11,0.909091,0.73808
26,74,0.263197,375.11596,-0.553499,1.128145,3761159.6,11,0.909091,0.73808
27,73,0.262679,371.221421,-0.552683,1.129201,3722214.21,11,0.909091,0.73808
28,72,0.262156,367.326885,-0.551867,1.130244,3683268.85,11,0.909091,0.73808
29,71,0.261627,363.432353,-0.551052,1.131274,3644323.53,11,0.909091,0.73808
30,70,0.261093,359.537826,-0.550238,1.13229,3605378.26,11,0.909091,0.73808
31,69,0.260554,355.643302,-0.549425,1.133292,3566433.02,11,0.909091,0.73808
32,68,0.260008,351.748782,-0.548614,1.13428,3527487.82,11,0.909091,0.73808
33,67,0.259457,347.854266,-0.547803,1.135254,3488542.66,11,0.909091,0.73808
34,66,0.2589,343.959754,-0.546993,1.136211,3449597.54,11,0.909091,0.73808
35,65,0.258337,340.065246,-0.546184,1.137153,3410652.46,11,0.909091,0.73808
36,64,0.257768,336.170743,-0.545376,1.138079,3371707.43,11,0.909091,0.73808
37,63,0.257192,332.276243,-0.544569,1.138988,3332762.43,11,0.909091,0.73808
38,62,0.25661,328.381748,-0.543763,1.139879,3293817.48,11,0.909091,0.73808
39,61,0.256022,324.487257,-0.542958,1.140753,3254872.57,11,0.909091,0.73808
40,60,0.255426,320.592771,-0.542154,1.141607,3215927.71,11,0.909091,0.73808
41,59,0.254823,316.698289,-0.541351,1.142443,3176982.89,11,0.909091,0.73808
42,58,0.254214,312.803812,-0.540549,1.143258,3138038.12,11,0.909091,0.73808
43,57,0.253597,308.909339,-0.539748,1.144053,3099093.39,11,0.909091,0.73808
44,56,0.252972,305.014871,-0.538948,1.144827,3060148.71,11,0.909091,0.73808
45,55,0.25234,301.120407,-0.538149,1.145578,3021204.07,11,0.909091,0.73808
46,54,0.2517,297.225948,-0.537351,1.146306,2982259.48,11,0.909091,0.73808
47,53,0.251052,293.331494,-0.536554,1.147011,2943314.94,11,0.909091,0.73808
48,52,0.250396,289.437045,-0.535758,1.14769,2904370.45,11,0.909091,0.73808
49,51,0.249731,285.542601,-0.534963,1.148345,2865426.01,11,0.909091,0.73808
50,50,0.249057,281.648162,-0.534168,1.148972,2826481.62,11,0.909091,0.73808
51,49,0.248374,277.753728,-0.533375,1.149572,2787537.28,11,0.909091,0.73808
52,48,0.247683,273.859299,-0.532583,1.150143,2748592.99,11,0.909091,0.73808
53,47,0.246981,269.964875,-0.531791,1.150684,2709648.75,11,0.909091,0.73808
54,46,0.24627,266.070456,-0.531001,1.151194,2670704.56,11,0.909091,0.73808
55,45,0.245549,262.176043,-0.530211,1.151672,2631760.43,11,0.909091,0.73808
56,44,0.244818,258.281636,-0.529423,1.152116,2592816.36,11,0.909091,0.73808
57,43,0.244076,254.387234,-0.528635,1.152524,2553872.34,11,0.909091,0.73808
58,42,0.243323,250.492837,-0.527849,1.152896,2514928.37,11,0.909091,0.73808
59,41,0.242558,246.598446,-0.527063,1.15323,2475984.46,11,0.909091,0.73808
60,40,0.241782,242.704061,-0.526278,1.153523,2437040.61,11,0.909091,0.73808
61,39,0.240994,238.809682,-0.525494,1.153775,2398096.82,11,0.909091,0.73808
62,38,0.240194,234.915309,-0.524711,1.153982,2359153.09,11,0.909091,0.73808
63,37,0.239381,231.020942,-0.523929,1.154144,2320209.42,11,0.909091,0.73808
64,36,0.238555,227.126581,-0.523148,1.154258,2281265.81,11,0.909091,0.73808
