Date,rolling_breadth_max_60,breadth,breadth_drawdown_60_points,breadth_below_60,original_price_rise_met,canonical_divergence,drawdown_15,drawdown_20,drawdown_25,price,next_session_open,episode_onset
2002-06-26,75.89,55.8,20.090000000000003,True,False,False,True,True,False,1027.22,1048.54,True
2002-07-02,75.89,53.9,21.990000000000002,True,False,False,True,True,False,963.66,957.26,True
2002-07-03,75.89,52.05,23.840000000000003,True,False,False,True,True,False,995.68,1018.63,False
2002-07-05,75.89,54.2,21.689999999999998,True,False,False,True,True,False,1060.89,1051.27,False
2002-07-08,75.89,55.1,20.79,True,False,False,True,True,False,1014.33,1015.27,False
2002-07-09,75.89,53.51,22.380000000000003,True,False,False,True,True,False,990.23,1005.99,False
2002-07-10,75.89,49.22,26.67,True,False,False,True,True,True,959.05,954.01,False
2002-07-11,75.89,47.19,28.700000000000003,True,False,False,True,True,True,998.03,1016.0,False
2002-07-12,75.89,45.13,30.759999999999998,True,False,False,True,True,True,1000.82,990.98,False
2002-07-15,75.89,42.05,33.84,True,False,False,True,True,True,1021.02,1012.51,False
2002-07-16,75.89,39.45,36.44,True,False,False,True,True,True,1011.3,1047.79,False
2002-07-17,74.23,41.27,32.96,True,False,False,True,True,True,1028.74,1020.82,False
2002-07-18,74.23,37.57,36.660000000000004,True,False,False,True,True,True,994.61,975.06,False
2002-07-19,74.23,33.96,40.27,True,False,False,True,True,True,965.45,958.34,False
2002-07-22,74.23,29.7,44.53,True,False,False,True,True,True,939.1,943.29,False
2002-07-23,74.23,24.6,49.63,True,False,False,True,True,True,896.82,875.48,False
2002-07-24,74.23,28.1,46.13,True,False,False,True,True,True,951.58,934.93,False
2002-07-25,74.23,29.7,44.53,True,False,False,True,True,True,894.45,905.88,False
2002-07-26,74.23,31.54,42.690000000000005,True,False,False,True,True,True,910.91,935.05,False
2002-07-29,74.23,38.69,35.540000000000006,True,False,False,True,True,True,970.13,957.08,False
2002-07-30,74.23,39.01,35.220000000000006,True,False,False,True,True,True,980.36,966.05,False
2002-07-31,74.23,38.78,35.45,True,False,False,True,True,True,962.11,954.56,False
2002-08-01,74.23,36.87,37.36000000000001,True,False,False,True,True,True,913.59,913.6,False
2002-08-02,74.23,33.01,41.220000000000006,True,False,False,True,True,True,892.51,889.49,False
2002-08-05,74.23,30.91,43.32000000000001,True,False,False,True,True,True,857.08,875.53,False
2002-08-06,74.23,33.95,40.28,True,False,False,True,True,True,901.91,932.53,False
2002-08-07,74.23,35.48,38.75000000000001,True,False,False,True,True,True,919.08,915.89,False
2002-08-08,74.23,37.5,36.730000000000004,True,False,False,True,True,True,947.24,932.33,False
2002-08-09,74.23,37.45,36.78,True,False,False,True,True,True,937.33,933.74,False
2002-08-13,74.23,35.24,38.99,True,False,False,True,True,True,907.62,912.35,False
2002-08-14,74.23,38.58,35.650000000000006,True,False,False,True,True,True,968.84,975.09,False
2002-08-15,72.49,40.31,32.17999999999999,True,False,False,True,True,True,980.98,968.05,False
2002-08-16,71.67,40.67,31.0,True,False,False,True,True,True,996.06,997.39,False
2002-08-19,71.67,42.36,29.310000000000002,True,False,False,True,True,True,1025.95,1014.51,False
2002-08-20,71.67,40.32,31.35,True,False,False,True,True,True,1008.02,1020.95,False
