qqq_pct,stock_pct,tqqq_pct,years,n_windows,deployed_usd,avg_final_usd,avg_return_pct,median_final_usd,median_return_pct,worst_final_usd,best_final_usd,pct_losing_windows
0,0,100,1,5910,1000000,1607584,60.8,1433932,43.4,130872,7091119,16.6
0,5,95,1,5910,1000000,1592385,59.2,1428708,42.9,142835,6886406,16.5
0,10,90,1,5910,1000000,1577187,57.7,1421656,42.2,154799,6681692,16.6
0,15,85,1,5910,1000000,1561988,56.2,1414475,41.4,166762,6476979,16.6
0,20,80,1,5910,1000000,1546789,54.7,1408193,40.8,178726,6272265,16.6
0,25,75,1,5910,1000000,1531591,53.2,1402401,40.2,190689,6067552,16.6
0,30,70,1,5910,1000000,1516392,51.6,1393096,39.3,202652,5862838,16.6
0,35,65,1,5910,1000000,1501193,50.1,1387267,38.7,214616,5658125,16.4
0,40,60,1,5910,1000000,1485995,48.6,1381538,38.2,226579,5453411,16.3
0,45,55,1,5910,1000000,1470796,47.1,1375985,37.6,238542,5248698,16.2
0,50,50,1,5910,1000000,1455597,45.6,1368852,36.9,250506,5043984,15.9
0,55,45,1,5910,1000000,1440399,44.0,1361128,36.1,262469,4839270,16.2
0,60,40,1,5910,1000000,1425200,42.5,1351311,35.1,274432,4634557,16.7
0,65,35,1,5910,1000000,1410001,41.0,1341181,34.1,286396,4429843,17.1
0,70,30,1,5910,1000000,1394803,39.5,1331956,33.2,298359,4225130,17.5
0,75,25,1,5910,1000000,1379604,38.0,1320634,32.1,310322,4020416,17.9
0,80,20,1,5910,1000000,1364405,36.4,1306294,30.6,322286,3815703,18.2
0,85,15,1,5910,1000000,1349207,34.9,1293282,29.3,334249,3610989,18.4
0,90,10,1,5910,1000000,1334008,33.4,1277884,27.8,343418,3406276,18.6
0,95,5,1,5910,1000000,1318809,31.9,1262729,26.3,352540,3201562,18.8
0,100,0,1,5910,1000000,1303611,30.4,1248222,24.8,361663,2996849,19.1
5,0,95,1,5910,1000000,1587027,58.7,1420563,42.1,152051,6841640,16.4
5,5,90,1,5910,1000000,1571829,57.2,1414568,41.5,164015,6636927,16.4
5,10,85,1,5910,1000000,1556630,55.7,1408401,40.8,175978,6432213,16.5
5,15,80,1,5910,1000000,1541431,54.1,1401519,40.2,187941,6227500,16.5
5,20,75,1,5910,1000000,1526232,52.6,1394467,39.4,199905,6022786,16.4
5,25,70,1,5910,1000000,1511034,51.1,1387543,38.8,211868,5818073,16.5
5,30,65,1,5910,1000000,1495835,49.6,1380660,38.1,223831,5613359,16.3
5,35,60,1,5910,1000000,1480636,48.1,1374558,37.5,235795,5408646,16.2
5,40,55,1,5910,1000000,1465438,46.5,1369435,36.9,247758,5203932,16.1
5,45,50,1,5910,1000000,1450239,45.0,1361959,36.2,259721,4999219,15.9
5,50,45,1,5910,1000000,1435040,43.5,1355298,35.5,271685,4794505,15.8
5,55,40,1,5910,1000000,1419842,42.0,1346213,34.6,283648,4589792,16.1
5,60,35,1,5910,1000000,1404643,40.5,1335130,33.5,295611,4385078,16.6
5,65,30,1,5910,1000000,1389444,38.9,1326919,32.7,307575,4180365,17.0
5,70,25,1,5910,1000000,1374246,37.4,1316560,31.7,319538,3975651,17.5
5,75,20,1,5910,1000000,1359047,35.9,1301809,30.2,331502,3770938,17.9
5,80,15,1,5910,1000000,1343848,34.4,1290383,29.0,343465,3566224,18.1
5,85,10,1,5910,1000000,1328650,32.9,1276631,27.7,355428,3361511,18.3
5,90,5,1,5910,1000000,1313451,31.3,1260091,26.0,365168,3156797,18.5
5,95,0,1,5910,1000000,1298252,29.8,1244876,24.5,374291,2952083,18.8
