sample_scope,feature,episodes_available,top_episode_median,ordinary_day_median,difference,direction_vs_ordinary,consistent_episodes,consistency_fraction,median_percentile_vs_ordinary,robust_effect_iqr,commonality_score,is_common
exact_peak,spx_drawdown_252_slope_20,4,0.16699832548884383,0.001350705227685568,0.16564762026115826,above,4,1.0,0.8180612357687631,0.8494045557774328,0.8494045557774328,True
exact_peak,ndx_return_60_pct,4,14.047150794948804,4.492589215665488,9.554561579283316,above,4,1.0,0.839327082184225,0.7816655721680257,0.7816655721680257,True
exact_peak,vix_slope_20,4,-0.19521804511278193,-0.013345864661654222,-0.1818721804511277,below,3,0.75,0.2255903349807798,-0.800721639246582,0.6005412294349365,True
exact_peak,spx_drawdown_252_pct,4,0.0,-2.4457892082703103,2.4457892082703103,above,4,1.0,1.0,0.38804680321005824,0.38804680321005824,True
exact_peak,spx_daily_change_pct,4,0.5547963869989903,0.058218380821617455,0.4965780061773728,above,3,0.75,0.7426019289785182,0.4880595764752769,0.3660446823564577,True
exact_peak,breadth,3,73.46,64.95,8.509999999999991,above,3,1.0,0.6867647058823529,0.32502625799675333,0.32502625799675333,True
exact_peak,breadth_slope_20,3,0.3007894736842105,0.03459022556391028,0.2661992481203002,above,2,0.6666666666666666,0.7063203176704169,0.3832039462825009,0.25546929752166725,False
exact_peak,breadth_fall_60_points,3,-4.27000000000001,-0.4000000000000057,-3.8700000000000045,below,2,0.6666666666666666,0.3993726267128942,-0.1729222520107241,0.11528150134048272,False
exact_peak,vix,4,16.36,17.68,-1.3200000000000003,below,3,0.75,0.4154975887768523,-0.1503416856492028,0.1127562642369021,False
peak_zone_median,ndx_return_60_pct,4,11.560030700481816,4.492589215665488,7.067441484816328,above,4,1.0,0.7751241036955323,0.5781924838886618,0.5781924838886618,True
peak_zone_median,spx_drawdown_252_pct,4,-0.23368302934068386,-2.4457892082703103,2.2121061789296266,above,4,1.0,0.8315133465696007,0.3509708556208445,0.3509708556208445,True
peak_zone_median,spx_drawdown_252_slope_20,4,0.07669742150230788,0.001350705227685568,0.0753467162746223,above,3,0.75,0.6921631480048636,0.38636138548584253,0.2897710391143819,True
peak_zone_median,breadth,3,71.28,64.95,6.329999999999998,above,3,1.0,0.6339869281045751,0.24176453738183903,0.24176453738183903,False
peak_zone_median,breadth_slope_20,3,0.1924060150375943,0.03459022556391028,0.15781578947368402,above,2,0.6666666666666666,0.6341826604897419,0.22718183367923733,0.1514545557861582,False
peak_zone_median,vix_slope_20,4,-0.05196428571428565,-0.013345864661654222,-0.03861842105263143,below,3,0.75,0.40576606260296544,-0.17002383395676726,0.12751787546757545,False
peak_zone_median,spx_daily_change_pct,4,0.18362732862009512,0.058218380821617455,0.12540894779847767,above,4,1.0,0.5734327049539676,0.12325764972940136,0.12325764972940136,False
peak_zone_median,breadth_fall_60_points,3,-1.9799999999999898,-0.4000000000000057,-1.579999999999984,below,2,0.6666666666666666,0.4571570084200099,-0.0705987488829305,0.04706583258862033,False
peak_zone_median,vix,4,17.525,17.68,-0.15500000000000114,below,3,0.75,0.49117711530030683,-0.017653758542141365,0.013240318906606024,False
