"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2026","29,040.17","29,040.12","29,069.11","28,890.74","45.90M","-1.36%"
"06/25/2026","29,442.34","29,843.89","29,826.23","29,003.30","168.88M","+0.76%"
"06/24/2026","29,220.06","29,328.40","29,592.90","28,963.10","442.36M","-0.43%"
"06/23/2026","29,347.27","29,369.25","29,748.72","29,276.98","522.33M","-3.29%"
"06/22/2026","30,347.08","30,529.99","30,641.52","30,194.92","485.72M","-0.19%"
"06/18/2026","30,389.71","30,261.60","30,396.48","30,089.35","264.16M","+2.42%"
"06/17/2026","29,670.95","30,160.74","30,208.09","29,605.90","401.03M","-0.99%"
"06/16/2026","29,968.13","30,455.49","30,559.44","29,963.92","425.30M","-1.89%"
"06/15/2026","30,531.23","30,289.97","30,532.45","30,296.23","88.60M","+3.02%"
"06/12/2026","29,642.46","29,380.68","29,733.77","29,220.83","163.08M","+0.67%"
"06/11/2026","29,446.18","28,731.16","29,506.67","28,548.50","464.28M","+3.29%"
"06/10/2026","28,508.03","28,893.83","29,211.13","28,463.12","386.28M","-1.98%"
"06/09/2026","28,791.31","29,647.35","29,804.94","28,196.90","201.52M","-2.12%"
"06/08/2026","29,557.95","29,482.19","29,697.90","29,297.93","135.99M","+2.07%"
"06/05/2026","28,957.60","29,992.37","30,049.05","28,929.88","573.15M","-4.77%"
"06/04/2026","30,465.00","30,174.59","30,540.89","30,092.55","207.78M","-0.35%"
"06/03/2026","30,571.24","30,730.11","30,762.20","30,441.80","433.19M","-0.29%"
"06/02/2026","30,660.60","30,471.61","30,670.11","30,372.96","427.25M","+0.48%"
"06/01/2026","30,513.86","30,295.25","30,633.55","30,241.20","421.50M","+0.60%"
"05/29/2026","30,333.18","30,333.86","30,470.03","30,210.01","799.22M","+0.36%"
"05/28/2026","30,229.65","30,030.63","30,239.89","29,851.78","119.36M","+0.85%"
"05/27/2026","29,976.12","30,081.28","30,099.03","29,809.41","188.96M","-0.08%"
"05/26/2026","30,011.92","29,854.58","30,044.49","29,753.09","186.50M","+1.80%"
"05/22/2026","29,614.82","29,476.29","29,661.44","29,424.30","130.47M","+0.88%"
"05/21/2026","29,357.27","29,150.13","29,463.09","29,041.98","364.85M","+0.20%"
"05/20/2026","29,087.74","29,006.57","29,095.80","28,932.18","41.16M","+0.93%"
"05/19/2026","28,818.84","28,795.02","29,031.66","28,567.16","371.36M","-0.61%"
"05/18/2026","28,994.37","29,246.20","29,250.15","28,717.57","371.91M","-0.45%"
"05/15/2026","29,125.20","29,191.36","29,387.44","28,991.42","465.89M","-1.54%"
"05/14/2026","29,580.30","29,372.65","29,678.89","29,350.10","339.53M","0.73%"
"05/13/2026","29,366.94","29,159.95","29,452.26","28,968.55","384.03M","1.04%"
"05/12/2026","29,064.80","29,067.36","29,188.07","28,628.64","400.86M","-0.87%"
"05/11/2026","29,320.66","29,185.83","29,372.43","29,143.20","419.84M","0.29%"
"05/08/2026","29,234.99","28,768.12","29,234.99","28,751.21","426.20M","2.35%"
"05/07/2026","28,563.95","28,612.54","28,825.52","28,440.05","413.12M","-0.12%"
"05/06/2026","28,599.17","28,234.02","28,608.68","28,208.23","470.96M","2.08%"
"05/05/2026","28,015.06","27,895.05","28,065.63","27,844.23","399.15M","1.31%"
"05/04/2026","27,651.82","27,731.34","27,822.37","27,504.09","325.91M","-0.21%"
"05/01/2026","27,710.36","27,508.57","27,787.12","27,501.43","346.46M","0.94%"
"04/30/2026","27,452.12","27,328.98","27,488.03","27,029.41","531.92M","0.98%"
"04/29/2026","27,186.98","27,069.36","27,199.72","26,995.38","359.19M","0.58%"
"04/28/2026","27,029.01","26,988.77","27,115.77","26,877.59","364.33M","-1.01%"
"04/27/2026","27,305.68","27,278.28","27,315.23","27,158.88","368.88M","0.01%"
"04/24/2026","27,303.67","27,082.42","27,314.21","26,986.39","431.02M","1.95%"
"04/23/2026","26,782.63","26,844.61","27,007.87","26,540.32","371.63M","-0.57%"
"04/22/2026","26,937.28","26,715.92","26,942.13","26,662.88","335.96M","1.73%"
"04/21/2026","26,479.47","26,658.85","26,730.64","26,405.30","291.31M","-0.42%"
"04/20/2026","26,590.34","26,662.32","26,670.12","26,412.52","311.92M","-0.31%"
"04/17/2026","26,672.43","26,551.16","26,719.56","26,481.24","453.20M","1.29%"
"04/16/2026","26,333.00","26,256.88","26,400.52","26,113.65","344.98M","0.49%"
"04/15/2026","26,204.58","25,859.19","26,214.57","25,828.76","357.61M","1.40%"
"04/14/2026","25,842.00","25,514.55","25,842.00","25,514.55","353.98M","1.81%"
"04/13/2026","25,383.72","25,069.07","25,387.69","24,999.20","325.72M","1.06%"
"04/10/2026","25,116.34","25,165.06","25,226.06","25,057.65","337.40M","0.14%"
"04/09/2026","25,082.09","24,918.28","25,097.45","24,788.92","341.37M","0.72%"
"04/08/2026","24,903.17","25,045.36","25,045.36","24,756.93","421.52M","2.90%"
"04/07/2026","24,202.37","24,109.57","24,209.28","23,779.85","303.86M","0.04%"
"04/06/2026","24,192.17","24,143.02","24,265.14","24,039.03","269.53M","0.61%"
