Year,Rank,Holding,Value ($B)
2001,1,"Cisco Systems, Inc",0.83
2001,2,Microsoft Corporation,0.65
2001,3,Intel Corporation,0.58
2001,4,Oracle Corporation,0.55
2001,5,JDS Uniphase Corporation,0.5
2001,6,"Sun Microsystems, Inc",0.48
2001,7,"Qualcomm, Inc",0.38
2001,8,Veritas Software Corporation,0.35
2001,9,"Siebel Systems, Inc",0.32
2001,10,"Juniper Networks, Inc",0.27
2002,1,Microsoft Corporation,2.17
2002,2,Intel Corporation,1.1
2002,3,"Cisco Systems, Inc",0.73
2002,4,Oracle Corporation,0.67
2002,5,"Amgen, Inc",0.66
2002,6,Dell Computer Corporation,0.41
2002,7,Comcast Corporation,0.37
2002,8,"Maxim Integrated Products, Inc",0.37
2002,9,"WorldCom, Inc",0.37
2002,10,Linear Technology Corporation,0.32
2003,1,Microsoft Corporation,2.02
2003,2,Intel Corporation,0.81
2003,3,"Cisco Systems, Inc",0.68
2003,4,QUALCOMM Inc,0.64
2003,5,Amgen Inc,0.62
2003,6,Dell Computer Corporation,0.56
2003,7,Oracle Corporation,0.44
2003,8,Bed Bath & Beyond Inc,0.32
2003,9,Intuit Inc,0.3
2003,10,"Maxim Integrated Products, Inc",0.28
2004,1,QUALCOMM Inc,1.36
2004,2,eBay Inc,0.8
2004,3,Intel Corporation,0.8
2004,4,"Cisco Systems, Inc",0.77
2004,5,Amgen Inc,0.59
2004,6,"Nextel Communications, Inc",0.59
2004,7,Dell Inc,0.58
2004,8,Comcast Corporation,0.48
2004,9,Starbucks Corporation,0.45
2004,10,Oracle Corporation,0.43
2005,1,Microsoft Corporation,1.43
2005,2,"QUALCOMM, Inc",1.33
2005,3,"Apple Computer, Inc",0.94
2005,4,Intel Corporation,0.79
2005,5,"Amgen, Inc",0.69
2005,6,"eBay, Inc",0.63
2005,7,"Cisco Systems, Inc",0.62
2005,8,"Dell, Inc",0.46
2005,9,Symantec Corporation,0.43
2005,10,Comcast Corporation,0.42
2006,1,Microsoft Corporation,1.2
2006,2,"Apple Computer, Inc",1.18
2006,3,"QUALCOMM, Inc",0.93
2006,4,Google Inc,0.69
2006,5,"Cisco Systems, Inc",0.64
2006,6,Intel Corporation,0.53
2006,7,"Amgen, Inc",0.5
2006,8,Oracle Corporation,0.5
2006,9,Starbucks Corporation,0.46
2006,10,Comcast Corporation,0.45
2007,1,"Apple Computer, Inc",2.18
2007,2,Microsoft Corporation,1.11
2007,3,QUALCOMM Inc,1.0
2007,4,"Google, Inc",0.94
2007,5,"Cisco Systems, Inc",0.84
2007,6,"Research In Motion, Ltd",0.65
2007,7,Intel Corporation,0.62
2007,8,Oracle Corporation,0.54
2007,9,eBay Inc,0.46
2007,10,"Gilead Sciences, Inc",0.44
2008,1,"Apple, Inc",1.86
2008,2,"QUALCOMM, Inc",1.12
2008,3,Microsoft Corp,1.11
2008,4,"Google, Inc",0.77
2008,5,"Cisco Systems, Inc",0.63
2008,6,Oracle Corp,0.58
2008,7,"Gilead Sciences, Inc",0.55
2008,8,Research In Motion Ltd,0.51
2008,9,Intel Corp,0.49
2008,10,"Amgen, Inc",0.39
2009,1,"Apple, Inc",2.55
2009,2,"QUALCOMM, Inc",0.99
2009,3,Microsoft Corp,0.87
2009,4,"Google, Inc., Class A",0.8
2009,5,"Cisco Systems, Inc",0.53
2009,6,Oracle Corp,0.48
2009,7,"Gilead Sciences, Inc",0.46
2009,8,Intel Corp,0.42
2009,9,Research In Motion Ltd,0.42
2009,10,Teva Pharmaceutical Industries Ltd. -,0.41
2010,1,"Apple, Inc",4.2
2010,2,"QUALCOMM, Inc",1.02
2010,3,"Google, Inc., Class A",0.92
2010,4,Microsoft Corp,0.85
2010,5,Oracle Corp,0.65
2010,6,"Amazon.Com, Inc",0.54
2010,7,"Cisco Systems, Inc",0.52
2010,8,Teva Pharmaceutical Industries Ltd,0.45
2010,9,Intel Corp,0.44
2010,10,"Gilead Sciences, Inc",0.34
2011,1,"Apple, Inc",3.22
2011,2,Microsoft Corp,1.9
2011,3,Oracle Corp,1.33
2011,4,"Google, Inc., Class A",1.19
2011,5,Intel Corp,1.02
2011,6,"Amazon.Com, Inc",0.9
2011,7,"Cisco Systems, Inc",0.78
2011,8,"QUALCOMM, Inc",0.75
2011,9,"Amgen, Inc",0.46
2011,10,"Comcast Corp., Class A",0.4
2012,1,"Apple, Inc",6.83
2012,2,Microsoft Corp,2.72
2012,3,"Google, Inc., Class A",2.16
2012,4,Oracle Corp,1.68
2012,5,"Amazon.Com, Inc",1.25
2012,6,Intel Corp,1.24
2012,7,"QUALCOMM, Inc",1.16
2012,8,"Cisco Systems, Inc",1.12
2012,9,"Comcast Corp., Class A",0.83
2012,10,"Kraft Foods, Inc., Class A",0.8
2013,1,"Apple, Inc",4.59
2013,2,Microsoft Corp,2.94
2013,3,"Google, Inc., Class A",2.54
2013,4,"Amazon.com, Inc",1.51
2013,5,"Cisco Systems, Inc",1.33
2013,6,"QUALCOMM, Inc",1.22
2013,7,Intel Corp,1.21
2013,8,"Comcast Corp., Class A",1.02
